Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.362s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	6.89	6.87	6.89	0.00	2.94	0.00	0.00	0.00	0.00	1.17	0.00
3.00	6.90	6.90	6.90	0.00	3.20	0.00	0.00	0.00	0.00	2.99	0.00
4.00	6.90	6.90	6.90	0.82	1.34	0.00	0.00	0.00	0.00	1.58	0.00
5.00	6.90	6.90	6.90	0.69	0.28	0.00	0.00	0.00	0.00	0.45	0.00
6.00	6.90	6.90	6.90	0.49	0.88	0.00	0.00	2.34	0.00	4.63	0.00
7.00	6.90	6.90	6.90	0.74	3.36	0.00	0.00	0.89	0.00	0.99	0.00
8.00	6.90	6.90	6.90	0.00	2.47	0.00	0.00	5.55	0.00	0.00	0.00
9.00	6.90	6.90	6.90	0.00	2.99	0.00	0.00	6.10	0.00	0.00	0.00
10.00	6.90	6.90	6.90	0.04	2.65	0.00	0.00	4.19	0.00	1.48	0.00
11.00	6.90	6.90	6.90	1.86	2.81	0.00	0.00	5.69	0.00	3.42	0.00
12.00	6.90	6.90	6.90	1.45	2.28	0.00	0.00	3.33	0.00	4.64	0.00
13.00	6.90	6.90	6.90	1.72	4.03	0.00	0.00	3.99	0.00	2.83	0.00
14.00	6.90	6.90	6.90	1.17	1.71	0.00	0.00	2.13	0.00	2.68	0.00
