Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.292s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	8.40	5.98	0.00	1.00	0.00	0.00	0.48	0.00	1.41	0.65	0.00	0.00
3.00	8.40	6.01	0.00	0.00	0.00	0.49	1.37	0.00	1.98	1.12	0.00	0.00
4.00	8.40	5.99	0.00	2.34	0.00	0.00	1.39	0.00	1.28	1.59	0.04	0.00
5.00	8.41	6.01	0.00	1.31	0.00	1.08	0.67	0.13	1.31	0.15	0.05	0.00
6.00	8.40	5.99	0.00	0.73	0.00	3.19	2.28	1.20	1.14	0.51	0.00	0.00
7.00	8.40	6.01	0.00	0.79	0.00	2.50	1.07	0.00	0.89	0.02	0.01	0.00
8.00	8.41	5.99	0.00	0.02	0.00	1.22	0.00	3.44	2.85	1.61	0.07	0.00
9.00	8.40	6.01	0.00	0.60	0.00	0.00	3.26	1.02	1.48	1.47	0.01	0.00
10.00	8.40	5.99	0.00	4.99	0.00	2.38	0.94	0.00	3.50	2.47	0.00	0.00
11.00	8.41	6.01	0.00	1.37	0.00	0.60	1.12	2.36	3.59	0.61	0.13	0.00
12.00	8.40	5.99	0.00	2.81	0.00	5.20	3.32	3.16	2.64	1.12	0.40	0.00
13.00	8.40	6.01	0.00	0.71	0.00	4.42	1.42	0.65	2.11	1.00	0.26	0.00
14.00	8.41	5.99	0.00	1.00	0.00	4.55	3.37	2.57	1.64	1.91	0.71	0.00
15.00	8.40	6.01	0.00	1.40	0.00	1.71	2.32	1.95	2.64	3.03	0.20	0.00
16.00	8.40	5.99	0.92	1.11	0.00	4.96	2.16	1.91	2.71	2.19	0.01	0.00
17.00	8.41	6.01	0.31	0.00	0.00	5.70	4.98	2.44	4.51	0.45	0.01	0.00
18.00	8.40	5.99	0.00	1.71	0.00	1.31	5.16	1.50	3.54	0.61	0.39	0.00
19.00	8.40	6.01	0.00	1.75	0.00	2.06	2.85	0.79	0.00	0.61	0.22	0.00
20.00	8.40	5.99	0.00	0.41	0.00	2.12	0.00	2.37	0.00	2.70	0.41	0.00
21.00	8.41	6.01	0.00	2.68	0.00	2.17	2.70	0.00	4.22	1.68	0.06	0.00
22.00	8.40	5.99	0.00	3.31	0.00	3.69	2.37	2.01	2.12	1.67	0.38	0.00
23.00	8.40	6.01	0.00	2.67	0.00	3.00	0.00	2.94	2.96	2.44	0.19	0.00
24.00	8.41	5.99	0.00	5.46	0.00	0.02	3.46	0.00	2.99	3.91	0.73	0.00
25.00	8.40	6.01	0.00	2.13	0.00	4.26	3.38	3.19	0.88	2.34	0.32	0.00
26.00	8.40	5.99	0.00	1.24	0.00	4.16	2.48	4.65	2.65	1.07	0.32	0.00
27.00	8.41	6.01	0.00	1.17	0.00	5.44	1.68	0.00	3.76	0.80	0.20	0.00
28.00	8.40	5.99	0.00	1.73	0.00	5.16	2.84	2.04	1.08	2.74	0.26	0.00
29.00	8.40	6.01	0.00	0.00	0.00	2.71	4.98	0.61	1.05	1.91	0.21	0.00
30.00	8.41	5.99	0.00	1.54	0.00	0.79	2.17	2.06	2.11	2.76	0.26	0.00
31.00	8.40	6.01	0.00	3.40	0.00	4.58	2.81	3.24	1.94	3.92	1.61	0.00
32.00	8.40	5.99	0.00	2.41	0.00	3.92	3.90	0.29	0.85	1.42	0.29	0.00
33.00	8.41	6.01	0.00	4.35	0.00	2.73	2.76	2.99	2.06	3.40	0.14	0.00
34.00	8.40	5.99	0.00	0.29	0.00	0.11	5.66	1.59	1.58	2.24	0.00	0.00
35.00	8.40	6.01	0.00	0.11	0.00	4.76	4.10	1.52	3.49	3.30	0.04	0.00
36.00	8.41	5.99	0.00	0.00	0.00	0.99	4.18	2.24	1.99	1.04	0.67	0.00
37.00	8.40	6.01	0.00	0.00	0.00	3.12	4.29	1.85	3.21	0.31	0.00	0.00
38.00	8.40	5.99	0.00	0.02	0.00	4.40	4.97	1.01	4.56	2.18	0.00	0.00
39.00	8.40	6.01	0.00	0.07	0.00	4.19	2.83	1.60	3.21	2.81	0.14	0.00
40.00	8.41	5.99	0.00	0.00	0.00	4.50	1.51	1.48	3.56	2.10	0.55	0.00
41.00	8.40	6.01	0.00	3.77	0.00	3.77	2.23	1.27	2.19	2.87	0.38	0.00
42.00	8.40	5.99	0.00	1.18	0.00	0.00	2.66	0.19	0.84	2.28	0.00	0.00
43.00	8.41	6.01	0.00	1.98	0.38	0.00	2.81	3.24	0.40	0.31	0.79	0.00
44.00	8.40	5.99	0.00	1.73	0.00	2.51	4.65	1.21	1.31	1.74	0.24	0.00
45.00	8.40	6.01	0.00	2.40	0.00	3.83	2.13	1.77	2.72	1.15	0.33	0.00
46.00	8.41	5.99	0.00	1.52	0.00	6.59	5.75	2.43	3.87	3.80	0.21	0.00
47.00	8.40	6.01	0.00	3.31	0.00	5.56	2.77	1.02	2.37	3.74	1.45	0.00
48.00	8.40	6.01	0.00	1.97	0.00	0.16	1.92	1.67	4.22	2.89	0.12	0.00
49.00	8.41	5.99	0.00	1.27	0.00	4.90	4.46	1.92	3.59	2.52	0.09	0.00
