Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.042s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	8.09	8.09	7.17	0.00	0.00	0.00	0.00	2.60	1.14	0.00	0.00	0.00
3.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	4.49	2.00	0.00	0.00	0.00
4.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	2.71	2.31	0.00	0.00	0.00
5.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.80	0.05	0.00	0.00	0.00
6.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	4.88	2.16	0.00	0.00	0.00
7.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	4.55	4.63	0.00	0.00	0.40
8.00	8.09	8.09	7.20	0.00	0.00	0.00	0.00	0.34	0.00	0.00	0.00	1.07
9.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	2.73	0.00	0.00	0.82
10.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.10	0.13	0.00	0.00	1.02
11.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	3.27	2.23	0.00	0.00	3.05
12.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.47	0.02	0.00	0.00	1.75
13.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11
14.00	8.09	8.09	7.21	0.00	0.00	0.00	0.00	0.28	3.72	0.00	0.00	2.06
15.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.65
16.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.60	0.69	0.00	0.00	2.74
17.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	2.60	1.67	0.00	0.00	3.83
18.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	1.31	0.07	0.00	0.00	3.86
19.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	2.04	1.30	0.00	0.00	1.37
20.00	8.09	8.09	7.20	0.00	0.00	0.00	0.00	3.16	1.91	0.00	0.00	2.24
21.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	2.90	2.67	0.00	0.00	3.74
22.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.06	1.92	0.00	0.00	2.43
23.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.88	0.65	0.00	0.00	3.27
24.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.55	0.66	0.00	0.00	0.48
25.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.27	4.46	0.00	0.00	2.87
26.00	8.09	8.09	7.21	0.00	0.00	0.00	0.00	3.27	1.27	0.00	0.00	0.67
27.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.52	2.36	0.00	0.00	3.78
28.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	3.57	0.98	0.00	0.00	4.31
29.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	2.97	0.35	0.00	0.00	0.62
30.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	3.93
31.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.00	1.34
32.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.26	1.10	0.00	0.00	2.50
33.00	8.09	8.09	7.21	0.00	0.00	0.00	0.00	3.63	0.33	0.00	0.00	3.09
34.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.86	2.99	0.00	0.00	1.52
35.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	1.02	3.69	0.00	0.00	3.72
36.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.94	0.64	0.00	0.00	0.58
37.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.05
38.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.64
39.00	8.09	8.09	7.20	0.00	0.00	0.00	0.01	0.95	3.24	0.00	0.00	2.18
40.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.14
41.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.57
42.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	2.77	0.00	0.00	2.05
43.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	2.64	0.00	0.00	1.47
44.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.00	2.58
45.00	8.09	8.09	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.06
46.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	1.87	0.00	0.00	3.90
47.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	0.51	0.00	0.00	2.70
48.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.68	2.52	0.00	0.00	1.67
49.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	3.26	0.12	0.00	0.00	0.93
50.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	3.49	1.30	0.00	0.00	2.85
51.00	8.09	8.09	7.20	0.00	0.00	0.00	0.00	3.60	2.72	0.00	0.00	2.12
52.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	3.60
53.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.92	0.64	0.00	0.00	1.54
54.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.73	2.86	0.00	0.00	0.84
55.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	2.47	0.69	0.00	0.00	1.01
56.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
57.00	8.10	8.09	7.21	0.00	0.00	0.00	0.00	0.00	1.92	0.00	0.00	2.14
58.00	8.09	8.10	7.20	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	2.20
59.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.22	1.19	0.00	0.00	2.76
60.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.31	0.33	0.00	0.00	3.21
61.00	8.10	8.10	7.20	0.00	0.00	0.00	0.02	0.85	0.68	0.00	0.00	0.66
62.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.32	0.47	0.00	0.00	3.05
63.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	1.45
64.00	8.09	8.09	7.21	0.00	0.00	0.00	0.00	3.33	1.32	0.00	0.00	0.86
65.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	5.05	0.51	0.00	0.00	3.18
66.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	3.83	1.91	0.00	0.00	3.09
67.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	1.06	0.00	0.00	0.00	3.36
68.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	1.99	0.31	0.00	0.00	2.47
69.00	8.10	8.10	7.21	0.00	0.00	0.00	0.00	0.00	0.64	0.00	0.00	2.83
70.00	8.09	8.09	7.20	0.00	0.00	0.00	0.00	0.61	1.00	0.00	0.00	2.67
71.00	8.10	8.10	7.20	0.00	0.00	0.00	0.00	0.00	1.28	0.00	0.00	2.07
