Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.039s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	7.49	0.00	1.25	0.89	0.00	0.64	0.00	0.14	0.25	0.00	0.00	0.00	0.00
3.00	7.50	0.00	0.60	0.49	0.00	0.75	0.00	0.00	0.19	0.00	0.00	0.00	0.00
4.00	7.50	0.00	0.08	0.00	0.00	0.12	0.00	1.32	0.14	0.33	0.00	0.04	0.02
5.00	7.50	0.00	0.01	0.00	2.12	0.00	0.00	0.12	1.25	0.00	0.22	0.00	0.00
6.00	7.50	0.00	0.00	1.31	0.00	0.00	0.00	0.80	0.16	0.00	0.00	0.00	0.00
7.00	7.50	0.00	0.00	0.57	0.00	0.00	0.00	0.19	0.68	0.00	0.00	0.00	0.00
8.00	7.50	0.00	0.00	0.28	0.00	0.20	0.02	0.21	1.58	0.00	0.00	0.07	0.00
9.00	7.50	0.00	1.07	0.94	0.49	0.41	0.04	0.31	0.73	0.28	0.00	0.21	0.00
10.00	7.49	0.00	0.87	0.38	0.81	0.05	0.08	0.00	0.78	0.48	0.05	0.05	0.00
11.00	7.50	0.00	1.01	0.00	0.52	0.06	0.00	0.33	0.45	2.91	0.07	0.00	0.14
12.00	7.50	0.00	1.41	0.00	0.00	0.54	0.00	0.00	0.92	2.34	0.00	0.00	0.31
13.00	7.50	0.00	1.11	0.00	2.37	0.72	0.00	0.00	1.65	0.82	0.00	0.00	0.57
14.00	7.50	0.00	1.79	0.00	1.91	0.00	0.24	0.00	1.39	2.44	0.00	0.00	0.24
15.00	7.50	0.00	1.53	0.00	0.00	0.31	0.48	0.00	1.20	0.39	0.00	0.00	0.75
16.00	7.50	0.00	1.01	0.02	0.00	0.00	0.51	0.00	1.37	0.00	0.00	0.42	0.66
17.00	7.50	0.00	0.87	1.12	0.75	0.00	0.00	0.11	0.35	0.00	0.00	0.18	0.16
18.00	7.49	0.00	0.85	0.68	0.26	0.02	0.00	0.42	0.16	0.00	0.00	0.42	0.31
19.00	7.50	0.00	0.99	1.06	1.60	0.00	0.00	0.00	0.16	0.22	0.08	0.02	0.40
20.00	7.50	0.00	0.12	1.67	0.00	0.46	0.00	1.14	0.00	2.97	0.00	0.00	0.57
21.00	7.50	0.00	0.00	0.78	0.00	0.58	0.00	0.00	0.84	1.50	0.00	0.00	0.16
22.00	7.50	0.00	0.00	1.14	0.00	1.06	0.00	0.00	1.13	0.80	0.00	0.00	0.07
23.00	7.50	0.00	0.27	0.09	0.00	2.16	0.00	0.38	1.13	2.57	0.00	0.00	0.16
24.00	7.50	0.00	0.73	2.05	0.00	0.00	0.24	0.00	1.41	0.20	0.00	0.35	0.54
25.00	7.50	0.00	1.46	0.00	0.00	0.24	0.00	0.00	1.25	0.44	0.00	0.24	0.61
