Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.339s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	8.37	7.45	6.84	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.67
3.00	8.40	7.50	6.90	0.05	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.07	1.21
4.00	8.40	7.50	6.90	0.00	1.80	0.00	0.00	0.00	0.00	0.00	0.26	0.00	0.34
5.00	8.41	7.50	6.90	0.00	0.99	0.00	0.00	0.00	0.00	0.14	3.82	0.00	2.78
6.00	8.40	7.50	6.90	0.00	0.74	0.00	0.00	0.66	0.00	0.01	1.65	0.00	0.49
7.00	8.40	7.50	6.90	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.02	1.35	1.33
8.00	8.41	7.50	6.90	0.00	0.24	0.00	0.00	0.00	0.00	1.87	3.14	2.08	2.78
9.00	8.40	7.50	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.69	0.60	0.44
10.00	8.40	7.49	6.90	0.00	1.54	0.00	0.00	0.00	0.00	0.00	0.00	2.08	1.41
11.00	8.41	7.50	6.90	0.00	1.27	0.00	0.00	0.00	0.00	0.15	3.84	1.39	0.40
12.00	8.40	7.50	6.90	0.00	1.31	0.00	0.00	0.93	0.49	0.00	1.91	2.83	2.65
13.00	8.40	7.50	6.90	0.00	2.96	0.00	0.00	0.00	4.00	0.00	0.55	2.08	1.85
14.00	8.41	7.50	6.90	0.00	0.00	0.00	0.00	0.01	0.79	0.00	0.00	0.94	0.84
15.00	8.40	7.50	6.90	0.05	3.05	0.00	0.00	0.00	0.00	0.00	0.00	2.63	1.90
16.00	8.40	7.50	6.90	0.00	0.39	0.00	0.00	0.00	0.00	0.13	0.00	1.85	0.19
17.00	8.41	7.50	6.89	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	2.68	1.53
18.00	8.40	7.50	6.90	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.77
19.00	8.40	7.49	6.90	0.00	0.87	0.00	0.00	0.02	0.00	0.53	2.81	1.81	0.21
20.00	8.40	7.50	6.90	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.28	2.71	1.19
21.00	8.41	7.50	6.90	0.18	0.00	0.00	0.00	0.00	0.00	0.02	0.00	2.41	2.58
22.00	8.40	7.50	6.90	0.01	0.00	0.00	0.00	0.00	0.00	0.07	0.00	2.27	1.65
23.00	8.40	7.50	6.90	0.00	0.00	0.00	0.00	0.00	0.02	0.40	1.07	0.06	0.91
24.00	8.41	7.50	6.90	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.12	0.84	1.10
25.00	8.40	7.50	6.90	0.00	2.20	0.00	0.00	0.00	0.00	0.54	3.89	0.57	1.73
26.00	8.40	7.50	6.90	0.00	0.38	0.00	0.00	0.00	0.00	0.24	0.39	1.47	2.27
27.00	8.41	7.50	6.90	0.04	1.13	0.00	0.00	0.00	0.00	0.09	0.52	0.98	0.54
28.00	8.40	7.49	6.90	0.22	1.66	0.00	0.00	0.00	0.00	0.58	1.22	1.99	1.33
29.00	8.40	7.50	6.90	0.00	0.12	0.00	0.00	0.00	0.02	1.20	3.06	2.70	1.00
30.00	8.41	7.50	6.90	1.41	2.92	0.00	0.00	0.00	0.00	2.41	3.11	2.30	1.78
31.00	8.40	7.50	6.90	0.35	1.00	0.00	0.00	0.00	0.00	0.18	3.04	0.34	0.80
32.00	8.40	7.50	6.90	0.97	0.00	0.00	0.00	0.02	0.00	0.00	0.92	2.99	0.94
33.00	8.41	7.50	6.90	0.00	1.37	0.00	0.00	0.00	0.00	0.00	2.06	2.78	2.63
34.00	8.40	7.50	6.89	0.00	0.00	0.00	0.00	0.01	0.00	1.24	2.98	2.13	2.16
35.00	8.40	7.50	6.90	0.00	0.14	0.00	0.00	0.00	0.00	0.39	1.33	2.59	1.52
36.00	8.41	7.50	6.90	0.02	3.90	0.00	0.00	0.02	0.00	0.00	3.26	2.23	1.01
37.00	8.40	7.49	6.90	0.02	0.00	0.00	0.00	0.00	0.00	0.38	1.28	2.43	2.24
38.00	8.40	7.50	6.90	0.00	2.83	0.00	0.00	0.00	0.00	0.00	2.04	1.59	0.60
39.00	8.40	7.50	6.90	0.48	0.59	0.00	0.00	0.00	0.00	1.08	2.03	2.04	2.17
40.00	8.41	7.50	6.90	0.00	0.25	0.00	0.00	0.00	1.52	0.00	0.65	1.70	1.75
41.00	8.40	7.50	6.90	0.00	2.33	0.00	0.00	0.00	0.00	0.00	1.30	1.97	1.78
42.00	8.40	7.50	6.90	0.00	6.19	0.00	0.00	0.00	0.00	0.00	0.00	1.15	1.08
43.00	8.41	7.50	6.90	0.21	1.38	0.00	0.00	0.00	0.00	0.45	1.12	1.54	0.77
44.00	8.40	7.50	6.90	0.00	1.52	0.00	0.00	0.00	0.00	0.08	0.00	2.30	0.81
45.00	8.40	7.50	6.90	0.05	1.52	0.00	0.00	0.00	0.00	0.02	1.33	1.48	0.93
46.00	8.41	7.49	6.90	0.00	0.06	0.00	0.00	0.01	0.00	0.00	0.00	0.94	1.05
47.00	8.40	7.50	6.90	0.00	1.05	0.00	0.00	0.00	0.00	0.01	0.60	0.00	1.64
48.00	8.40	7.50	6.90	0.01	0.51	0.00	0.00	0.00	0.00	0.37	0.55	0.99	1.31
49.00	8.41	7.50	6.90	0.97	0.31	0.00	0.00	0.00	0.00	0.71	1.39	0.49	0.20
50.00	8.40	7.50	6.89	0.01	1.45	0.00	0.00	0.00	0.00	1.30	1.73	0.00	0.20
51.00	8.40	7.50	6.90	1.01	0.00	0.00	0.00	0.00	0.00	0.69	2.99	0.08	0.73
52.00	8.41	7.50	6.90	0.00	0.08	0.00	0.00	0.00	0.00	0.00	0.00	3.25	0.99
53.00	8.40	7.50	6.90	0.00	0.01	0.00	0.00	0.00	0.00	0.04	0.00	0.44	0.47
54.00	8.40	7.50	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	2.28	2.73
55.00	8.41	7.49	6.90	0.13	0.60	0.00	0.00	0.00	0.00	0.07	0.00	2.18	1.83
56.00	8.40	7.50	6.90	0.09	5.18	0.00	0.00	0.00	0.00	0.94	2.46	0.00	0.05
57.00	8.40	7.50	6.90	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.49
58.00	8.40	7.50	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	1.25
59.00	8.41	7.50	6.90	0.13	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.49	1.55
60.00	8.40	7.50	6.90	0.13	0.00	0.00	0.00	0.00	0.00	0.01	0.00	2.12	0.09
61.00	8.40	7.50	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	2.72	3.27
62.00	8.41	7.50	6.90	0.44	0.00	0.00	0.00	0.00	0.00	1.86	2.38	1.13	0.64
63.00	8.40	7.50	6.90	1.05	0.00	0.00	0.00	0.00	0.00	4.99	4.22	2.77	2.74
64.00	8.40	7.49	6.90	2.05	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
65.00	8.41	7.50	6.90	1.85	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.70	2.70
66.00	8.40	7.50	6.89	1.75	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.71	2.71
67.00	8.40	7.50	6.90	1.73	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.68	2.70
68.00	8.41	7.50	6.90	1.74	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.71	2.70
69.00	8.40	7.50	6.90	1.78	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
70.00	8.40	7.50	6.90	1.59	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.71	2.71
71.00	8.41	7.50	6.90	1.66	0.00	0.00	0.00	0.00	0.00	4.51	4.19	2.70	2.70
72.00	8.40	7.50	6.90	1.68	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
73.00	8.40	7.49	6.90	1.66	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.71
74.00	8.41	7.50	6.90	1.94	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.71	2.70
75.00	8.40	7.50	6.90	1.35	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
76.00	8.40	7.50	6.90	1.68	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
77.00	8.40	7.50	6.90	1.50	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.71	2.71
78.00	8.41	7.50	6.90	1.86	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.70	2.70
79.00	8.40	7.50	6.90	1.42	0.00	0.00	0.00	0.00	0.00	4.49	4.19	2.70	2.70
80.00	8.40	7.50	6.90	1.57	0.00	0.00	0.00	0.00	0.00	4.50	4.22	2.70	2.70
81.00	8.41	7.50	6.90	1.30	0.00	0.00	0.00	0.00	0.00	4.52	4.20	2.70	2.71
82.00	8.40	7.49	6.89	1.88	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.71	2.70
83.00	8.40	7.50	6.90	1.40	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.70	2.70
84.00	8.41	7.50	6.90	1.51	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.70
85.00	8.40	7.50	6.90	1.25	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.71	2.70
86.00	8.40	7.50	6.90	1.59	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.71
87.00	8.41	7.50	6.90	1.32	0.00	0.00	0.00	0.00	0.00	4.51	4.20	2.70	2.70
88.00	8.40	7.50	6.90	1.08	0.00	0.00	0.00	0.00	0.00	4.50	4.19	2.71	2.70
89.00	8.40	7.50	6.90	1.22	0.00	0.00	0.00	0.00	0.00	4.50	4.20	2.70	2.71
90.00	8.41	7.50	6.90	0.82	0.00	0.00	0.00	0.00	0.00	3.90	3.66	2.41	2.21
91.00	8.40	7.49	6.90	0.05	0.21	0.00	0.00	0.00	0.00	0.06	0.00	1.59	0.97
