Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.348s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	7.80	0.00	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.19	2.37
3.00	7.80	0.00	0.01	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.59	0.34
4.00	7.81	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	1.08	0.02	0.04
5.00	7.80	0.00	0.00	0.19	0.00	0.00	1.78	0.00	0.00	1.91	0.00	0.00	0.00	1.80
6.00	7.80	0.00	0.01	0.49	0.00	0.92	0.65	0.00	0.00	1.64	0.00	0.80	0.00	0.49
7.00	7.81	0.00	0.61	1.34	0.00	2.36	0.31	0.00	0.00	1.41	0.00	0.00	0.00	0.87
8.00	7.80	0.00	0.66	1.79	0.00	1.51	0.87	0.00	0.00	1.81	0.00	2.38	0.00	1.24
9.00	7.80	0.00	0.33	1.32	0.00	0.74	0.33	0.00	0.00	2.17	0.00	0.00	0.00	0.02
10.00	7.81	0.08	0.35	0.73	0.00	0.00	1.28	0.00	0.00	1.83	0.00	1.04	0.00	0.48
11.00	7.80	0.00	0.00	0.78	0.00	0.00	0.92	0.00	0.00	0.47	0.00	0.58	0.14	0.05
12.00	7.81	0.00	0.00	0.95	0.00	1.94	0.37	0.00	0.00	0.88	0.00	0.81	0.66	1.12
13.00	7.80	0.00	0.00	0.22	0.00	0.07	1.64	0.00	0.00	1.46	0.00	0.95	1.18	1.01
14.00	7.80	0.00	1.81	0.16	0.00	0.62	0.07	0.00	0.00	0.75	0.00	0.72	0.61	0.15
15.00	7.81	0.00	0.67	1.99	0.00	0.31	0.14	0.00	0.00	0.00	0.00	1.07	0.00	1.44
16.00	7.80	0.05	0.02	0.33	0.00	0.04	0.00	0.00	0.00	1.13	0.00	2.58	0.31	0.74
17.00	7.80	0.00	0.98	0.02	0.00	0.92	2.64	0.00	0.00	0.19	0.00	0.09	0.00	0.35
18.00	7.81	0.19	0.20	1.19	0.00	0.51	1.12	0.00	0.00	0.80	0.00	0.48	0.00	0.99
19.00	7.80	0.00	1.26	0.92	0.00	0.57	0.93	0.00	0.00	2.26	0.00	0.46	0.00	0.49
20.00	7.80	0.00	0.00	0.68	0.00	0.08	0.58	0.00	0.00	0.60	0.00	0.88	0.00	0.00
21.00	7.81	0.00	0.64	0.92	0.00	0.61	1.83	0.00	0.00	1.52	0.00	0.86	0.35	0.62
22.00	7.80	0.00	0.38	2.23	0.00	0.00	0.42	0.00	0.00	1.34	0.00	0.79	0.00	0.65
23.00	7.81	0.00	1.08	0.32	0.00	0.29	0.81	0.00	0.00	1.64	0.00	0.98	0.02	1.42
24.00	7.80	0.00	0.93	0.95	0.00	0.00	0.61	0.00	0.00	1.28	0.00	2.65	0.00	1.70
25.00	7.80	0.00	0.31	0.00	0.00	0.37	0.01	0.00	0.00	1.85	0.00	0.15	0.25	0.65
26.00	7.81	0.00	0.78	0.00	0.00	0.88	0.45	0.00	0.00	0.99	0.00	0.25	0.22	0.49
27.00	7.80	0.00	0.47	0.00	0.00	0.00	0.41	0.00	0.00	1.53	0.00	0.46	0.04	1.64
28.00	7.80	0.00	0.93	0.00	0.00	3.23	1.22	0.00	0.00	0.00	0.00	1.00	0.46	0.39
29.00	7.81	0.00	0.85	1.94	0.00	2.31	0.61	0.00	0.00	0.99	0.00	1.10	0.87	2.01
30.00	7.80	0.00	1.54	0.58	0.00	0.00	1.53	0.00	0.00	0.00	0.00	0.26	0.34	0.81
31.00	7.80	0.00	0.31	1.24	0.00	2.05	1.07	0.00	0.00	1.66	0.00	0.92	0.35	1.15
32.00	7.81	0.00	1.64	0.38	0.00	0.61	1.34	0.00	0.00	1.28	0.00	0.97	0.02	2.72
33.00	7.80	0.00	3.98	0.00	0.00	0.80	0.19	0.00	0.00	2.66	0.00	0.61	1.57	0.85
34.00	7.81	0.04	2.06	0.00	0.00	0.88	0.58	0.00	0.00	1.26	0.00	0.47	0.34	0.98
35.00	7.80	0.00	0.88	2.20	0.00	1.94	1.59	0.00	0.00	1.60	0.00	1.45	0.00	0.54
36.00	7.80	0.00	0.61	2.83	0.00	2.36	1.06	0.00	0.00	0.71	0.00	1.14	0.00	0.78
37.00	7.81	0.60	0.69	0.57	0.00	1.01	0.66	0.00	0.00	0.00	0.00	1.07	0.64	1.12
38.00	7.80	0.00	0.00	0.61	0.00	1.26	1.42	0.00	0.00	1.24	0.00	0.57	1.00	1.28
39.00	7.80	0.14	0.62	0.28	0.00	0.53	0.84	0.00	0.00	1.26	0.00	0.26	0.01	0.02
40.00	7.81	0.00	0.95	0.61	0.00	2.32	0.11	0.00	0.00	1.08	0.00	0.45	0.00	0.99
41.00	7.80	0.00	0.00	0.49	0.00	1.31	0.00	0.00	0.00	1.01	0.00	0.00	1.67	0.14
42.00	7.80	0.00	0.00	0.00	0.00	1.08	2.87	0.00	0.00	2.08	0.00	0.51	0.14	1.92
43.00	7.81	0.49	3.07	2.85	0.00	1.19	0.00	0.00	0.00	0.26	0.00	1.94	0.27	0.55
44.00	7.80	0.00	2.94	0.59	0.00	0.78	1.00	0.00	0.00	1.63	0.00	0.31	0.00	1.20
45.00	7.81	0.00	0.98	0.38	0.00	2.07	1.71	0.00	0.00	0.29	0.00	0.00	0.00	1.18
46.00	7.80	0.06	0.04	0.00	0.00	0.00	1.40	0.00	0.00	0.00	0.00	1.44	0.00	0.07
47.00	7.80	0.00	0.44	0.80	0.00	0.92	0.00	0.00	0.00	2.61	0.00	1.28	0.35	0.72
48.00	7.81	0.00	0.00	0.53	0.01	0.41	0.55	0.00	0.00	1.17	0.00	1.19	0.61	0.00
49.00	7.80	0.00	1.38	0.59	0.00	1.78	0.94	0.00	0.00	0.00	0.00	0.24	0.00	1.95
50.00	7.80	0.00	0.95	0.00	0.00	0.00	1.17	0.00	0.00	1.58	0.00	0.85	0.94	0.77
51.00	7.81	0.00	0.00	0.61	0.00	1.21	1.59	0.00	0.00	0.00	0.00	0.18	0.00	0.00
52.00	7.80	0.00	0.46	0.61	0.00	0.00	0.31	0.00	0.00	1.66	0.00	0.00	0.00	1.67
53.00	7.80	0.00	0.57	0.55	0.00	0.42	0.28	0.00	0.00	0.00	0.00	0.75	0.00	0.12
54.00	7.81	0.00	0.44	0.00	0.00	1.71	0.80	0.00	0.00	0.00	0.00	0.14	0.33	0.75
55.00	7.80	0.00	0.04	0.62	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.32
56.00	7.81	0.00	0.57	0.00	0.00	0.00	1.08	0.00	0.00	2.27	0.00	0.47	0.73	0.79
57.00	7.80	0.00	0.00	1.57	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.28	0.00	0.29
58.00	7.80	0.31	0.28	0.38	0.19	0.00	1.34	0.00	0.00	1.95	0.00	0.42	0.00	0.15
59.00	7.81	0.49	0.48	0.00	0.00	0.98	1.42	0.00	0.00	0.99	0.00	0.87	0.24	1.88
60.00	7.80	0.00	1.61	0.53	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.32	0.00	0.91
61.00	7.80	0.00	0.53	0.05	0.00	2.50	2.48	0.00	0.00	0.00	0.00	0.29	0.00	0.94
62.00	7.81	0.00	0.02	0.00	0.00	0.19	1.45	0.00	0.00	2.46	0.00	0.45	0.00	1.72
63.00	7.80	0.00	0.65	0.34	0.00	0.25	0.00	0.00	0.00	0.16	0.00	2.37	0.00	1.78
64.00	7.80	0.06	1.26	0.00	0.00	0.00	0.82	0.00	0.00	1.91	0.00	2.97	0.00	2.65
65.00	7.81	0.00	0.68	1.68	0.00	2.59	1.30	0.00	0.00	1.85	0.00	1.25	0.14	1.66
66.00	7.80	0.08	0.00	0.00	0.00	2.03	0.65	0.00	0.00	1.06	0.00	0.22	1.55	0.12
67.00	7.81	0.00	0.00	1.12	0.00	0.24	1.31	0.00	0.00	1.53	0.00	0.31	0.00	0.00
68.00	7.80	0.09	0.19	2.21	0.08	1.75	0.81	0.00	0.00	0.84	0.00	1.17	0.00	0.49
69.00	7.80	0.00	0.87	0.58	0.00	1.46	0.55	0.00	0.00	0.00	0.00	1.05	0.00	0.77
70.00	7.81	0.49	0.13	0.00	0.00	1.02	0.71	0.00	0.00	0.31	0.00	1.24	0.00	0.33
71.00	7.80	0.00	0.88	1.08	0.00	1.99	1.39	0.00	0.00	0.00	0.00	0.16	1.50	3.26
72.00	7.80	0.00	0.00	1.06	0.00	0.32	0.61	0.00	0.00	1.46	0.00	0.00	0.32	0.57
73.00	7.81	0.00	0.00	0.40	0.00	2.79	1.53	0.00	0.00	0.49	0.00	0.69	0.00	0.81
74.00	7.80	0.08	3.14	0.55	0.00	0.31	0.81	0.00	0.00	0.85	0.00	2.05	0.00	1.66
75.00	7.80	0.00	2.71	0.49	0.00	0.91	0.61	0.00	0.00	0.91	0.00	0.85	0.00	1.70
76.00	7.81	0.00	2.08	1.30	0.00	2.72	2.63	0.00	0.00	1.51	0.00	0.66	0.00	0.92
77.00	7.80	0.00	0.44	0.31	0.00	1.57	0.32	0.00	0.00	0.00	0.00	0.78	0.00	0.61
78.00	7.81	0.00	0.99	0.55	0.00	0.92	1.93	0.00	0.00	1.19	0.00	1.41	0.00	2.39
79.00	7.80	0.00	0.66	2.43	0.00	1.28	2.07	0.00	0.00	0.58	0.00	0.38	0.00	0.86
80.00	7.80	0.51	0.79	1.25	0.00	0.42	0.00	0.00	0.00	1.57	0.00	0.94	1.38	0.15
81.00	7.81	0.49	2.05	0.00	0.00	0.94	1.63	0.00	0.00	1.47	0.00	0.97	1.81	1.47
82.00	7.80	0.13	1.26	0.00	0.00	0.32	3.00	0.00	0.00	0.99	0.00	1.20	0.99	0.92
83.00	7.80	0.00	1.20	0.85	0.00	0.80	1.48	0.00	0.00	1.51	0.00	0.52	0.12	0.61
84.00	7.81	0.53	1.17	1.01	0.00	1.63	1.67	0.00	0.00	3.62	0.00	1.48	0.31	0.74
85.00	7.80	0.00	2.76	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	2.74	1.83	0.74
86.00	7.80	0.00	0.32	0.31	0.00	1.92	1.42	0.00	0.00	1.79	0.00	1.85	0.00	1.40
87.00	7.81	0.00	2.79	0.52	0.00	2.89	0.92	0.00	0.00	2.39	0.00	1.04	1.30	1.57
88.00	7.80	0.00	2.52	0.00	0.00	0.95	0.27	0.00	0.00	0.01	0.00	1.30	0.97	0.00
89.00	7.81	0.00	1.30	0.00	0.00	0.39	0.80	0.00	0.00	1.38	0.00	0.64	0.00	0.66
90.00	7.80	0.00	0.01	1.12	0.00	1.88	0.68	0.00	0.00	1.20	0.00	1.64	0.00	2.81
91.00	7.80	0.00	2.64	0.35	0.00	0.92	1.25	0.00	0.00	2.00	0.00	1.42	0.02	1.20
92.00	7.81	0.49	2.34	0.52	0.00	0.00	0.94	0.00	0.00	0.00	0.00	2.04	0.35	0.84
93.00	7.80	0.00	1.38	0.40	0.00	0.00	1.38	0.00	0.00	0.00	0.00	0.28	0.12	1.86
94.00	7.80	0.00	1.71	0.06	0.00	0.13	0.88	0.00	0.00	0.95	0.00	0.98	0.07	0.66
95.00	7.81	0.00	1.84	2.08	0.00	3.94	2.10	0.00	0.00	4.17	0.00	0.02	0.00	1.68
96.00	7.80	0.00	0.33	0.31	0.00	0.09	0.47	0.00	0.00	1.63	0.00	0.05	0.00	0.78
97.00	7.80	0.33	2.24	0.00	0.00	0.87	2.93	0.00	0.00	3.05	0.00	1.81	0.00	1.81
98.00	7.81	0.49	0.21	2.72	0.00	0.48	0.81	0.00	0.00	1.35	0.00	0.62	3.26	1.61
99.00	7.80	0.00	0.22	0.86	0.00	3.21	2.14	0.00	0.00	1.75	0.00	0.77	0.73	0.88
100.00	7.81	0.27	0.08	0.00	0.00	4.32	3.66	0.00	0.00	3.87	0.00	2.23	2.90	1.68
101.00	7.80	0.00	0.34	2.60	0.00	1.80	1.78	0.00	0.00	1.44	0.00	0.35	0.00	0.77
102.00	7.80	0.00	1.32	0.46	0.00	2.41	1.86	0.00	0.00	2.20	0.00	1.50	0.35	0.00
