Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.085s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	7.15	6.87	6.29	0.47	2.01	1.59	0.00	0.02	0.04	0.35	0.00	0.47	0.00	0.00
3.00	7.20	6.90	6.30	0.00	2.14	0.00	1.21	0.99	0.00	0.47	0.26	0.49	0.00	0.00
4.00	7.21	6.90	6.30	0.12	0.00	0.00	0.00	2.71	0.57	0.33	0.94	0.49	0.00	0.00
5.00	7.20	6.90	6.30	0.19	2.14	0.57	0.00	1.61	1.04	0.42	0.31	0.02	0.00	0.00
6.00	7.21	6.90	6.30	0.25	2.10	0.09	0.52	2.59	0.64	0.33	0.01	0.00	0.00	0.00
7.00	7.20	6.90	6.30	0.75	2.65	0.00	0.00	0.00	0.29	0.68	0.19	2.58	0.00	0.00
8.00	7.20	6.90	6.30	0.08	0.65	2.28	0.00	0.86	0.40	0.75	0.78	1.65	0.00	0.00
9.00	7.21	6.90	6.30	0.73	1.61	2.53	2.83	0.19	0.05	0.97	0.62	2.38	0.00	0.00
10.00	7.20	6.90	6.30	0.26	0.94	1.74	0.85	3.89	0.05	0.95	0.33	2.06	0.00	0.00
11.00	7.21	6.90	6.30	0.00	0.22	0.15	0.21	2.83	0.09	0.35	0.33	2.39	0.00	0.00
12.00	7.20	6.90	6.30	0.02	3.30	0.24	1.26	2.81	0.39	0.00	0.66	0.66	0.00	0.00
13.00	7.20	6.90	6.30	0.41	1.50	1.13	0.00	1.64	1.15	0.81	0.34	1.10	0.00	0.00
14.00	7.21	6.90	6.30	0.02	2.83	0.14	0.00	3.84	0.21	0.64	0.54	1.58	0.00	0.00
15.00	7.20	6.90	6.30	0.71	3.14	0.08	0.00	1.35	0.24	0.13	0.42	0.14	0.00	0.00
16.00	7.21	6.90	6.30	0.24	0.49	0.16	0.00	2.30	0.00	0.37	0.46	2.07	0.00	0.00
17.00	7.20	6.89	6.30	0.01	1.65	0.67	0.00	4.31	0.00	1.06	0.65	0.48	0.00	0.00
18.00	7.21	6.90	6.30	0.00	1.12	1.21	0.00	2.21	0.16	1.27	1.39	1.97	0.00	0.00
19.00	7.20	6.90	6.30	0.77	0.00	0.00	0.00	2.85	0.85	0.42	0.33	1.24	0.00	0.00
20.00	7.20	6.90	6.30	0.09	1.66	0.00	0.38	0.24	0.21	0.78	0.12	1.40	0.00	0.00
21.00	7.21	6.90	6.30	0.18	2.10	0.37	0.44	1.34	0.55	0.94	0.92	1.93	0.00	0.00
22.00	7.20	6.90	6.30	0.48	2.26	0.87	0.00	5.50	0.16	0.40	1.01	1.44	0.00	0.00
23.00	7.21	6.90	6.30	0.52	4.02	0.93	1.08	2.12	0.00	0.61	1.44	0.29	0.00	0.00
24.00	7.20	6.90	6.30	0.38	0.95	1.39	0.49	4.36	1.00	0.24	1.48	1.22	0.00	0.00
25.00	7.20	6.90	6.30	0.40	3.36	0.32	0.24	0.75	0.05	0.60	0.78	0.00	0.00	0.00
26.00	7.21	6.90	6.30	0.31	0.16	1.32	2.47	2.61	1.24	1.13	0.87	3.71	0.00	0.00
27.00	7.20	6.90	6.30	0.64	1.37	0.52	1.48	2.67	0.14	0.09	1.34	2.32	0.00	0.00
28.00	7.21	6.90	6.30	0.37	1.52	1.11	1.47	1.21	0.29	0.41	1.20	1.50	0.00	0.00
29.00	7.20	6.90	6.30	0.00	2.50	0.81	0.40	0.00	0.89	0.54	0.47	0.00	0.00	0.00
30.00	7.20	6.90	6.30	0.72	5.77	0.00	0.00	3.90	0.93	1.11	1.24	0.99	0.00	0.00
31.00	7.21	6.90	6.30	0.61	1.63	0.42	0.00	2.23	0.87	0.49	0.73	1.70	0.00	0.00
32.00	7.20	6.90	6.30	0.00	0.38	0.00	0.00	0.07	0.75	0.80	0.64	0.06	0.00	0.00
33.00	7.21	6.90	6.30	0.00	0.49	1.41	0.00	2.51	0.37	0.00	0.72	0.49	0.00	0.00
34.00	7.20	6.89	6.30	0.34	1.17	0.53	0.00	3.85	0.86	0.61	0.95	2.96	0.00	0.00
35.00	7.21	6.90	6.30	0.68	1.64	2.18	0.00	0.05	0.92	0.33	0.57	1.73	0.00	0.00
36.00	7.20	6.90	6.30	0.21	1.15	0.79	0.00	1.31	0.00	0.45	0.00	1.05	0.00	0.00
37.00	7.20	6.90	6.30	0.58	1.33	0.00	1.14	0.49	0.01	0.64	1.00	4.24	0.00	0.00
38.00	7.21	6.90	6.30	0.47	0.49	0.00	0.21	0.51	0.13	1.15	0.38	1.93	0.00	0.00
39.00	7.20	6.90	6.30	0.25	1.44	0.11	0.00	0.49	0.58	0.13	0.85	1.10	0.00	0.00
40.00	7.21	6.90	6.30	0.98	1.71	1.50	0.99	0.00	0.59	0.52	0.33	1.65	0.00	0.00
41.00	7.20	6.90	6.30	0.24	0.74	0.00	1.67	1.46	1.27	0.34	0.47	2.12	0.00	0.00
42.00	7.20	6.90	6.30	0.18	4.24	1.58	1.72	4.12	0.61	0.98	1.15	1.45	0.00	0.00
43.00	7.21	6.90	6.30	0.33	1.32	2.00	0.00	2.30	0.84	0.64	0.82	2.31	0.00	0.00
44.00	7.20	6.90	6.30	0.16	2.17	0.11	0.00	0.68	1.13	0.57	0.05	0.57	0.00	0.00
45.00	7.21	6.90	6.30	0.65	0.02	0.00	1.31	0.00	0.66	0.02	0.80	1.72	0.00	0.00
46.00	7.20	6.90	6.30	0.25	2.40	1.34	0.34	0.00	0.38	0.00	0.47	1.58	0.00	0.00
47.00	7.21	6.90	6.30	0.24	3.31	0.99	0.07	3.57	0.62	0.84	0.92	1.25	0.00	0.00
48.00	7.20	6.90	6.30	0.33	0.82	0.00	1.13	0.73	0.49	0.33	0.45	0.07	0.00	0.00
49.00	7.20	6.90	6.30	0.07	2.67	0.00	0.01	3.44	1.07	0.72	1.11	0.49	0.00	0.00
50.00	7.21	6.89	6.30	0.53	0.00	0.00	0.00	3.16	0.00	0.89	0.47	0.49	0.00	0.00
51.00	7.20	6.90	6.30	0.52	0.00	0.64	0.37	2.61	0.02	0.80	0.09	1.58	0.00	0.00
52.00	7.21	6.90	6.30	0.97	1.32	0.49	0.49	1.42	0.37	0.38	0.78	1.81	0.00	0.00
53.00	7.20	6.90	6.30	0.57	1.26	0.16	0.00	4.07	0.40	0.45	0.94	1.47	0.00	0.00
54.00	7.20	6.90	6.30	0.41	0.05	0.00	0.00	0.75	0.99	0.29	0.52	0.26	0.00	0.00
55.00	7.21	6.90	6.30	0.55	1.73	0.00	0.85	1.61	1.31	0.00	1.04	1.67	0.00	0.00
56.00	7.20	6.90	6.30	0.61	3.80	0.00	1.31	3.46	1.12	1.34	0.73	1.13	0.00	0.00
57.00	7.21	6.90	6.30	0.67	1.45	1.95	0.00	3.14	0.14	0.25	0.57	1.93	0.00	0.00
58.00	7.20	6.90	6.30	0.12	0.00	1.20	0.71	1.67	0.31	0.66	0.82	1.98	0.00	0.00
59.00	7.20	6.90	6.30	2.01	2.18	0.86	0.00	2.54	0.00	0.00	0.12	1.39	0.00	0.00
60.00	7.21	6.90	6.30	0.49	2.64	0.33	0.80	1.57	0.81	0.75	0.31	0.31	0.00	0.00
61.00	7.20	6.90	6.30	0.38	2.58	0.00	0.00	2.56	0.74	0.85	1.17	1.53	0.00	0.00
62.00	7.21	6.90	6.30	1.12	0.15	0.00	0.00	0.68	0.78	0.49	0.73	0.87	0.00	0.00
63.00	7.20	6.90	6.30	0.79	0.99	0.00	1.90	1.37	1.21	0.78	0.54	3.37	0.00	0.00
64.00	7.21	6.90	6.30	1.25	3.09	0.00	0.12	2.61	1.01	1.07	0.00	0.55	0.00	0.00
65.00	7.20	6.90	6.30	0.31	0.64	0.00	0.00	3.29	1.98	0.61	0.25	0.08	0.00	0.00
66.00	7.20	6.89	6.30	0.45	0.00	1.13	0.99	1.20	1.12	0.80	0.37	0.61	0.00	0.00
67.00	7.21	6.90	6.30	0.42	0.00	0.15	0.00	4.92	1.07	0.91	0.73	0.51	0.00	0.00
68.00	7.20	6.90	6.30	0.71	0.00	0.00	0.49	4.82	0.64	0.47	0.27	1.73	0.00	0.00
69.00	7.21	6.90	6.30	0.37	0.86	0.01	0.00	3.31	0.35	0.00	1.21	1.64	0.00	0.00
70.00	7.20	6.90	6.30	0.00	1.83	0.34	0.52	1.07	0.52	0.00	0.00	2.60	0.00	0.00
71.00	7.20	6.90	6.30	0.00	2.39	1.27	2.46	2.24	0.05	2.01	1.01	2.80	0.00	0.00
72.00	7.21	6.90	6.30	0.62	2.31	1.48	0.00	2.30	0.00	2.14	0.86	1.99	0.00	0.00
73.00	7.20	6.90	6.30	0.69	0.02	0.07	0.00	5.32	0.00	1.22	1.67	0.00	0.00	0.00
74.00	7.21	6.90	6.30	0.38	2.70	0.79	1.18	2.11	0.00	0.71	0.35	1.31	0.00	0.00
75.00	7.20	6.90	6.29	0.51	5.64	0.92	0.26	3.74	0.00	0.59	0.71	0.00	0.00	0.00
