Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.258s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	9.56	8.03	6.87	2.32	0.82	0.33	0.00	0.00	0.26	0.00	0.09	0.00	0.14	0.00	1.63
3.00	9.60	8.10	6.90	3.21	0.66	0.00	1.99	0.00	0.05	0.00	0.15	0.00	0.71	0.00	0.59
4.00	9.60	8.10	6.90	2.06	0.00	0.12	0.00	0.11	0.00	0.21	0.16	0.00	0.81	0.00	1.14
5.00	9.60	8.10	6.90	3.84	0.00	0.00	0.99	0.00	0.24	0.00	0.24	0.12	0.65	0.00	0.00
6.00	9.61	8.10	6.90	1.80	0.93	0.00	1.65	0.00	0.57	0.00	0.35	0.00	0.07	0.00	0.49
7.00	9.60	8.10	6.90	0.73	0.00	0.00	0.00	1.05	0.15	0.99	0.28	1.65	0.42	0.00	0.46
8.00	9.60	8.09	6.90	0.93	0.66	0.21	1.37	0.00	0.00	0.00	0.20	1.48	0.28	0.00	3.20
9.00	9.60	8.10	6.90	0.85	1.28	0.32	0.75	0.00	0.15	0.09	0.59	0.00	0.48	0.00	0.69
10.00	9.60	8.10	6.90	2.72	2.23	0.00	0.51	0.00	0.09	0.11	0.79	1.31	0.12	0.00	0.65
11.00	9.61	8.10	6.90	4.11	2.14	0.47	0.75	0.00	0.08	0.06	0.91	0.00	0.08	0.00	0.49
12.00	9.60	8.10	6.90	1.67	1.90	0.19	0.00	0.00	0.26	0.75	0.65	0.00	0.00	0.00	1.58
13.00	9.60	8.10	6.90	0.01	1.51	0.00	1.37	0.00	0.73	0.79	1.31	0.00	0.00	0.00	0.00
14.00	9.60	8.09	6.90	0.33	0.00	0.00	0.92	0.00	0.52	0.00	0.58	0.00	0.05	0.00	0.00
