Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.320s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	6.89	6.59	6.29	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06
3.00	6.90	6.59	6.30	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42
4.00	6.90	6.61	6.30	3.34	0.00	0.49	0.00	0.00	0.00	0.00	2.38	0.00	0.00	0.00	0.00
5.00	6.90	6.59	6.30	0.67	0.00	2.37	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.48	1.67
6.00	6.90	6.61	6.30	2.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	1.08
7.00	6.90	6.59	6.30	0.47	0.00	2.21	0.13	0.00	0.00	1.37	0.31	0.00	0.00	0.49	0.00
8.00	6.90	6.61	6.30	2.16	0.00	1.11	0.00	0.00	0.00	1.65	1.02	0.00	0.00	0.00	1.87
9.00	6.90	6.59	6.30	0.52	0.00	2.48	1.98	0.00	0.00	0.42	0.61	0.00	0.00	3.38	0.54
10.00	6.90	6.61	6.30	0.25	0.00	0.00	0.00	0.00	0.00	2.11	0.00	0.00	0.00	0.93	2.52
11.00	6.90	6.59	6.30	1.57	0.00	2.37	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.02	0.49
12.00	6.90	6.61	6.30	0.82	0.00	0.00	1.93	0.00	0.00	0.00	0.04	0.00	0.00	2.14	0.00
13.00	6.90	6.59	6.30	2.91	0.00	2.14	3.43	0.00	0.00	4.00	0.00	0.00	0.00	2.00	0.00
14.00	6.90	6.61	6.30	1.50	0.00	0.00	0.33	0.00	0.00	1.93	0.00	0.00	0.00	3.00	0.49
15.00	6.90	6.59	6.30	1.24	0.00	0.49	1.19	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.65
16.00	6.90	6.59	6.30	0.49	0.00	2.51	2.59	0.00	0.00	0.00	0.01	0.00	0.00	0.14	0.35
17.00	6.89	6.61	6.30	1.71	0.00	0.00	0.42	0.00	0.00	2.23	0.00	0.00	0.00	0.19	0.99
18.00	6.90	6.59	6.30	0.00	0.00	3.27	1.55	0.00	0.00	0.92	0.00	0.00	0.00	3.52	0.00
19.00	6.90	6.61	6.30	0.49	0.00	1.34	1.40	0.00	0.00	0.00	0.18	0.00	0.01	1.32	1.59
20.00	6.90	6.59	6.30	1.84	0.00	0.07	1.11	0.00	0.00	2.76	0.00	0.00	0.00	0.35	2.72
21.00	6.90	6.61	6.30	0.49	0.00	2.68	1.31	0.00	0.00	0.00	2.26	0.00	0.00	1.59	1.32
22.00	6.90	6.59	6.30	3.13	0.00	2.24	1.47	0.00	0.00	4.04	0.00	0.00	0.00	0.59	0.13
23.00	6.90	6.61	6.30	3.67	0.00	2.79	4.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	6.90	6.59	6.30	5.82	0.00	2.36	1.97	0.00	0.00	0.00	0.54	0.00	0.00	1.92	0.00
25.00	6.90	6.61	6.30	2.04	0.00	1.70	2.43	0.00	0.00	2.34	0.61	0.00	0.00	1.26	0.00
26.00	6.90	6.59	6.30	0.49	0.00	0.55	2.04	0.00	0.00	0.00	0.33	0.00	0.00	1.32	0.32
27.00	6.90	6.61	6.30	3.10	0.00	1.79	2.44	0.00	0.00	0.49	0.61	0.00	0.00	2.66	1.73
28.00	6.90	6.59	6.30	2.65	0.00	3.96	0.27	0.00	0.00	1.28	0.61	0.00	0.00	1.07	0.84
29.00	6.90	6.59	6.30	1.35	0.00	1.27	0.07	0.00	0.00	0.00	0.00	0.00	0.00	1.05	1.70
30.00	6.90	6.61	6.30	1.99	0.00	2.16	1.90	0.00	0.00	0.00	0.00	0.00	0.00	1.85	1.88
31.00	6.90	6.59	6.30	1.65	0.00	0.00	0.22	0.00	0.00	0.00	1.84	0.00	0.00	2.13	0.49
32.00	6.90	6.61	6.30	2.13	0.00	0.00	1.88	0.00	0.00	0.00	0.00	0.00	0.00	0.06	1.61
