Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.108s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	9.87	8.66	7.78	0.65	0.00	0.00	0.12	0.00	0.00	0.00	1.48	0.00	0.02	0.00	0.00	0.21
3.00	9.90	8.70	7.80	1.80	0.00	0.00	0.00	0.00	0.00	0.00	2.34	0.00	0.14	0.00	0.28	0.35
4.00	9.90	8.70	7.81	1.88	0.94	0.00	0.24	0.00	0.26	0.16	0.08	0.16	0.05	0.00	0.09	0.16
5.00	9.89	8.70	7.80	0.26	1.10	0.02	0.42	0.00	0.31	1.18	2.76	0.45	0.00	0.00	1.01	0.35
6.00	9.90	8.69	7.80	0.01	0.27	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.73	1.20	1.91	0.45
7.00	9.90	8.70	7.81	0.00	0.00	0.00	0.00	0.00	0.00	3.87	0.00	0.00	0.38	1.18	0.64	0.71
8.00	9.89	8.70	7.80	1.51	0.07	0.00	0.40	0.00	0.15	0.68	0.00	0.00	0.16	1.26	2.91	0.21
9.00	9.90	8.70	7.80	2.57	0.65	0.00	0.00	0.00	0.78	0.00	0.40	0.00	0.11	1.21	0.19	0.40
10.00	9.90	8.70	7.81	1.33	0.64	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	1.01	0.00	0.09
11.00	9.89	8.69	7.80	1.18	0.12	0.00	0.00	0.00	0.14	0.00	1.70	0.00	0.00	2.03	0.02	0.24
12.00	9.90	8.70	7.81	3.92	0.33	0.00	0.00	0.00	0.00	0.51	0.20	0.00	0.24	2.04	0.00	0.02
13.00	9.90	8.70	7.80	0.99	0.00	0.00	0.44	0.00	0.00	0.02	0.00	0.06	0.05	1.47	1.25	0.52
14.00	9.90	8.70	7.80	0.00	0.45	0.00	0.14	0.00	0.00	0.00	2.65	0.49	0.00	1.28	0.00	0.16
15.00	9.89	8.70	7.81	2.45	0.94	0.00	0.25	0.00	0.00	0.00	1.75	1.68	0.37	0.87	0.00	0.35
16.00	9.90	8.69	7.80	0.00	0.92	0.00	0.12	0.00	0.00	0.00	2.56	0.41	0.35	1.84	0.00	0.19
17.00	9.90	8.70	7.80	0.00	0.59	0.84	0.25	0.54	0.00	0.14	0.00	1.27	0.14	1.13	0.00	0.45
18.00	9.89	8.70	7.81	1.55	0.00	0.00	0.26	0.00	0.00	0.02	0.34	1.30	0.31	1.95	0.51	0.38
19.00	9.90	8.70	7.80	3.21	1.85	0.00	0.21	0.00	0.00	1.34	3.04	0.05	0.00	2.10	0.78	0.21
20.00	9.90	8.70	7.80	0.00	0.89	0.00	0.00	0.00	0.00	1.66	1.34	0.00	0.21	1.87	0.67	0.85
21.00	9.89	8.69	7.81	2.05	4.90	0.00	0.13	0.00	0.16	0.48	0.00	0.00	0.12	4.37	0.42	0.57
22.00	9.90	8.70	7.80	0.00	0.00	0.15	0.00	0.00	1.30	0.00	0.00	0.34	0.42	2.19	0.15	0.40
23.00	9.90	8.70	7.81	0.14	0.89	0.00	0.00	0.00	1.28	0.00	1.72	0.05	0.28	1.83	0.32	0.24
24.00	9.89	8.70	7.80	0.51	0.00	0.16	0.38	0.00	1.11	0.00	2.53	1.19	0.00	0.00	0.00	0.07
25.00	9.90	8.69	7.80	0.00	1.04	0.04	0.21	0.00	1.15	0.99	3.18	1.04	0.00	1.60	0.00	0.16
26.00	9.90	8.70	7.81	0.00	3.38	0.00	0.22	0.00	0.00	1.64	3.76	0.00	0.00	1.94	0.00	0.61
27.00	9.90	8.70	7.80	4.57	3.99	0.00	0.00	0.00	0.58	0.05	1.81	0.00	0.00	1.15	0.80	0.09
28.00	9.89	8.70	7.80	0.48	3.34	0.00	0.84	0.00	0.78	0.00	1.07	0.00	0.00	2.45	0.99	0.00
29.00	9.90	8.70	7.81	0.00	2.41	0.00	0.28	0.00	1.81	0.00	2.67	0.00	0.28	1.30	0.06	0.38
30.00	9.90	8.69	7.80	0.00	0.00	0.00	0.00	0.00	1.44	3.05	1.45	0.00	0.00	1.24	0.00	0.75
31.00	9.89	8.70	7.80	0.00	1.75	0.00	0.00	0.00	1.80	0.73	0.38	0.19	0.05	3.44	1.86	0.73
32.00	9.90	8.70	7.81	0.00	2.85	0.12	0.27	0.02	0.08	0.49	3.25	0.45	0.00	2.25	1.08	0.54
33.00	9.90	8.70	7.80	1.34	0.81	0.00	0.45	0.00	0.99	1.80	2.45	0.01	0.29	0.00	0.00	0.52
34.00	9.89	8.70	7.81	0.00	1.92	0.00	0.38	0.00	0.99	1.92	0.26	0.00	0.08	1.54	0.05	0.52
35.00	9.90	8.69	7.80	0.00	0.49	0.00	0.00	0.00	0.00	0.22	0.49	0.00	0.07	0.60	0.49	0.16
36.00	9.90	8.70	7.80	0.42	0.66	0.00	0.00	0.00	0.14	2.47	0.49	3.33	0.00	0.99	1.22	0.75
37.00	9.89	8.70	7.81	0.34	0.49	0.00	0.02	0.40	0.00	0.16	0.00	0.81	0.57	2.13	1.30	0.05
38.00	9.90	8.70	7.80	0.04	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.08	0.78	3.51	0.00	0.61
39.00	9.90	8.70	7.80	0.00	0.00	0.00	0.00	0.00	1.44	0.00	0.00	0.04	0.00	0.05	1.10	0.97
40.00	9.90	8.69	7.81	0.06	0.29	0.01	0.00	0.46	1.79	0.00	0.00	3.69	0.00	2.51	0.65	0.73
