Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.355s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	7.18	0.00	0.00	0.00	0.00	0.00	2.57	0.00	0.00	0.00	0.00	2.73	0.00	0.00	0.00	0.00
3.00	7.20	0.00	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	1.05	0.00	0.00	0.09	0.01
4.00	7.21	0.00	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	2.57	0.00	0.00	0.00	0.00
5.00	7.20	0.00	0.00	0.00	0.00	0.00	3.51	0.00	0.72	0.00	0.00	2.84	0.00	0.00	0.00	0.60
6.00	7.21	0.00	0.00	0.00	0.00	0.00	3.04	0.00	3.27	0.00	0.00	2.30	0.00	0.00	0.00	0.46
7.00	7.20	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.60	0.00	0.00	4.22	0.00	0.00	0.00	0.00
8.00	7.20	0.00	0.00	0.00	0.00	0.61	3.29	0.74	0.73	0.00	0.00	3.91	0.00	0.00	0.00	0.45
9.00	7.21	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.99	0.00	0.00	2.51	0.00	0.00	0.08	0.00
10.00	7.20	0.00	0.00	0.00	0.00	0.00	1.13	0.13	0.00	0.00	0.00	2.40	0.00	0.00	0.00	0.07
11.00	7.21	0.00	0.00	0.00	0.00	0.00	3.87	0.00	0.00	0.00	0.00	4.77	0.00	0.00	0.00	0.69
12.00	7.20	0.00	0.00	0.64	0.00	0.00	3.91	0.00	0.00	0.00	0.00	0.79	0.00	0.00	0.00	0.57
13.00	7.20	0.00	0.00	0.00	0.00	0.00	3.04	0.00	0.00	0.00	0.00	4.07	0.00	0.00	0.08	0.54
14.00	7.21	0.00	0.00	0.00	0.00	0.00	3.84	0.00	0.00	0.00	0.00	4.49	0.00	0.00	0.00	0.60
15.00	7.20	0.00	0.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.00	4.45	0.00	0.00	0.00	0.29
16.00	7.21	0.00	0.00	0.38	0.00	0.00	2.81	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.04	0.51
17.00	7.20	0.00	0.00	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.12
18.00	7.21	0.00	0.00	0.31	0.00	0.00	1.70	0.40	0.00	0.00	0.00	3.72	0.00	0.00	0.18	0.27
19.00	7.20	0.00	0.00	0.00	0.00	0.00	3.17	0.02	0.35	0.00	0.00	1.75	0.00	0.00	0.02	0.51
20.00	7.20	0.00	0.00	0.00	0.00	0.00	2.81	0.00	0.00	0.00	0.00	3.32	0.00	0.00	0.00	0.45
21.00	7.21	0.00	0.00	0.00	0.00	0.00	3.16	0.00	0.00	0.00	0.00	3.07	0.00	0.00	0.00	0.52
22.00	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.93	0.00	0.00	0.00	0.00
23.00	7.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.38	0.00	0.00	0.01	0.00
24.00	7.20	0.00	0.00	0.05	0.00	0.00	2.21	0.00	0.00	0.00	0.00	2.01	0.00	0.00	0.22	0.34
25.00	7.20	0.00	0.00	0.00	0.00	0.00	1.54	0.64	0.00	0.00	0.00	1.12	0.00	0.00	0.07	0.26
26.00	7.21	0.00	0.00	0.00	0.00	0.00	2.16	0.33	0.00	0.00	0.00	0.66	0.00	0.00	0.22	0.11
27.00	7.20	0.00	0.00	1.30	0.00	0.00	3.00	0.00	0.00	0.00	0.00	3.87	0.00	0.00	0.00	0.35
28.00	7.21	0.00	0.00	0.00	0.00	0.00	3.76	0.00	0.00	0.00	0.00	2.20	0.00	0.00	0.00	0.59
29.00	7.20	0.00	0.00	0.00	0.00	0.31	1.17	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.13
30.00	7.20	0.00	0.00	0.00	0.00	0.00	4.55	0.00	0.00	0.00	0.00	1.97	0.00	0.00	0.00	0.72
31.00	7.21	0.00	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24
32.00	7.20	0.00	0.00	0.00	0.00	0.00	0.44	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.33	0.06
33.00	7.21	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	3.91	0.00	0.00	0.49	0.25
34.00	7.20	0.00	0.00	0.00	0.00	0.00	2.92	0.00	0.00	0.00	0.00	3.47	0.00	0.00	0.24	0.47
35.00	7.21	0.00	0.00	0.00	0.00	0.00	1.53	0.00	0.00	0.00	0.00	1.88	0.00	0.00	0.08	0.21
36.00	7.20	0.00	0.00	0.28	0.00	0.00	1.84	1.27	0.00	0.00	0.00	1.83	0.00	0.00	0.02	0.29
37.00	7.20	0.00	0.00	0.07	0.00	0.00	4.75	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.74
38.00	7.21	0.00	0.00	0.09	0.00	0.00	4.06	0.00	12.05	0.00	0.00	3.26	0.00	0.00	0.42	0.64
39.00	7.20	0.00	0.00	0.24	0.00	0.00	4.37	0.00	0.49	0.00	0.00	3.30	0.00	0.00	0.00	0.73
40.00	7.21	0.00	0.00	0.79	0.00	0.00	2.12	0.00	0.68	0.00	0.00	1.26	0.00	0.00	0.05	0.32
41.00	7.20	0.00	0.00	0.02	0.00	0.00	2.17	0.98	0.49	0.00	0.00	1.92	0.00	0.00	0.14	0.33
42.00	7.20	0.00	0.00	0.29	0.00	0.00	2.91	0.31	0.49	0.00	0.00	3.94	0.00	0.00	0.04	0.31
43.00	7.21	0.00	0.00	0.00	0.00	0.00	4.03	0.00	0.51	0.00	0.00	3.82	0.00	0.00	0.04	0.62
44.00	7.20	0.00	0.00	0.00	0.00	0.00	1.46	0.00	0.00	0.00	0.00	3.63	0.00	0.00	0.00	0.14
45.00	7.21	0.00	0.00	0.00	0.00	0.00	2.37	0.82	1.92	0.00	0.00	1.81	0.00	0.00	0.00	0.39
46.00	7.20	0.00	0.00	0.00	0.00	0.00	4.19	0.00	0.00	0.00	0.00	4.39	0.00	0.00	0.00	0.67
47.00	7.21	0.00	0.00	0.00	0.00	0.00	1.64	0.97	2.74	0.00	0.00	3.05	0.00	0.00	0.00	0.24
48.00	7.20	0.00	0.00	0.00	0.00	0.00	4.29	0.61	0.33	0.00	0.00	3.42	0.00	0.00	0.00	0.65
49.00	7.20	0.00	0.00	0.00	0.00	0.00	2.61	0.00	0.92	0.00	0.00	1.53	0.00	0.00	0.00	0.41
