Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.111s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	7.75	7.16	6.55	0.00	0.00	0.00	0.00	0.16	0.00	0.74	0.00	0.00	0.00	0.00	0.00	0.89	0.24
3.00	7.80	7.20	6.59	1.27	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.59
4.00	7.81	7.21	6.61	1.20	0.00	0.00	0.49	0.00	0.00	0.00	0.58	0.22	0.33	0.00	0.62	0.28	0.00
5.00	7.80	7.20	6.59	1.54	0.19	0.00	0.00	0.00	0.00	0.21	0.41	0.00	0.00	0.09	0.87	0.24	2.38
6.00	7.80	7.21	6.61	1.12	0.57	0.00	0.24	1.64	0.00	0.35	0.00	1.41	0.00	0.00	0.71	0.32	0.78
7.00	7.81	7.20	6.59	0.49	0.00	0.12	0.16	0.51	0.00	1.05	0.00	0.00	0.73	0.00	0.97	0.38	0.49
8.00	7.80	7.20	6.61	1.02	0.14	0.00	0.46	0.00	0.00	0.67	0.00	0.00	0.14	0.00	0.42	0.65	0.00
9.00	7.80	7.21	6.59	1.28	0.51	0.00	0.21	0.00	0.00	0.19	0.99	0.02	0.00	0.00	0.68	0.42	0.49
10.00	7.81	7.20	6.61	1.39	0.19	0.00	0.45	0.73	0.00	0.00	0.49	0.00	0.99	0.07	0.75	0.29	0.00
11.00	7.80	7.21	6.59	0.80	0.00	0.00	0.64	0.09	0.00	0.46	0.00	0.00	0.00	0.37	0.54	0.64	2.45
12.00	7.81	7.20	6.61	1.42	0.00	0.00	1.37	0.00	0.00	0.26	0.00	0.09	0.00	0.00	0.00	0.31	1.61
13.00	7.80	7.20	6.59	1.73	0.00	0.01	0.02	1.18	0.00	0.32	0.28	1.57	1.14	0.25	0.66	0.46	0.53
14.00	7.80	7.21	6.61	0.89	0.00	0.00	0.06	1.83	0.00	0.79	0.99	1.48	0.00	0.09	0.62	0.34	0.00
15.00	7.81	7.20	6.59	0.16	0.07	0.00	1.06	0.02	0.00	1.39	0.00	0.46	0.16	0.19	0.75	0.33	0.00
16.00	7.80	7.21	6.59	0.00	2.52	0.00	0.75	2.54	0.00	0.97	0.00	0.00	2.08	0.00	0.82	0.53	2.01
17.00	7.80	7.20	6.61	0.53	0.09	0.00	0.07	1.42	0.00	1.20	0.00	0.00	0.14	0.00	0.31	0.05	0.00
18.00	7.81	7.21	6.59	0.60	0.35	0.00	0.00	0.00	0.00	0.89	1.20	0.00	0.00	0.00	0.74	0.45	0.49
19.00	7.80	7.20	6.61	1.75	2.47	0.00	0.00	0.00	0.00	0.54	0.49	0.00	0.00	0.13	0.47	0.52	0.11
20.00	7.80	7.20	6.59	1.55	0.00	0.00	0.00	0.00	0.00	0.53	2.10	0.00	0.00	0.38	0.00	0.92	0.29
21.00	7.81	7.21	6.61	0.52	0.44	0.01	0.34	0.99	0.00	1.95	0.00	0.65	0.00	0.35	0.84	0.19	0.00
22.00	7.80	7.20	6.59	1.14	0.00	0.00	0.89	2.34	0.00	0.92	0.00	0.00	0.00	0.38	0.58	0.21	1.64
23.00	7.81	7.21	6.61	1.61	1.90	0.09	0.45	0.49	0.00	1.46	0.49	0.00	0.73	0.02	0.00	0.02	0.86
24.00	7.80	7.20	6.59	1.53	1.64	0.00	0.86	0.49	0.00	1.22	0.00	1.75	0.99	0.19	0.00	0.00	1.11
