Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.312s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	6.85	0.00	0.00	0.00	0.00	1.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	6.90	0.00	0.42	0.00	1.22	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.57
4.00	6.90	0.00	0.00	0.00	1.19	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	6.90	0.00	0.00	0.00	0.00	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	6.90	0.00	0.00	0.00	0.00	1.59	0.00	0.00	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00
8.00	6.90	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	6.90	0.00	0.00	0.00	1.75	3.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
10.00	6.90	0.00	0.00	0.00	3.00	3.53	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00
11.00	6.90	0.00	0.00	0.00	2.33	1.48	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	6.90	0.00	0.00	0.00	0.87	2.03	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	6.90	0.00	0.00	0.00	2.00	2.72	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21
14.00	6.90	0.00	0.00	0.00	0.00	2.27	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.64
15.00	6.90	0.00	0.00	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
16.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33
17.00	6.89	0.00	0.01	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.06
18.00	6.90	0.00	0.00	0.00	4.38	1.40	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	1.24
19.00	6.90	0.00	0.02	0.00	1.80	4.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.30
20.00	6.90	0.00	0.82	0.00	1.35	3.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.40
21.00	6.90	0.00	0.00	0.00	1.07	0.02	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.89
22.00	6.90	0.00	0.00	0.00	1.99	1.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09
23.00	6.90	0.00	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
24.00	6.90	0.00	0.00	0.00	2.11	1.32	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
25.00	6.90	0.00	0.00	0.00	0.49	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02
26.00	6.90	0.00	0.21	0.00	3.94	2.36	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.63
27.00	6.90	0.00	0.00	0.00	2.43	2.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
28.00	6.90	0.00	0.00	0.00	0.00	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
29.00	6.90	0.00	0.00	0.00	1.07	0.07	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00
30.00	6.90	0.00	0.00	0.00	0.49	2.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.34
31.00	6.90	0.00	0.00	0.00	2.85	4.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
32.00	6.90	0.01	0.00	0.00	0.99	1.53	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.28
33.00	6.90	0.00	0.00	0.00	3.85	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.54
34.00	6.89	0.00	0.06	0.00	1.51	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.78
35.00	6.90	0.00	0.34	0.00	5.55	0.92	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.04	0.01
36.00	6.90	0.00	0.00	0.00	5.50	3.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
37.00	6.90	0.00	0.00	0.00	1.60	0.69	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00
38.00	6.90	0.00	0.00	0.00	2.73	0.00	0.00	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.00
39.00	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.51
40.00	6.90	0.00	0.00	0.00	5.26	2.12	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.00	0.52
41.00	6.90	0.00	0.00	0.00	0.45	1.42	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33
42.00	6.90	0.00	0.00	0.00	3.86	1.46	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.75
