Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.298s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	6.85	6.25	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.84	0.26	0.00
3.00	6.90	6.30	0.00	0.02	0.00	0.00	0.00	1.10	0.02	0.00	0.00	0.00	0.00	0.58	0.00	1.64	0.89	0.55
4.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	0.51	0.97	0.00	0.00	0.00	0.00	0.37	0.00	1.35	0.64	0.59
5.00	6.90	6.30	0.00	0.33	0.00	0.00	0.00	0.38	1.68	0.00	0.00	0.00	0.00	0.05	0.00	1.15	0.66	0.60
6.00	6.90	6.30	0.00	0.31	0.00	0.00	0.00	0.77	0.33	0.00	0.00	0.00	0.00	0.00	0.02	1.47	0.86	0.60
7.00	6.90	6.30	0.00	0.35	0.00	0.00	0.00	0.33	1.38	0.00	0.00	3.56	0.00	0.00	0.00	1.68	0.91	0.58
8.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	0.81	0.00	0.00	0.00	3.10	0.00	0.00	0.00	0.68	0.91	0.62
9.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	1.34	1.50	0.00	0.00	1.38	0.00	0.00	0.00	0.71	0.57	0.55
10.00	6.90	6.30	0.00	0.21	0.00	0.00	0.00	2.24	3.00	0.00	0.00	0.41	0.00	1.46	0.00	1.78	0.89	0.59
11.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	1.07	2.34	0.00	0.00	1.18	0.00	1.84	0.00	1.70	0.88	0.61
12.00	6.90	6.30	0.00	0.05	0.00	0.00	0.00	1.64	2.89	0.00	0.00	1.39	0.00	1.11	0.00	1.18	0.85	0.60
13.00	6.90	6.30	0.00	1.05	0.00	0.00	0.00	1.30	1.32	0.00	0.00	0.88	0.00	3.78	0.00	1.22	0.88	0.60
14.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	1.45	1.58	0.00	0.00	3.63	0.00	0.33	0.14	1.47	0.78	0.46
15.00	6.90	6.30	0.00	0.49	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.61	0.00	2.68	0.00	1.11	0.91	0.60
16.00	6.90	6.30	0.00	0.49	0.00	0.00	0.00	2.92	2.74	0.00	0.00	2.89	0.00	1.45	0.00	1.81	0.91	0.58
17.00	6.89	6.30	0.00	0.00	0.00	0.00	0.00	0.29	0.04	0.00	0.00	0.00	0.00	2.65	0.00	0.26	0.89	0.58
18.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	0.66	1.78	0.00	0.00	0.00	0.00	1.10	0.00	0.47	0.89	0.58
19.00	6.90	6.30	0.00	0.61	0.00	0.00	0.00	2.34	2.46	0.00	0.00	0.00	0.00	1.50	0.00	1.47	0.87	0.57
20.00	6.90	6.30	0.00	0.48	0.00	0.00	0.00	1.70	1.61	0.00	0.00	2.70	0.28	1.78	0.33	0.60	0.84	0.45
21.00	6.90	6.30	0.00	1.10	0.00	0.00	0.00	3.32	3.96	0.00	0.00	0.00	0.00	3.66	0.00	1.53	0.89	0.60
22.00	6.90	6.30	0.00	0.80	0.00	0.00	0.00	2.17	1.67	0.00	0.00	4.10	1.17	2.25	0.18	1.41	0.88	0.59
23.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	1.52	0.00	0.00	0.00	2.83	0.59	2.84	0.00	1.21	0.91	0.60
24.00	6.90	6.30	0.00	0.49	0.00	0.00	0.00	2.26	1.17	0.00	0.00	2.79	0.97	1.74	0.00	1.84	0.89	0.60
25.00	6.90	6.30	0.00	0.80	0.00	0.00	0.00	2.48	0.00	0.00	0.00	2.38	0.00	1.99	0.00	1.28	0.87	0.60
26.00	6.90	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.37	0.00	2.71	0.00	1.24	0.89	0.57
27.00	6.90	6.30	0.00	0.61	0.00	0.00	0.00	1.22	3.06	0.00	0.00	1.32	0.21	1.38	0.00	1.01	0.75	0.61
28.00	6.90	6.30	0.00	0.61	0.00	0.00	0.00	0.72	0.86	0.00	0.00	1.88	0.00	0.00	0.00	1.72	0.89	0.60
29.00	6.90	6.30	0.00	0.80	0.00	0.00	0.00	1.25	3.86	0.00	0.00	1.57	0.00	0.75	0.00	1.26	0.84	0.60
