Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.076s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	9.60	7.48	7.48	0.00	0.00	0.00	0.00	0.00	0.91	0.35	1.46	0.00	0.00	0.00	0.00	0.00	1.37	0.00
3.00	9.60	7.50	7.50	0.00	0.00	0.28	0.00	0.31	0.67	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.44	0.00
4.00	9.60	7.50	7.50	0.00	0.00	0.00	0.33	0.01	1.78	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.82	0.00
5.00	9.60	7.50	7.50	0.00	0.00	0.47	1.04	0.00	1.04	0.05	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00
6.00	9.61	7.50	7.50	0.00	0.25	0.00	0.35	0.08	0.75	0.39	0.00	0.00	0.00	0.00	0.18	0.00	0.49	0.00
7.00	9.60	7.50	7.50	0.00	0.00	0.77	0.26	0.26	0.35	0.26	0.14	0.00	0.00	0.00	0.00	0.00	0.67	0.00
8.00	9.60	7.50	7.50	0.00	0.00	0.51	0.48	1.13	0.33	0.95	2.10	0.00	0.00	0.00	0.00	0.49	0.86	0.00
9.00	9.60	7.50	7.50	0.34	1.41	0.73	0.54	1.42	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00
10.00	9.60	7.49	7.49	0.72	0.00	0.86	0.00	1.83	0.31	0.06	1.74	0.00	0.00	0.00	0.00	0.00	0.00	1.05
11.00	9.61	7.50	7.50	0.00	0.07	0.98	0.21	0.62	0.88	0.47	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.14
12.00	9.60	7.50	7.50	1.48	1.18	1.34	0.40	0.45	0.66	1.33	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.61
13.00	9.60	7.50	7.50	0.00	0.15	0.00	0.24	0.57	1.33	1.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.10
14.00	9.60	7.50	7.50	0.00	0.55	0.00	0.35	0.07	0.49	1.08	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.09
15.00	9.61	7.50	7.50	0.00	1.04	0.00	0.67	0.07	0.00	0.21	1.37	0.00	0.00	0.00	0.00	0.07	0.71	0.00
16.00	9.60	7.50	7.50	0.00	0.00	0.00	0.93	0.33	0.21	0.28	0.49	0.00	0.00	0.00	0.00	0.49	1.54	0.00
17.00	9.60	7.50	7.50	0.24	0.00	0.00	0.84	0.00	0.18	1.06	0.00	0.00	0.00	0.02	0.00	0.00	1.44	0.00
18.00	9.60	7.50	7.50	0.00	2.25	0.00	0.52	0.31	0.93	3.29	0.00	0.00	0.00	0.00	0.00	0.48	1.33	0.52
19.00	9.60	7.49	7.49	1.15	0.00	2.47	0.12	0.49	1.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.91
20.00	9.61	7.50	7.50	0.00	1.33	0.00	0.26	0.02	0.51	0.16	2.17	0.00	0.00	0.00	0.00	0.00	1.18	0.06
21.00	9.60	7.50	7.50	0.00	0.37	0.75	0.27	0.00	2.37	0.99	0.02	0.00	0.00	0.09	0.00	0.00	2.93	0.00
22.00	9.60	7.50	7.50	0.00	0.20	2.53	1.72	0.25	1.84	3.86	1.37	0.00	0.00	0.00	0.06	0.00	1.94	0.00
23.00	9.60	7.50	7.50	1.35	0.40	2.93	0.22	0.78	0.99	2.47	0.00	0.00	0.00	0.00	0.07	0.97	0.75	0.51
24.00	9.61	7.50	7.50	2.45	0.12	3.10	0.33	1.28	1.33	0.42	0.81	0.00	0.00	0.00	0.02	0.07	0.40	0.00
25.00	9.60	7.50	7.50	0.00	1.58	2.51	0.67	0.07	1.81	0.71	1.15	0.00	0.00	0.00	0.00	0.28	1.66	0.00
26.00	9.60	7.50	7.50	0.00	0.49	0.18	1.32	0.58	2.41	0.58	0.78	0.00	0.00	0.00	0.00	0.35	0.49	0.00
27.00	9.60	7.50	7.50	0.00	0.00	2.70	0.99	1.48	1.39	1.26	0.42	0.00	0.00	0.00	0.00	0.20	2.93	0.00
28.00	9.60	7.49	7.49	0.26	1.34	0.99	2.87	0.98	1.68	2.72	2.76	0.00	0.00	0.00	0.00	0.49	0.28	0.00
29.00	9.61	7.50	7.50	1.18	0.69	1.26	0.59	0.26	0.49	0.64	0.00	0.00	0.00	0.00	0.00	0.62	2.03	0.00
30.00	9.60	7.50	7.50	0.01	0.16	0.99	0.34	0.00	3.14	1.28	0.19	0.00	0.00	0.00	0.00	0.00	1.07	0.00
