Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.316s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	8.40	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	8.40	0.00	0.00	0.02	0.00	0.00	0.22	0.00	0.00	0.65	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	8.40	0.00	0.00	0.01	0.00	0.00	0.06	0.00	0.00	0.00	0.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.46
5.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.57
6.00	8.40	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	1.46	1.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.27
7.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.61	0.78	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.83
8.00	8.41	0.00	0.00	0.00	0.00	0.00	0.67	0.00	0.00	0.65	1.64	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.73
9.00	8.40	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.00	1.97	1.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.79
10.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.75	0.65	0.00	0.00	0.00	0.00	0.00	0.00	1.55
11.00	8.41	0.00	0.00	0.29	0.00	0.00	0.00	0.00	0.00	0.88	1.52	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31
12.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
13.00	8.40	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	1.81	0.89	1.58	0.00	0.00	0.00	0.00	0.22	0.31	2.34
14.00	8.41	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.31	1.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.26
15.00	8.40	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	1.12	0.88	0.35	0.00	0.00	0.00	0.00	0.18	0.00	0.81
16.00	8.40	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.24	1.11	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95
17.00	8.41	0.00	0.00	0.31	0.00	0.00	0.29	0.00	0.00	1.41	1.22	0.45	0.00	0.00	0.00	0.00	0.00	0.00	2.28
18.00	8.40	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.73	0.87	0.26	0.00	0.00	0.00	0.00	0.00	0.00	0.33
19.00	8.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	1.94	0.00	0.00	0.00	0.00	0.00	0.00	0.01	2.21
20.00	8.40	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.01	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
21.00	8.41	0.00	0.00	0.13	0.00	0.00	0.74	0.00	0.00	0.71	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35
22.00	8.40	0.00	0.00	0.05	0.00	0.00	0.21	0.00	0.00	1.51	2.10	0.55	0.00	0.00	0.00	0.00	0.00	0.00	0.99
23.00	8.40	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.49	1.70	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27
24.00	8.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	3.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.92
