Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.086s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	7.47	7.18	0.00	0.00	0.00	0.00	0.71	0.04	0.00	0.00	0.21	0.00	0.00	0.00	0.00	0.00	1.14	0.14	0.00
3.00	7.50	7.20	0.00	0.00	0.00	0.00	1.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.72	0.35	0.00
4.00	7.50	7.21	0.00	0.00	0.00	0.00	0.01	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.33	1.39	0.49	0.00
5.00	7.50	7.20	0.00	0.00	0.05	0.00	0.48	0.07	0.00	0.00	0.00	0.00	0.02	0.33	0.00	0.72	0.25	0.16	0.21
6.00	7.50	7.21	0.00	0.00	0.00	0.00	1.19	0.33	0.51	0.00	0.00	0.00	0.00	0.19	0.00	0.14	0.00	0.38	0.12
7.00	7.50	7.20	0.00	0.00	0.00	0.00	0.92	0.25	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.74	0.12
8.00	7.50	7.20	0.00	0.00	0.00	0.00	1.39	0.24	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.59	0.12
9.00	7.50	7.21	0.00	0.00	0.00	0.00	0.21	0.18	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.09	0.35
10.00	7.49	7.20	0.00	0.00	0.00	0.00	1.22	0.16	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.77	0.00	0.00
11.00	7.50	7.21	0.00	0.00	0.00	0.00	1.55	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00
12.00	7.50	7.20	0.00	0.00	0.00	0.00	1.51	0.97	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.71
13.00	7.50	7.20	0.00	0.00	0.00	0.00	0.87	0.33	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.04	0.40
14.00	7.50	7.21	0.00	0.00	0.00	0.00	1.00	0.02	0.34	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.34	0.24
15.00	7.50	7.20	0.00	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.13	0.54
16.00	7.50	7.21	0.00	0.00	0.00	0.00	0.29	0.48	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.40
17.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.14
18.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.59
19.00	7.49	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.82
20.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.62	0.75
21.00	7.50	7.21	0.00	0.00	0.00	0.00	0.75	0.04	0.92	0.00	0.00	0.00	0.22	0.00	0.00	0.26	0.01	0.00	0.14
22.00	7.50	7.20	0.00	0.00	0.00	0.00	1.15	0.54	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.35	0.00	0.26
23.00	7.50	7.21	0.00	0.00	0.00	0.00	1.02	0.75	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.01	1.32	0.09	0.00
24.00	7.50	7.20	0.00	0.00	0.00	0.00	0.00	0.28	0.29	0.00	0.00	0.00	0.01	0.26	0.00	0.21	0.00	0.12	0.00
25.00	7.50	7.20	0.00	0.00	0.00	0.00	4.96	0.35	0.59	0.00	0.00	0.00	0.01	0.00	0.00	1.06	0.99	0.99	0.47
26.00	7.50	7.21	0.00	0.00	0.00	0.00	0.00	0.73	0.16	0.00	0.00	0.00	0.00	0.02	0.00	0.51	1.74	0.72	0.14
27.00	7.50	7.20	0.00	0.00	0.00	0.00	0.19	0.97	0.42	0.00	0.00	0.00	0.00	0.42	0.00	0.33	2.24	0.69	0.28
