Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.060s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	8.05	6.88	0.21	0.12	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.20	0.00	0.09	0.00
3.00	8.10	6.90	0.00	0.00	0.91	0.00	0.00	1.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.19	0.00
4.00	8.10	6.90	0.00	0.00	0.12	0.14	0.00	1.67	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.45	0.31	0.00
5.00	8.10	6.90	0.00	0.00	0.41	0.00	0.00	1.38	0.00	0.00	0.00	0.24	0.04	0.00	0.00	0.00	0.00	0.28	0.21	0.00
6.00	8.10	6.90	0.00	2.04	1.52	0.33	0.00	2.01	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.01	0.51	0.33	0.09	0.00
7.00	8.10	6.90	0.00	0.49	1.54	0.57	0.00	0.89	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.33	0.42	0.38	0.00
8.00	8.09	6.90	0.27	0.49	1.75	0.29	0.00	2.12	0.00	0.00	0.00	0.14	0.06	0.00	0.00	1.59	0.02	0.59	0.12	0.00
9.00	8.10	6.90	0.58	0.00	1.47	0.59	0.00	1.70	0.00	0.00	0.00	0.02	0.00	1.52	0.00	0.00	0.00	0.52	0.27	0.00
10.00	8.10	6.90	0.05	0.00	0.22	0.00	0.00	1.13	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.21	0.00	0.05	0.60	0.00
11.00	8.10	6.90	0.01	0.49	0.67	0.05	0.00	1.22	0.00	0.00	0.00	0.27	0.61	0.00	0.00	0.00	0.00	0.00	0.31	0.73
12.00	8.10	6.90	0.00	0.99	0.68	0.00	0.00	0.78	0.00	0.00	0.00	0.26	0.61	0.00	0.00	0.49	0.00	0.28	2.38	0.00
13.00	8.10	6.90	0.00	0.00	1.33	0.00	0.00	1.94	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	1.70	0.18	0.59	0.00
14.00	8.09	6.90	0.00	1.39	1.01	0.00	0.00	0.86	0.00	0.00	0.00	0.38	1.28	0.00	0.00	0.00	0.00	0.41	0.13	0.00
15.00	8.10	6.90	0.00	0.62	0.00	0.00	0.00	1.14	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.73	0.22	0.41	0.12	0.00
