Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.289s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	7.80	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.41	0.41	0.00	0.00	0.00	0.00	0.18
3.00	7.80	7.20	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.53	0.00	0.12	0.79	0.49	0.00	0.00	0.00	0.00	0.24
4.00	7.81	7.21	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00	0.31	0.00	0.14	0.99	0.84	0.00	0.00	0.00	0.00	0.02
5.00	7.80	7.20	0.66	0.00	0.00	0.00	0.00	0.02	0.41	0.00	5.33	0.00	0.18	0.00	0.00	0.00	0.00	0.00	0.00	0.06
6.00	7.80	7.21	0.31	0.00	0.00	0.00	0.26	2.51	0.97	0.00	0.00	0.00	0.33	0.77	0.00	0.00	0.00	0.00	0.00	0.13
7.00	7.81	7.20	1.30	0.00	0.00	0.00	0.00	0.00	3.93	0.00	4.32	0.00	0.15	0.93	0.00	0.00	0.00	0.00	0.00	0.65
8.00	7.80	7.20	0.31	0.00	0.00	0.00	0.13	0.00	0.89	0.00	1.70	0.00	0.12	0.61	0.40	0.00	0.00	0.00	0.00	0.29
9.00	7.80	7.21	2.58	0.00	0.00	0.00	1.14	0.00	4.30	0.00	3.31	0.00	0.33	0.01	0.00	0.00	0.00	0.00	0.00	0.11
10.00	7.81	7.20	2.91	0.00	0.00	0.00	0.00	2.57	3.80	0.00	2.60	0.00	0.09	0.51	0.39	0.00	0.00	0.00	0.00	0.07
11.00	7.80	7.21	1.78	0.00	0.00	0.00	1.79	0.02	3.05	0.00	3.46	0.00	0.55	1.71	0.00	0.00	0.00	0.00	0.00	0.49
12.00	7.81	7.20	0.64	0.00	0.00	0.00	0.00	0.00	1.46	0.07	0.91	0.00	0.00	0.71	0.00	0.00	0.00	0.00	0.00	0.00
13.00	7.80	7.20	0.69	0.00	0.00	0.00	1.59	1.58	2.04	0.00	1.12	0.00	3.25	0.46	0.00	0.00	0.00	0.00	0.00	0.00
14.00	7.80	7.21	0.71	0.00	0.00	0.00	0.24	0.40	3.43	0.00	2.45	0.00	1.32	0.62	0.00	0.00	0.00	0.00	0.00	0.06
15.00	7.81	7.20	1.64	0.00	0.00	0.00	0.00	0.00	3.18	0.00	2.60	0.00	1.58	0.00	0.00	0.00	0.00	0.00	0.00	0.52
16.00	7.80	7.21	1.63	0.00	0.00	0.00	0.00	0.31	0.92	0.00	1.54	0.00	2.01	0.01	0.00	0.00	0.00	0.00	0.00	0.00
17.00	7.80	7.20	0.35	0.00	0.00	0.00	0.86	0.00	1.55	0.00	3.57	0.00	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.16
18.00	7.81	7.21	1.19	0.00	0.00	0.00	1.14	0.00	3.06	0.00	0.88	0.00	0.42	0.67	0.01	0.00	0.00	0.00	0.00	0.37
19.00	7.80	7.20	0.64	0.00	0.00	0.00	0.00	1.27	1.07	0.00	3.51	0.00	0.27	0.06	0.29	0.00	0.00	0.00	0.00	0.00
20.00	7.80	7.20	0.19	0.00	0.00	0.00	0.00	0.00	0.66	0.00	1.57	0.00	2.37	0.74	0.26	0.00	0.00	0.00	0.00	0.00
21.00	7.81	7.21	1.18	0.00	0.00	0.00	0.02	1.17	0.49	0.28	2.74	0.02	2.11	0.42	0.00	0.00	0.00	0.00	0.00	0.33
