Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.164s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	8.05	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.14	0.00	0.00	0.00	0.05	0.00	0.00	0.00
3.00	8.10	0.00	0.00	0.00	0.00	0.09	0.00	0.38	0.00	0.00	0.16	0.00	0.00	0.24	0.00	0.47	0.00	0.02	0.00	0.00	0.38
4.00	8.10	0.00	0.00	0.00	0.12	0.05	0.02	0.00	0.07	0.00	0.00	0.00	0.00	0.09	0.49	0.64	0.12	0.09	0.92	0.00	0.05
5.00	8.10	0.00	0.00	0.00	0.07	0.00	0.02	0.85	0.00	0.00	2.76	0.00	0.00	0.00	0.00	0.28	0.14	0.00	0.97	0.00	0.02
6.00	8.10	0.00	0.00	0.00	0.00	0.00	0.09	0.49	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.28	0.31	0.52	1.06	0.00	0.14
7.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.53	0.26	0.07	0.80	0.00	0.12
8.00	8.09	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.14	0.28	2.90	1.38	0.00	0.61
9.00	8.10	0.00	0.00	0.00	0.00	0.01	0.07	0.99	0.12	0.00	2.10	0.00	0.04	0.00	0.00	0.00	0.04	0.00	1.28	0.00	0.74
10.00	8.10	0.00	0.00	0.00	0.61	0.00	0.02	0.00	0.00	0.00	1.48	0.00	1.08	0.00	0.00	0.14	0.85	1.85	1.59	0.00	1.13
11.00	8.10	0.00	0.00	0.00	0.34	0.00	0.09	0.00	0.24	0.00	0.00	0.00	0.09	0.01	0.00	0.46	0.24	0.00	0.60	0.00	0.16
12.00	8.10	0.00	0.00	0.00	0.00	0.00	0.05	0.01	0.02	0.00	0.00	0.00	0.00	0.49	0.00	0.29	0.24	0.18	0.47	0.00	0.05
13.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.99	0.00	0.00	0.35	0.14	0.21	0.77	0.00	0.97
14.00	8.09	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.99	0.00	0.13	0.05	0.82	0.71	0.00	0.00
15.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.64	0.00	0.00
16.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.54	0.00	0.44
17.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.37	0.35	0.02	0.00	0.88
18.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	2.94	0.40	0.00	0.00	0.02	0.45	0.00	0.02
19.00	8.10	0.00	0.00	0.00	0.00	0.28	0.07	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.60	0.00	0.20
20.00	8.09	0.00	0.00	0.00	0.00	0.40	0.08	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65	0.00	0.09
21.00	8.10	0.00	0.00	0.00	0.00	0.16	0.00	2.43	0.09	0.00	0.04	0.00	0.00	0.00	0.95	0.00	0.94	0.00	1.44	0.00	0.00
22.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	1.63	0.00	0.27	1.24	1.04	0.00	0.45	0.00	1.20	0.00	0.00
23.00	8.10	0.00	0.00	0.00	0.00	0.00	0.00	1.01	0.49	0.00	0.00	0.00	0.00	1.06	0.00	0.16	0.00	0.09	1.14	0.00	1.42
24.00	8.10	0.00	0.00	0.00	0.00	0.01	0.16	0.00	0.31	0.00	0.00	0.00	0.00	0.95	0.00	0.81	0.00	1.84	0.47	0.00	0.19
25.00	8.10	0.00	0.00	0.00	0.00	0.06	0.09	0.02	0.15	0.00	0.00	0.00	0.00	0.97	0.97	0.39	0.00	2.10	0.00	0.00	0.00
26.00	8.09	0.00	0.00	0.00	0.41	0.00	0.00	0.12	0.07	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.09	0.05	0.00	0.00	0.58
27.00	8.10	0.00	0.01	0.00	0.00	0.38	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.33	0.00	0.00	0.53	0.01	1.41	0.00	0.00
28.00	8.10	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.12	0.00	0.00	0.00	0.49	0.00	0.00	1.11	0.38	0.81	0.87	0.00	0.01
