Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.393s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	8.09	8.05	0.00	0.00	0.00	0.00	0.00	1.35	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.92	1.37	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.24
4.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	2.21	0.00	0.00	2.92	0.00	0.09	0.00	0.05	0.00	0.41	0.13	0.00	0.00	0.59
5.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.78	0.00	0.00	0.11	0.00	0.00	0.04	0.00	0.00	0.00	1.93
6.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	4.55	0.00	0.00	0.12	0.00	0.00	0.48	0.60	0.00	0.00	1.70
7.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.80	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.00	0.00	0.40
8.00	8.09	8.09	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	3.59	0.00	0.01	0.00	0.00	0.00	0.42	0.54	0.00	0.00	1.01
9.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	3.70	0.00	3.25	0.00	0.05	0.00	0.07	0.00	0.91	0.53	0.00	0.00	2.14
10.00	8.10	8.10	0.00	0.00	0.00	0.21	0.00	0.00	0.47	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92
11.00	8.10	8.10	0.00	0.00	0.00	0.00	0.00	0.00	2.06	0.00	2.12	0.00	0.00	0.48	0.00	0.00	0.66	0.00	0.00	0.00	2.03
