Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.208s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	7.18	6.89	6.59	0.00	0.97	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	7.20	6.90	6.59	0.00	0.45	0.00	0.00	0.00	0.62	0.00	0.84	0.00	0.00	0.00	0.53	0.00	0.00	0.00	0.41	0.00	0.00	0.00
4.00	7.21	6.90	6.61	0.00	0.00	0.00	0.00	0.00	1.31	0.00	1.57	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.94	0.00	0.00	0.00
5.00	7.20	6.90	6.59	0.00	0.00	0.00	0.00	0.61	0.84	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.16	0.00	0.87	0.00	0.16	0.07
6.00	7.21	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.80	0.00	1.41	0.35
7.00	7.20	6.90	6.59	0.00	0.08	0.00	0.00	0.00	0.00	0.12	0.00	0.02	0.00	0.00	0.19	0.00	0.00	0.49	0.26	0.00	0.52	0.49
8.00	7.20	6.90	6.61	0.00	0.07	0.00	0.00	0.00	0.53	0.07	2.56	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.00	1.01	0.00
9.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.28	0.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.28	0.00	1.08	1.00
10.00	7.20	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	0.14	0.00	0.00	0.41	0.00	0.00	0.00	0.00	0.00	0.87	0.35
11.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.48	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.57	0.00	0.71	0.00
12.00	7.20	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.00	0.00	0.42	0.00	0.66	0.00
13.00	7.20	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.47	0.00	0.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.80	0.00	1.01	0.00
14.00	7.21	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.33	0.00	1.35	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.42	0.00	0.18	0.00
15.00	7.20	6.90	6.59	0.00	0.00	0.00	0.21	1.05	0.07	0.08	0.41	0.00	0.00	0.00	0.52	0.00	0.22	0.00	0.01	0.00	0.00	0.00
16.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.27	0.02	0.00	0.00	0.00	0.00	0.38	0.00	0.00	0.00	1.02	0.00	2.13	0.00
17.00	7.20	6.89	6.61	0.00	0.00	0.00	0.00	0.00	0.00	0.33	0.01	0.00	0.00	0.00	0.77	0.00	0.00	0.00	1.37	0.00	0.81	0.00
18.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.42	0.00	0.00	0.00	0.89	0.00	0.00	0.20	1.22	0.00	0.00	0.00
19.00	7.20	6.90	6.61	0.00	0.00	0.00	0.00	0.00	1.07	0.19	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.82	0.00	1.37	0.00
20.00	7.20	6.90	6.59	0.00	0.00	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	2.04	0.64
21.00	7.21	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.88	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.89	0.00	1.06	0.00
22.00	7.20	6.90	6.59	0.00	0.00	0.00	0.09	0.55	0.00	0.00	1.32	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.85	0.13
23.00	7.21	6.90	6.61	0.00	0.00	0.00	0.00	0.00	0.92	0.00	2.58	1.50	0.00	0.00	0.64	0.00	0.00	0.00	0.64	0.00	0.99	2.54
24.00	7.20	6.90	6.59	0.00	0.00	0.00	0.00	0.32	1.25	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	1.11
25.00	7.20	6.90	6.61	0.00	0.00	0.00	0.00	0.07	0.73	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	2.72	0.00
26.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.09	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	1.99	0.73
27.00	7.20	6.90	6.61	0.00	0.00	0.00	0.21	0.71	0.74	0.00	0.00	1.30	0.00	0.00	0.85	0.00	0.00	0.00	0.48	0.00	2.28	1.72
28.00	7.21	6.90	6.59	0.00	0.00	0.00	0.00	0.00	0.97	0.00	0.99	0.52	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	1.74	1.28
29.00	7.20	6.90	6.59	0.00	0.37	0.00	0.00	0.00	0.67	0.00	0.99	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.04
30.00	7.20	6.90	6.61	0.00	1.20	0.00	0.00	0.00	0.65	0.53	0.00	0.81	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	2.24	2.39
31.00	7.21	6.90	6.59	0.00	1.54	0.00	0.00	0.49	1.31	0.99	1.18	0.93	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.99	2.17
32.00	7.20	6.90	6.61	0.00	0.59	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	1.30	0.00
33.00	7.21	6.90	6.59	0.00	1.55	0.00	0.00	0.00	0.86	1.32	2.50	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.59	0.00	1.50	0.49
34.00	7.20	6.89	6.61	0.00	1.42	0.00	0.00	0.00	1.01	0.00	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	1.04	0.01	2.10	0.00
35.00	7.21	6.90	6.59	0.00	1.06	0.00	0.00	0.00	0.87	0.99	0.00	0.00	0.00	0.00	0.62	0.00	0.00	0.00	0.27	0.00	2.12	0.00
36.00	7.20	6.90	6.61	0.00	1.39	0.00	0.00	0.00	0.16	0.54	0.00	0.33	0.00	0.00	0.66	0.00	0.00	0.00	0.01	0.00	2.00	1.08
37.00	7.20	6.90	6.59	0.00	1.39	0.00	0.28	0.42	0.33	0.01	1.00	0.13	0.00	0.00	0.45	0.02	0.00	0.49	0.00	0.00	0.87	0.00
38.00	7.21	6.90	6.61	0.00	0.88	0.00	0.02	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.05	0.00	0.00	0.00	0.00	0.00	0.24
39.00	7.20	6.90	6.59	0.00	0.78	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.87	0.00	0.00	0.49	0.00	0.00	0.00	0.00
40.00	7.21	6.90	6.61	0.00	0.94	0.00	0.00	0.01	0.08	0.00	0.98	0.00	0.00	0.00	0.93	0.00	0.00	0.00	0.09	0.00	0.49	0.00
41.00	7.20	6.90	6.59	0.00	1.13	0.00	0.01	0.34	0.00	1.21	0.00	0.00	0.06	0.00	0.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00
42.00	7.20	6.90	6.59	0.00	1.47	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.01	0.00	0.97	0.00	0.00	0.00	0.94	0.00	0.00	0.00
43.00	7.21	6.90	6.61	0.00	1.72	0.00	0.00	0.00	0.00	2.59	0.02	0.00	0.01	0.00	0.73	0.00	0.00	0.00	0.97	0.00	0.00	0.00
44.00	7.20	6.90	6.59	0.00	0.80	0.00	0.00	0.38	0.48	1.46	0.00	0.00	0.00	0.00	0.60	0.02	0.00	0.00	0.94	0.00	0.00	0.00
45.00	7.21	6.90	6.61	0.00	1.41	0.00	0.00	0.00	1.68	0.49	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.71	0.00	1.68	0.13
46.00	7.20	6.90	6.59	0.00	0.92	0.00	0.00	0.00	0.84	0.00	0.00	0.00	0.00	0.00	1.08	0.00	0.00	0.00	1.06	0.00	0.37	0.12
47.00	7.21	6.90	6.61	0.00	1.74	0.00	0.00	0.00	1.52	1.35	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	1.06	0.00	0.51	0.00
48.00	7.20	6.90	6.59	0.00	0.14	0.00	0.00	0.00	0.00	2.71	0.00	0.86	0.00	0.00	0.67	0.00	0.00	0.00	0.94	0.00	1.65	1.06
