Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.340s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	6.58	6.58	0.00	1.30	0.00	0.00	0.00	0.00	0.33	0.00	2.50	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	6.59	6.59	0.00	0.34	0.00	0.00	0.00	0.00	0.14	0.00	0.86	0.00	0.00	0.00	0.57	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00
4.00	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	1.26	0.52	0.71	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.04	0.00
5.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	5.08	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	0.00
6.00	6.61	6.61	0.00	0.00	2.27	0.00	0.00	0.00	3.65	0.00	2.74	0.00	0.00	0.00	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	6.59	6.59	0.00	0.00	3.32	0.00	0.00	0.00	1.90	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00
8.00	6.61	6.61	1.28	0.00	0.00	0.00	0.00	0.00	1.35	0.00	2.14	0.00	0.00	0.00	0.73	0.00	0.00	0.00	0.00	0.44	0.00	1.72	0.00
9.00	6.59	6.59	0.66	0.00	0.00	0.00	0.00	0.00	0.47	0.00	3.69	0.00	0.00	0.00	2.04	0.00	0.00	0.00	0.00	0.71	0.00	1.08	0.00
10.00	6.61	6.61	0.00	0.00	0.00	0.00	0.00	0.00	2.28	0.00	2.96	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	1.54	0.00	1.48	0.00
11.00	6.59	6.59	0.00	0.00	0.00	0.00	0.00	0.00	4.06	0.00	3.11	0.00	0.00	0.00	0.82	0.00	0.00	0.00	0.00	0.16	0.00	1.47	0.00
