Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.072s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	6.59	6.29	6.25	0.68	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.91	0.05	0.00	0.00
3.00	6.59	6.30	6.30	2.33	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.79	0.00	0.00
4.00	6.61	6.30	6.30	0.64	0.00	0.00	0.00	0.00	0.86	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	6.59	6.30	6.30	0.58	0.00	0.00	0.00	0.00	0.07	0.00	0.07	0.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05
6.00	6.61	6.30	6.30	1.12	0.00	0.00	0.00	0.00	0.24	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00
7.00	6.59	6.30	6.30	1.41	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00
8.00	6.61	6.30	6.30	0.53	0.00	0.73	0.00	0.00	0.00	0.00	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00
9.00	6.59	6.30	6.30	0.27	0.00	0.47	0.00	0.00	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	1.19	0.00
10.00	6.61	6.30	6.30	0.45	0.00	0.00	0.24	0.00	0.16	0.05	1.54	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.20	0.00	0.49	0.06
11.00	6.59	6.30	6.30	0.51	0.00	3.46	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.22	0.00	0.75	0.00
12.00	6.61	6.30	6.30	2.97	0.00	1.55	0.00	0.00	0.26	0.00	0.00	0.52	0.00	0.00	0.00	0.24	0.00	0.00	0.00	1.30	0.00	0.00	0.00
13.00	6.59	6.30	6.30	0.82	0.00	0.77	0.00	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00
14.00	6.61	6.30	6.30	2.61	0.00	0.00	0.00	0.00	0.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.27	0.00	0.05	0.25
15.00	6.59	6.30	6.30	1.35	0.00	0.00	0.00	0.00	0.02	0.12	1.52	0.81	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.00	1.10	0.00	0.00
16.00	6.59	6.30	6.30	1.55	0.00	0.99	0.00	0.00	0.40	0.00	1.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.28	1.00	2.06	0.31
17.00	6.61	6.30	6.30	0.99	0.00	0.00	0.00	0.00	0.00	0.09	0.00	1.25	0.00	0.00	0.00	0.65	0.01	0.00	0.00	0.00	0.02	0.00	0.52
18.00	6.59	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.19	0.02	1.35	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57
