Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.328s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	8.05	6.28	5.98	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.66	1.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.37	0.00	0.00	0.00	1.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	8.10	6.30	5.99	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.16	1.44	0.00	0.00	1.11	0.14	0.78	0.14	0.00	0.08	0.00	0.00	0.00
5.00	8.10	6.30	6.01	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	1.84	0.00	1.44	3.07	0.40	1.87	0.07	0.01	0.00
6.00	8.10	6.30	5.99	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.00	3.42	0.29	1.14	3.26	0.94	2.24	0.00	0.04	0.00
7.00	8.10	6.30	6.01	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.20	3.96	0.00	0.69	0.48	0.07	1.27	0.00	0.11	0.00
8.00	8.09	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	1.13	0.00	0.71	3.94	0.15	0.72	1.99	0.00	3.93	0.00	0.34	0.00
9.00	8.10	6.30	6.01	0.00	0.00	0.00	0.69	0.00	0.00	0.00	0.00	0.00	1.58	0.00	0.25	2.17	0.00	0.62	2.27	0.00	0.52	0.00	0.05	0.00
10.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	1.58	0.00	0.00	0.00	0.20	0.79	3.29	0.00	2.77	0.00	0.33	0.00
11.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.95	0.00	0.00	1.18	0.00	0.79	0.52	2.24	0.00	0.49	0.00	0.38	0.00
12.00	8.10	6.30	5.99	0.00	0.00	0.00	0.27	0.00	0.00	0.00	0.00	0.16	2.51	0.00	0.00	0.00	0.14	0.99	1.06	0.00	2.70	0.00	0.09	0.00
13.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	1.21	0.00	1.20	0.00	0.51	1.70	2.87	0.00	3.14	0.00	0.00	0.00
14.00	8.09	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.88	0.00	0.74	0.00	0.21	1.84	2.63	0.00	2.66	0.00	0.00	0.00
15.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.51	0.00	2.21	4.73	0.40	2.12	1.58	0.00	0.00	0.00	0.00	0.00
16.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	1.33	0.00	2.53	4.07	0.54	0.00	3.19	0.00	1.83	0.00	0.00	0.00
17.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64	0.00	0.00	2.87	0.00	0.00	1.93	0.00	3.99	0.00	0.00	0.00
18.00	8.10	6.30	5.99	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.75	0.00	0.00	3.77	0.00	1.80	1.10	0.00	3.00	0.00	0.57	0.00
19.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	1.31	0.02	2.38	2.50	0.00	0.00	0.94	0.08	2.86	0.00	0.00	0.00
20.00	8.09	6.30	5.99	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.93	0.61	0.00	1.26	3.91	0.77	3.00	3.30	0.00	0.62	0.00	0.49	0.00
21.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.13	0.09	0.00	0.57	1.68	0.00	0.32	3.91	0.49	0.73	3.14	0.12	2.91	0.09	1.26	0.00
22.00	8.10	6.30	5.99	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.36	0.61	1.84	1.17	0.38	2.04	0.27	0.00	0.00
23.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	1.12	0.88	0.00	0.00	2.96	0.91	2.60	1.33	0.25	1.51	0.15	0.00	0.00
24.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	1.08	0.00	0.80	3.60	0.14	0.00	3.82	0.00	3.26	0.00	0.00	0.00
25.00	8.10	6.30	6.01	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.84	2.80	0.00	0.65	2.90	0.97	1.77	2.43	0.00	1.99	0.00	0.34	0.00
26.00	8.09	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.94	1.86	0.00	1.42	2.65	1.68	0.00	1.27	0.00	2.37	0.00	0.00	0.00
27.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.61	0.66	0.00	0.00	0.49	3.87	0.57	0.00	0.20	0.80	2.10	0.29	0.00	0.00
28.00	8.10	6.30	5.99	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.97	0.39	0.00	0.00	2.99	1.18	1.32	1.66	0.00	1.11	0.00	0.02	0.00
29.00	8.10	6.30	6.01	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.33	1.51	0.00	2.98	2.11	0.28	2.60	1.18	0.27	1.32	0.37	0.00	0.00
30.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.66	0.00	0.16	1.12	0.00	1.65	1.13	0.14	1.94	0.41	0.51	1.72	0.20	0.46	0.00
31.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.01	2.38	0.00	1.24	3.10	0.82	1.57	2.64	0.04	1.86	0.04	0.72	0.00
32.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.38	0.00	0.15	0.00	2.26	3.91	0.44	1.24	2.40	0.21	1.92	0.15	0.46	0.00
33.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.11	0.40	0.00	0.31	3.77	0.39	0.00	2.74	0.00	2.76	0.00	0.00	0.00
34.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.32	0.00	0.00	3.26	0.01	0.98	0.69	0.00	0.73	0.00	0.44	0.00
35.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	1.14	0.00	0.00	1.95	0.18	0.00	0.49	0.00	0.68	0.00	0.00	0.00
36.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.01	0.52	1.13	0.00	0.00	3.07	0.71	1.97	1.44	0.52	3.12	0.49	0.00	0.00
37.00	8.10	6.30	6.01	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.49	0.45	0.00	0.31	3.00	0.42	1.64	0.52	0.00	2.58	0.00	0.00	0.00
38.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.35	2.59	0.00	0.00	2.43	0.41	2.39	2.07	0.00	2.07	0.00	0.00	0.00
39.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.61	0.20	0.00	0.00	3.17	0.49	0.00	0.44	0.40	1.22	0.09	0.00	0.00
40.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	3.06	0.00	1.48	3.91	0.57	0.00	1.27	0.00	0.88	0.00	0.00	0.00
41.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.53	0.18	0.00	0.00	3.80	0.80	0.00	0.86	0.00	3.43	0.00	0.00	0.00
42.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	3.93	0.86	2.79	2.25	0.06	2.86	0.00	0.00	0.00
43.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.54	0.00	0.00	3.34	0.00	1.38	2.21	1.13	2.57	0.39	0.00	0.00
44.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.35	0.00	0.00	3.25	0.25	3.60	0.00	0.02	1.25	0.00	0.00	0.00
45.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.92	2.05	0.00	2.41	1.83	0.45	0.00	0.91	1.17	2.45	0.07	0.00	0.00
46.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	0.65	0.00	0.00	2.61	0.89	0.00	0.06	0.66	1.54	0.00	0.00	0.00
47.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	2.25	0.00	1.37	1.88	0.00	3.98	0.66	0.27	0.44	0.33	0.18	0.00
48.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.28	0.66	0.00	0.00	3.71	0.21	0.00	2.91	0.01	1.90	0.02	0.00	0.00
49.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.29	0.00	0.00	2.36	0.14	0.00	2.54	0.00	1.83	0.00	0.00	0.00
50.00	8.10	6.30	6.01	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.52	1.84	0.00	0.00	2.86	0.40	3.36	2.32	0.00	0.87	0.00	1.46	0.00
51.00	8.09	6.30	5.99	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.25	1.54	0.00	2.20	3.90	0.37	2.71	0.73	0.00	1.51	0.00	0.28	0.00
52.00	8.10	6.30	6.01	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.25	0.00	0.00	2.74	3.90	0.37	3.19	1.97	0.00	2.97	0.00	0.00	0.00
53.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.49	0.00	4.06	3.79	0.41	0.00	0.05	0.00	1.54	0.00	0.00	0.00
54.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	1.48	0.00	3.03	3.97	0.81	0.00	2.65	0.00	2.24	0.00	0.00	0.00
55.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	3.94	0.00	1.14	1.01	0.00	3.31	0.00	0.00	0.00
56.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.90	0.00	0.00	2.97	0.31	1.41	0.69	0.00	2.93	0.00	0.16	0.00
57.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	1.85	0.00	0.00	1.22	0.00	0.93	2.10	0.18	0.01	0.11	0.59	0.00
58.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.14	0.00	1.30	0.01	0.31	0.00	0.00	0.91	3.23	0.99	1.37	0.85	0.93	0.00
59.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.21	0.00	1.12	0.00	0.00	4.16	0.00	4.17	3.29	0.18	2.24	0.13	0.13	0.01
60.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.12	1.97	0.00	0.00	3.72	0.35	3.24	3.32	1.05	3.01	0.52	2.03	0.00
61.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.16	0.60	0.00	1.21	3.27	0.14	0.00	2.20	0.54	3.09	0.00	0.00	0.00
62.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.51	1.20	0.00	0.49	3.90	0.41	2.72	2.80	0.22	3.33	0.00	0.49	0.00
63.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	1.51	3.92	0.00	2.18	1.94	0.51	2.84	0.00	0.00	0.00
64.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.16	0.15	1.88	0.00	1.94	3.91	0.15	2.56	3.30	0.06	2.71	0.12	1.74	0.02
65.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.48	1.05	0.00	0.31	3.32	0.51	1.50	1.45	0.00	2.98	0.00	0.75	0.00
66.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.68	0.00	0.00	2.68	0.00	1.30	1.87	0.00	0.99	0.00	0.00	0.00
67.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.45	0.00	0.00	3.27	0.00	1.10	0.00	0.00	2.80	0.00	0.00	0.00
68.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80	0.00	0.00	3.25	0.00	0.00	3.97	2.03	0.60	0.00	0.00	0.00
69.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.51	0.00	0.00	3.36	0.00	1.88	3.23	0.00	3.05	0.00	1.24	0.00
70.00	8.09	6.30	6.01	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	2.79	0.00	0.00	3.90	0.00	1.21	3.27	0.19	2.47	0.15	0.46	0.00
71.00	8.10	6.30	5.99	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.72	3.80	0.00	1.74	1.50	0.00	2.18	0.00	0.00	0.00
72.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.01	0.00	0.11	3.29	0.33	2.04	3.29	0.00	2.07	0.00	0.00	0.00
73.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.41	0.84	0.00	1.28	3.16	0.32	0.00	3.32	0.13	2.96	0.00	0.00	0.00
74.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	1.52	0.00	0.00	1.21	0.29	0.22	1.51	0.66	0.85	0.00	0.00	0.00
75.00	8.10	6.29	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.83	0.00	0.99	3.34	0.00	0.49	0.49	0.13	2.67	0.00	0.00	0.00
76.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	5.04	2.36	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00
77.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.68	3.26	0.00	0.00	2.53	0.00	1.31	0.00	0.00	0.00
78.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.39	0.00	0.00	0.00	3.90	1.11	1.41	2.68	0.00	4.32	0.00	0.00	0.00
79.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	1.67	0.00	0.00	1.21	0.00	0.00	1.63	0.18	0.57	0.06	0.00	0.00
80.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.25	0.00	0.00	3.91	0.00	0.00	0.99	0.19	1.26	0.14	0.00	0.00
81.00	8.10	6.30	5.99	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.00	0.00	1.37	0.00	0.00	1.37	0.00	0.09	0.00	0.26	0.35	0.00	0.00	0.00
82.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.18	0.00	0.00	0.00	0.00	0.00	2.99	0.00	1.46	2.08	0.69	3.18	0.05	0.19	0.00
83.00	8.09	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.68	0.00	0.00	1.06	0.00	0.00	0.00	0.14	1.22	0.01	0.00	0.00
84.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00	0.00	3.44	0.00	0.00	0.00	0.12	1.53	0.00	0.00	0.00
85.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.67	0.00	0.00	2.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
86.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.04	0.00	0.00	0.99	0.31	1.12	0.00	0.00	0.00
87.00	8.10	6.30	5.99	0.00	0.00	0.00	0.20	0.00	0.00	0.35	0.00	0.00	1.24	0.00	1.39	3.57	0.00	1.52	1.83	0.49	1.63	0.00	0.00	0.00
88.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	2.17	0.00	0.00	1.14	0.00	0.00	0.00	1.47	1.00	0.26	0.00	0.00
89.00	8.09	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	1.01	0.54	0.00	2.24	3.05	0.82	2.63	4.23	0.05	0.00	0.06	0.00	0.00
90.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.66	1.39	0.00	1.33	2.65	0.87	0.00	3.29	0.45	3.51	0.42	0.00	0.00
91.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.11	0.00	0.00	0.00	1.83	0.00	0.00	3.37	0.00	1.75	3.17	0.00	2.84	0.00	0.12	0.00
92.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.07	0.24	0.00	0.00	1.20	0.00	3.20	2.87	0.00	1.77	1.08	0.28	3.14	0.11	0.47	0.00
93.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.08	0.35	0.80	0.00	3.92	3.23	0.27	0.00	3.31	0.24	0.86	0.18	0.00	0.00
94.00	8.10	6.30	5.99	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.42	0.34	0.24	0.00	3.14	3.52	0.58	2.36	3.30	0.38	3.71	0.19	0.19	0.00
95.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	1.00	0.20	0.16	1.87	0.00	0.95	3.20	0.64	0.00	3.29	1.31	1.35	1.08	0.00	0.00
96.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.80	0.00	2.37	2.99	0.00	0.26	3.32	0.16	2.53	0.13	0.00	0.00
97.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.14	0.00	0.00	3.73	0.00	2.33	3.31	0.00	3.06	0.00	0.49	0.00
98.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.19	0.06	1.68	0.61	0.00	3.19	1.90	1.34	0.00	0.84	0.52	2.27	0.28	0.00	0.00
99.00	8.10	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.17	0.00	0.00	2.39	0.00	2.36	1.97	0.00	2.11	0.00	0.78	0.00
100.00	8.10	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	1.25	2.21	0.00	2.86	4.71	1.08	0.99	2.30	0.14	4.00	0.11	0.00	0.00
101.00	8.09	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.19	1.19	0.00	1.66	2.71	1.70	0.00	0.31	0.19	1.85	0.09	0.00	0.00
