Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.126s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	6.29	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.95	0.00	0.00	0.00	0.00	0.00	0.00	0.09
3.00	6.30	6.01	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	6.30	5.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.88	0.00	0.99	1.79	0.16	0.00	0.00	0.00	0.00	0.00	0.00
5.00	6.30	6.01	0.00	0.00	0.00	0.54	0.00	0.00	0.00	0.14	0.00	0.00	0.00	1.45	0.00	0.00	0.89	0.00	0.14	0.00	0.00	0.00	0.47	2.50
6.00	6.30	5.99	0.00	0.26	0.00	0.71	0.00	0.00	0.00	0.00	1.25	1.11	0.00	0.05	0.00	0.00	1.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00
7.00	6.30	6.01	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00	0.08	0.05	0.00	2.56	0.19	0.00	0.54	0.00	0.00	0.07	0.00	0.00	0.00	0.49
8.00	6.30	5.99	0.00	1.08	0.00	0.94	0.00	0.00	0.00	0.00	2.94	0.00	0.02	0.01	0.00	0.00	0.99	0.02	0.00	0.09	0.00	0.00	0.84	0.97
9.00	6.30	6.01	0.00	0.21	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	0.49	0.00	1.61	0.00	0.00	0.45	0.00	0.00	0.00	0.00
10.00	6.30	5.99	0.00	0.26	0.00	0.94	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.55	0.00	0.00	0.52	0.00	0.00	0.00	1.22
11.00	6.30	6.01	0.00	0.05	0.00	1.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.77	0.00	0.14	1.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00
12.00	6.30	5.99	0.00	0.00	0.00	1.41	0.00	0.00	0.00	0.00	1.38	0.00	0.00	0.99	0.00	0.60	1.53	0.00	0.00	0.21	0.00	0.00	0.00	0.67
13.00	6.30	6.01	0.00	0.99	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.49	1.50	0.00	0.00	0.05	0.00	0.00	0.58	0.09
14.00	6.30	5.99	0.00	0.04	0.00	0.53	0.00	0.00	0.00	0.00	0.00	0.00	0.14	0.00	0.00	0.00	1.51	0.00	0.00	0.15	0.00	0.00	1.54	1.59
15.00	6.30	6.01	0.00	0.57	0.00	1.13	0.00	0.00	0.00	0.00	0.00	0.00	0.20	0.32	0.00	0.62	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32
16.00	6.30	5.99	0.00	0.02	0.00	1.27	0.00	0.00	0.00	0.00	0.27	0.00	0.00	0.99	0.00	0.05	3.64	0.00	0.00	0.00	0.00	0.00	0.00	0.02
17.00	6.30	6.01	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.00	0.00	0.19	0.00	0.33	0.00	0.05	0.00	0.00	0.00	0.00	0.05	0.00	0.93	2.06
18.00	6.30	5.99	0.00	0.00	0.00	0.65	0.07	0.00	0.00	0.00	0.21	0.05	0.00	0.31	0.00	0.12	0.01	0.00	0.00	0.00	0.00	0.00	0.00	1.94
19.00	6.30	6.01	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.49	0.00	0.02	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00
20.00	6.30	5.99	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00	0.00	0.25	0.00	1.71	0.00	0.01	0.74	0.00	0.00	0.00	0.00	0.00	0.01	0.62
21.00	6.30	6.01	0.00	0.00	0.00	0.71	0.00	0.00	0.00	0.00	1.53	0.00	0.07	0.00	0.00	0.00	1.20	0.00	0.00	0.82	0.00	0.00	0.55	0.42
22.00	6.30	5.99	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.00	0.00	0.00	1.08	0.27	0.00	0.00	0.01	0.00	0.00	0.07	0.00	0.00	0.08	1.46
23.00	6.30	6.01	0.00	0.00	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.12	0.20	0.05	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.00	0.75	0.66
24.00	6.30	5.99	0.00	0.09	0.00	0.52	0.00	0.00	0.00	0.00	0.00	1.32	0.00	1.71	0.31	0.92	0.49	0.00	0.00	0.00	0.00	0.00	0.44	0.00
25.00	6.30	6.01	0.00	0.32	0.00	1.30	0.00	0.00	0.00	0.00	1.28	0.02	0.00	0.00	0.00	0.11	0.00	0.00	0.00	0.00	0.11	0.00	0.49	0.09
26.00	6.30	5.99	0.00	0.00	0.00	1.20	0.00	0.00	0.00	0.00	0.49	0.49	0.00	1.25	0.00	0.00	1.74	0.00	0.00	0.16	0.00	0.00	0.00	0.00
27.00	6.30	6.01	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.00	1.25	0.00	0.32	0.00	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	1.18	1.68
28.00	6.30	5.99	0.00	0.00	0.00	1.84	0.00	0.00	0.00	0.00	0.00	0.00	0.48	0.40	0.00	0.00	1.39	0.00	0.00	0.61	0.00	0.00	1.80	2.20
29.00	6.30	6.01	0.00	0.05	0.00	1.74	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.02	0.00	0.00	0.00	0.26	0.00	0.00	0.00	0.07
30.00	6.30	5.99	0.00	0.00	0.00	1.10	0.00	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.01	0.00	1.13	0.00
31.00	6.30	6.01	0.00	0.27	0.00	1.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00
32.00	6.30	5.99	0.00	0.49	0.00	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00
33.00	6.30	6.01	0.00	0.62	0.00	1.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.64	0.34	0.00	0.00	0.91
34.00	6.30	5.99	0.00	0.00	0.00	0.64	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	1.28
35.00	6.30	6.01	0.00	1.08	0.00	1.75	0.00	0.00	0.00	0.00	1.66	0.51	0.00	0.00	0.00	0.05	3.16	0.00	0.00	0.00	0.21	0.00	0.00	1.59
36.00	6.30	5.99	0.00	0.32	0.00	1.46	0.00	0.00	0.00	0.00	1.95	0.09	0.11	0.00	0.00	0.27	0.00	0.00	0.00	0.11	0.00	0.00	0.01	0.58
37.00	6.30	6.01	0.00	0.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.04	0.00	0.00	0.49	0.00	0.00	0.00	0.68	0.00	0.00	0.00	1.57
38.00	6.30	5.99	0.00	0.12	0.00	1.48	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.78
39.00	6.30	6.01	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.13	0.00	0.00	1.64	0.00	0.00	0.33	0.00	0.00	0.08	1.34
40.00	6.30	5.99	0.00	0.00	0.00	2.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.06	1.60	0.00	0.00	0.68	0.66	0.00	0.00	0.85
41.00	6.30	6.01	0.00	0.14	0.00	2.08	0.00	0.00	0.08	0.00	0.06	0.00	0.37	1.24	0.00	0.06	2.77	0.00	0.00	0.24	0.65	0.00	0.00	1.65
42.00	6.30	5.99	0.00	0.21	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00
43.00	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00	0.79	0.00	0.01	0.00	0.00	0.00	0.26	0.00	0.00	0.01	1.02
44.00	6.30	5.99	0.00	0.11	0.00	2.54	0.00	0.00	0.00	0.00	0.02	0.09	0.00	0.02	0.00	0.00	2.32	0.00	0.00	0.09	0.24	0.00	0.00	0.00
45.00	6.30	6.01	0.00	0.35	0.00	0.01	0.00	0.00	0.00	0.00	0.00	2.26	0.00	0.22	0.00	0.62	1.35	0.00	0.00	0.33	0.00	0.00	0.00	0.00
46.00	6.30	5.99	0.00	0.04	0.00	2.21	0.00	0.00	0.00	0.00	0.00	0.26	0.09	0.00	0.00	2.76	0.42	0.00	0.00	0.28	0.49	0.00	0.40	2.48
47.00	6.30	6.01	0.00	0.99	0.00	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.16	0.00	0.00	0.28	0.65
48.00	6.30	6.01	0.00	0.00	0.00	1.66	0.00	0.00	0.02	0.00	3.21	0.99	0.34	0.49	0.00	0.75	0.49	0.00	0.00	0.19	0.00	0.00	0.00	1.44
49.00	6.30	5.99	0.00	0.00	0.00	0.07	0.00	0.00	0.22	0.00	1.24	0.00	0.00	0.59	0.00	0.20	3.31	0.00	0.00	0.46	0.00	0.00	0.00	0.00
50.00	6.30	6.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	2.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.44
51.00	6.30	5.99	0.00	0.28	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.00	0.09	0.00	0.00	0.42	0.00	0.00	0.00	0.00
52.00	6.30	6.01	0.00	0.28	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.99	0.89	0.00	0.00	0.26	0.00	0.00	0.00	1.07
53.00	6.30	5.99	0.00	2.30	0.00	0.49	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.60	0.00	0.00	0.52	0.00	0.00	0.00	0.08
