Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.095s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	6.26	6.25	6.26	0.16	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.15	0.07	0.00	0.00	0.00	0.00
3.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	6.30	6.30	6.30	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.46	0.00	0.80
5.00	6.30	6.30	6.30	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.88	0.00	1.06	0.00	0.00	0.00	0.12	0.00	0.05	0.00	0.75
6.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.49	0.00	1.21	0.99	0.00	0.00	0.19	0.00	0.49	0.00	0.49
7.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.52	1.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.71
8.00	6.30	6.30	6.30	0.00	0.00	0.00	0.05	0.00	0.35	0.00	0.00	0.00	0.00	0.00	0.00	0.13	1.93	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
9.00	6.30	6.30	6.30	0.00	0.00	0.00	0.14	0.00	0.00	0.00	0.00	0.66	0.00	0.00	0.00	0.00	1.54	2.93	0.00	0.00	0.09	0.00	0.87	0.00	0.00
10.00	6.30	6.30	6.30	0.20	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	1.55	0.81	0.00	1.87	0.21	0.00	0.00	0.00	0.00
11.00	6.30	6.30	6.30	0.22	0.00	0.00	0.39	0.00	0.09	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.79	0.49	0.00	0.58	0.19	0.00	0.00	0.00	1.73
12.00	6.30	6.30	6.30	0.68	0.00	0.00	0.02	0.00	0.49	0.00	0.07	0.00	0.00	0.00	1.15	0.00	0.91	1.02	0.00	0.00	0.07	0.00	0.00	0.00	1.24
13.00	6.30	6.30	6.30	0.66	0.00	0.00	0.00	0.00	0.08	0.00	0.05	0.00	0.00	0.00	0.00	0.21	1.06	0.00	0.00	0.00	0.00	0.00	0.20	0.00	2.11
14.00	6.30	6.30	6.30	0.42	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.00	0.46	1.80	0.00	0.00	0.00	0.00	0.01	0.49	0.00	0.00
15.00	6.30	6.30	6.30	0.02	0.00	0.00	0.21	0.00	0.05	0.00	0.29	0.00	0.00	0.00	0.18	0.00	0.57	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.00
16.00	6.30	6.30	6.30	0.37	0.00	0.00	0.40	0.00	0.13	0.00	0.02	1.38	0.00	0.00	0.00	0.00	0.54	0.58	0.00	0.99	0.16	0.00	0.00	0.00	1.63
17.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.09	0.00	0.01	0.00	0.00	0.00	0.00	0.00	1.60	0.11	0.00	0.00	0.64	0.00	0.00	0.00	1.80
18.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.34	0.00	0.00	0.00	0.41	0.00	0.00	0.00	0.00
19.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.14	0.07	0.33	0.00	0.00	0.00	0.00	0.00	2.79	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.65
20.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.00	0.00	0.00	0.06	0.00	1.15	0.05	0.00	0.40	0.31	0.00	0.00	0.00	0.00
21.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.07	0.00	0.00	0.00	0.00	0.00	2.30	0.00	0.00	0.00	0.35	0.00	0.00	0.00	0.00
22.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.53	0.00	0.00	0.00	0.00	0.00	1.26	0.00	0.00	0.00	0.45	0.00	0.00	0.00	0.00
23.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.01	0.00	0.00	0.99	0.00	0.29	2.52	0.00	0.00	0.21	0.00	0.00	0.00	2.26
24.00	6.30	6.30	6.30	0.00	0.00	0.00	0.84	0.00	1.33	0.00	0.37	0.38	0.00	0.00	1.57	0.98	1.30	1.05	0.00	0.00	0.42	0.02	0.60	0.65	1.74
25.00	6.30	6.30	6.30	0.00	0.00	0.00	0.06	0.00	0.00	0.00	0.07	0.00	0.00	0.00	0.99	0.40	1.18	0.02	0.00	0.00	0.57	0.00	1.95	0.00	0.00
26.00	6.30	6.30	6.30	0.41	0.00	0.00	0.00	0.00	0.55	0.00	0.16	0.20	0.00	0.00	0.45	0.13	4.20	0.79	0.00	0.00	0.47	0.31	0.00	0.00	1.25
27.00	6.30	6.30	6.30	0.00	0.00	0.00	0.15	0.00	0.49	0.00	0.16	0.00	0.00	0.00	0.82	0.00	1.97	0.00	0.00	0.14	0.12	0.00	0.40	0.00	2.19
28.00	6.30	6.30	6.30	0.00	0.00	0.00	0.78	0.00	0.29	0.00	0.19	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.28	0.00	0.00	0.00	0.00
29.00	6.30	6.30	6.30	0.00	0.00	0.00	0.14	0.00	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.05	0.00	0.00	0.00	0.42	0.00	0.00	0.00	1.21
30.00	6.30	6.30	6.30	0.00	0.00	0.00	0.77	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.16	0.49	0.00	0.00	0.00	0.00	0.00	3.54	0.00	0.00
31.00	6.30	6.30	6.30	0.00	0.00	0.00	0.65	0.00	0.04	0.00	0.49	0.00	0.00	0.00	0.00	0.49	4.00	0.00	0.00	0.06	0.45	0.00	0.54	0.00	0.02
32.00	6.30	6.30	6.30	0.12	0.00	0.00	0.00	0.00	0.00	0.00	1.11	0.00	0.00	0.00	0.00	0.20	2.00	0.00	0.00	1.52	0.28	0.00	1.61	0.29	2.48
33.00	6.30	6.30	6.30	1.12	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	2.74	0.00	0.00	0.00	0.00	1.44	0.51	0.00	0.00	0.00	0.37
34.00	6.30	6.30	6.30	0.40	0.00	0.00	0.47	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.71	0.00	0.00	0.00	0.46	0.00	2.70	0.00	0.19
35.00	6.30	6.30	6.30	1.25	0.00	0.00	0.12	0.00	2.32	0.00	0.07	0.00	0.00	0.00	1.24	0.00	1.95	0.00	0.00	0.00	0.94	0.00	0.20	0.00	1.15
36.00	6.30	6.30	6.30	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.22	0.00	0.00	0.00	0.34	0.12	3.14	0.26	0.00	1.22	0.84	0.00	0.49	0.00	1.78
37.00	6.30	6.30	6.30	0.51	0.00	0.00	1.50	0.00	0.00	0.00	0.09	0.00	0.00	0.00	0.00	0.37	0.47	1.11	0.00	0.00	0.35	0.01	1.19	0.00	0.09
38.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.13	1.59	0.00	0.00	0.00	0.00	0.00	0.49	0.08	0.00
39.00	6.30	6.30	6.30	3.29	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.08	0.00	0.00	0.00	0.35	0.68	2.37	0.00	0.00	0.00	0.00	1.65	0.00	0.32
40.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.06	1.27	0.00	0.00	0.00	0.29	0.00	0.00	0.00	0.49
41.00	6.30	6.30	6.30	0.73	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.57	0.00	0.00	0.29	0.31	0.00	1.27	0.00	0.49
42.00	6.30	6.30	6.30	0.00	0.00	0.00	3.27	0.00	0.35	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	1.17	0.00	0.00	0.87	0.00	0.00	0.00	0.00
43.00	6.30	6.30	6.30	0.00	0.00	0.00	1.72	0.00	0.99	0.00	0.54	0.00	0.00	0.00	0.49	0.06	0.25	0.00	0.00	0.00	0.45	0.00	0.00	0.00	2.86
44.00	6.30	6.30	6.30	0.00	0.00	0.00	0.01	0.00	0.00	0.00	0.28	0.00	0.00	0.00	1.50	0.38	1.54	0.00	0.00	0.00	0.09	0.00	0.06	0.00	2.14
45.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.24	0.00	0.00	0.00	0.31	0.01	0.22	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.00
46.00	6.30	6.30	6.30	0.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.62	0.00	1.95	1.22	0.00	0.00	0.00	2.54
47.00	6.30	6.30	6.30	3.83	0.00	0.00	0.13	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.99	0.00	0.00	0.26	0.45	0.00	0.00	0.00	0.49
48.00	6.30	6.30	6.30	0.65	0.00	0.00	1.00	0.00	0.06	0.00	0.01	0.00	0.00	0.00	0.02	2.05	0.80	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00
49.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.51	0.01	0.12	0.00	0.00	0.49	0.40	0.00	1.11	0.00	1.48
50.00	6.30	6.30	6.30	0.00	0.00	0.00	0.49	0.00	0.00	0.00	0.16	0.68	0.00	0.00	0.49	0.00	0.06	1.08	0.00	2.33	0.26	0.27	0.74	0.00	0.00
51.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.32	0.00	0.00	0.46	0.60	0.00	0.11	0.00	0.00	0.57	0.00	0.00	0.02	0.49
52.00	6.30	6.30	6.30	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	1.83	0.66	0.00	1.48	0.75	0.00	1.33	0.00	0.49
53.00	6.30	6.30	6.30	1.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.07	0.00	0.31	0.00	0.00	0.00	0.54	0.00	0.69	0.00	0.00
54.00	6.30	6.30	6.30	0.00	0.00	0.00	0.22	0.00	0.28	0.00	0.54	0.54	0.00	0.00	0.19	0.00	0.33	1.60	0.00	0.00	0.09	0.00	0.75	0.00	2.26
55.00	6.30	6.30	6.30	0.00	0.00	0.00	0.19	0.00	0.00	0.00	0.32	0.00	0.00	0.00	0.06	0.00	2.66	0.00	0.00	0.00	0.25	0.00	1.15	0.00	1.61
56.00	6.30	6.30	6.30	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.68	0.49	0.00	0.00	1.46	2.27	0.77	1.47	0.00	0.00	1.13	0.55	1.63	0.00	0.65
57.00	6.30	6.30	6.30	1.38	0.00	0.00	0.20	0.00	0.00	0.00	0.26	0.00	0.00	0.00	1.35	1.33	0.33	0.00	0.00	1.01	0.38	0.47	1.33	0.00	1.61
58.00	6.30	6.30	6.30	0.00	0.00	0.00	0.33	0.00	0.00	0.00	0.21	0.00	0.00	0.00	0.00	1.06	1.04	0.00	0.00	0.00	0.42	0.27	0.00	0.15	0.19
59.00	6.30	6.30	6.30	0.00	0.00	0.00	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.09	1.52	0.14	0.00	0.00	0.00	0.52	0.00	0.00	0.21	1.59
60.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.85	0.00	0.00	0.00	0.00
61.00	6.30	6.30	6.30	0.00	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.57	0.00	0.00	0.00	0.00
