Waf: Entering directory `/home/synrg462/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg462/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.304s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	9.86	7.80	6.87	0.85	0.00	0.00	0.00	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.92	0.00	0.00	0.00	0.00	0.00
3.00	9.90	7.80	6.90	0.91	0.00	0.00	0.00	0.00	0.12	0.00	0.00	0.00	0.55	0.00	0.00	0.00	0.00	0.00	0.00	1.13	0.00	0.00	0.00	0.00	0.00
4.00	9.90	7.81	6.90	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.75	1.47	0.00	0.00	0.00	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.00	0.47
5.00	9.89	7.80	6.90	4.39	0.00	0.00	0.00	0.00	0.19	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	0.00	0.00	0.00	0.00	0.35
6.00	9.90	7.80	6.90	2.96	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.65	1.24	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.29	0.00	0.82
7.00	9.90	7.81	6.90	0.31	0.00	0.00	0.00	0.00	2.34	0.00	0.00	3.26	0.18	0.00	0.00	0.00	0.00	0.00	0.00	1.63	0.00	0.01	0.25	0.00	0.91
8.00	9.89	7.80	6.90	0.11	0.00	0.00	0.00	0.00	0.49	0.00	0.00	1.54	0.49	0.00	0.02	0.00	0.00	0.00	0.00	2.67	0.00	0.01	0.13	0.00	0.89
9.00	9.90	7.80	6.90	1.53	0.00	0.00	0.00	0.00	2.65	0.00	0.00	2.58	0.80	0.00	0.00	0.00	0.00	0.00	0.00	2.33	0.00	0.04	0.26	0.00	0.89
10.00	9.90	7.81	6.90	1.22	0.00	0.00	0.00	0.00	2.41	0.02	0.00	2.27	1.85	0.00	0.00	0.00	0.00	0.00	0.00	2.44	0.00	0.00	0.02	0.00	0.91
11.00	9.89	7.80	6.90	1.55	0.00	0.00	0.00	0.00	3.05	0.01	0.00	3.20	3.51	0.00	0.00	0.00	0.00	0.02	0.00	1.78	0.00	0.07	0.12	0.00	0.46
12.00	9.90	7.81	6.90	4.16	0.00	0.00	0.00	0.00	1.66	0.00	0.00	2.47	2.54	0.00	0.00	0.00	0.00	0.00	0.00	3.01	0.00	0.01	0.04	0.00	0.00
13.00	9.90	7.80	6.90	1.47	0.00	0.00	0.00	0.00	4.73	0.00	0.00	1.22	0.24	0.00	0.00	0.00	0.00	0.00	0.00	0.49	0.00	0.00	0.04	0.00	1.22
14.00	9.90	7.80	6.90	1.87	0.00	0.00	0.00	0.00	2.26	0.00	0.00	1.38	1.91	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.88
15.00	9.89	7.81	6.90	2.80	0.00	0.00	0.00	0.00	1.66	0.00	0.00	1.34	0.67	0.00	0.00	0.00	0.00	0.01	0.00	1.91	0.00	0.01	0.06	0.00	0.92
16.00	9.90	7.80	6.90	4.98	0.00	0.00	0.00	0.00	4.77	0.01	0.00	5.12	0.92	0.00	0.00	0.00	0.00	0.00	0.00	1.14	0.00	0.00	0.00	0.00	0.81
17.00	9.90	7.80	6.89	1.95	0.00	0.00	0.00	0.00	1.88	0.06	0.00	2.06	0.80	0.00	0.00	0.00	0.00	0.69	0.00	3.39	0.00	0.79	0.94	0.00	0.91
18.00	9.89	7.81	6.90	0.92	0.00	0.00	0.00	0.00	2.21	0.00	0.00	0.69	2.17	0.00	0.00	0.00	0.00	0.14	0.00	1.71	0.00	0.00	0.11	0.00	0.91
19.00	9.90	7.80	6.90	4.66	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.70	1.59	0.00	0.00	0.00	0.00	0.09	0.00	1.94	0.00	0.11	0.26	0.00	0.82
20.00	9.90	7.80	6.90	3.56	0.00	0.00	0.00	0.00	0.99	0.32	0.00	2.30	2.79	0.00	0.00	0.00	0.00	0.72	0.00	2.91	0.00	0.00	0.54	0.00	0.69
21.00	9.89	7.81	6.90	2.14	0.00	0.00	0.00	0.00	1.04	0.00	0.00	4.46	4.02	0.00	0.00	0.00	0.00	0.35	0.00	2.70	0.00	0.16	0.57	0.00	0.07
22.00	9.90	7.80	6.90	3.14	0.00	0.00	0.00	0.00	2.83	0.00	0.00	2.30	1.20	0.00	0.00	0.00	0.00	0.00	0.00	2.70	0.00	0.04	0.05	0.00	1.18
23.00	9.90	7.81	6.90	1.64	0.00	0.49	0.00	0.00	1.57	0.00	0.00	4.46	3.42	0.00	0.00	0.00	0.00	0.00	0.00	2.56	0.00	0.06	0.09	0.00	0.54
24.00	9.89	7.80	6.90	0.39	0.00	0.00	0.00	0.00	2.12	0.00	0.00	1.11	2.51	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	0.00	0.00	0.00	0.92
25.00	9.90	7.80	6.90	0.00	0.00	0.00	0.00	0.00	1.18	0.00	0.00	3.53	2.60	0.00	0.00	0.00	0.00	0.00	0.00	2.86	0.00	0.00	0.00	0.00	0.88
26.00	9.90	7.81	6.90	0.00	0.00	0.00	0.00	0.00	3.76	0.00	0.00	0.49	2.14	0.00	0.00	0.00	0.00	0.00	0.00	2.44	0.00	0.02	0.15	0.00	0.73
27.00	9.90	7.80	6.90	0.00	0.00	0.54	0.00	0.00	3.62	0.00	0.00	0.49	3.56	0.00	0.00	0.00	0.00	0.01	0.00	0.78	0.00	0.00	0.08	0.00	0.88
28.00	9.89	7.80	6.90	0.00	0.00	0.00	0.00	0.00	1.91	0.00	0.00	0.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.17	0.00	0.00	0.00	0.00	0.92
29.00	9.90	7.81	6.90	0.00	0.00	0.12	0.00	0.00	4.05	0.00	0.00	4.26	3.00	0.00	0.00	0.00	0.00	0.01	0.00	2.68	0.00	0.02	0.07	0.00	0.89
30.00	9.90	7.80	6.90	0.00	0.00	0.82	0.00	0.00	0.49	0.00	0.00	2.05	4.02	0.00	0.00	0.00	0.00	0.00	0.00	2.46	0.00	0.01	0.01	0.00	0.88
31.00	9.89	7.80	6.90	1.40	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.24	1.68	0.00	0.00	0.00	0.00	0.00	0.00	2.65	0.00	0.00	0.00	0.00	0.92
32.00	9.90	7.81	6.90	1.18	0.00	0.00	0.00	0.00	4.75	0.00	0.00	3.83	2.24	0.00	0.00	0.00	0.00	0.00	0.00	2.53	0.00	0.00	0.00	0.00	0.91
33.00	9.90	7.80	6.89	1.67	0.00	0.00	0.00	0.00	1.87	0.00	0.00	2.27	2.38	0.00	0.00	0.00	0.00	0.04	0.00	1.66	0.00	0.00	0.14	0.00	0.91
34.00	9.89	7.81	6.90	2.97	0.00	0.00	0.00	0.00	0.00	0.02	0.00	4.38	3.23	0.00	0.00	0.00	0.00	0.01	0.00	0.49	0.00	0.00	0.06	0.00	0.88
35.00	9.90	7.80	6.90	2.77	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.73	4.07	0.00	0.00	0.00	0.00	0.00	0.00	3.42	0.00	0.00	0.00	0.00	0.91
36.00	9.90	7.80	6.90	2.90	0.00	0.00	0.00	0.00	4.44	0.00	0.00	2.03	1.80	0.00	0.00	0.00	0.00	0.02	0.00	2.70	0.00	0.00	0.07	0.00	0.91
37.00	9.89	7.81	6.90	6.06	0.00	0.00	0.00	0.00	0.00	0.00	0.00	4.19	0.00	0.00	0.02	0.00	0.00	0.00	0.00	1.66	0.00	0.04	0.13	0.00	0.46
38.00	9.90	7.80	6.90	2.60	0.00	0.00	0.00	0.00	1.45	0.00	0.00	3.57	1.39	0.00	0.00	0.00	0.00	0.05	0.00	3.21	0.00	0.00	0.18	0.00	1.13
39.00	9.90	7.80	6.90	2.05	0.00	0.00	0.00	0.00	0.98	0.04	0.00	1.19	1.71	0.00	0.00	0.00	0.00	0.01	0.00	1.04	0.00	0.02	0.09	0.00	0.91
40.00	9.90	7.81	6.90	0.00	0.00	0.00	0.00	0.00	4.86	0.00	0.00	0.99	3.54	0.00	0.00	0.00	0.00	0.05	0.00	2.77	0.00	0.01	0.11	0.00	0.88
41.00	9.89	7.80	6.90	2.57	0.00	0.00	0.00	0.00	0.00	0.00	0.00	3.42	1.73	0.00	0.00	0.00	0.00	0.01	0.00	2.68	0.00	0.00	0.01	0.00	0.91
42.00	9.90	7.80	6.90	4.51	0.00	0.00	0.00	0.00	1.98	0.00	0.00	2.54	3.64	0.00	0.00	0.00	0.00	0.01	0.00	2.61	0.00	0.01	0.00	0.00	0.89
43.00	9.90	7.81	6.90	0.00	0.00	0.00	0.00	0.00	3.33	0.00	0.00	4.53	1.60	0.00	0.00	0.00	0.00	0.01	0.00	2.80	0.00	0.00	0.00	0.00	0.64
44.00	9.89	7.80	6.90	3.96	0.00	0.00	0.00	0.00	1.74	0.00	0.00	1.81	1.55	0.00	0.00	0.00	0.00	0.08	0.00	0.95	0.00	0.00	0.14	0.00	0.68
45.00	9.90	7.81	6.90	1.78	0.00	0.00	0.00	0.00	3.78	0.00	0.00	2.41	0.00	0.00	0.00	0.00	0.00	0.09	0.00	1.30	0.00	0.00	0.16	0.00	0.88
46.00	9.90	7.80	6.90	3.93	0.00	0.00	0.00	0.00	0.00	0.01	0.00	0.77	1.54	0.00	0.01	0.00	0.00	0.58	0.00	2.67	0.00	0.04	0.57	0.00	1.06
