Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.721s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	4.34	0.00	0.00	0.04	0.00	0.00	0.00	0.06	1.40	0.86
3.00	4.36	0.00	2.60	0.00	0.00	1.78	0.00	2.09	1.04	0.00
4.00	4.34	0.00	1.54	0.00	0.04	1.92	0.00	0.50	1.30	3.04
5.00	4.36	0.30	0.68	0.90	0.00	2.15	0.23	0.04	1.01	0.02
6.00	4.34	1.47	4.21	1.26	0.00	0.44	1.65	0.15	0.00	1.56
7.00	4.36	0.35	0.07	0.18	0.00	0.65	2.07	0.00	1.17	2.07
8.00	4.34	0.51	2.07	0.00	0.00	0.33	1.65	3.23	0.44	0.00
9.00	4.36	0.35	0.83	0.00	0.00	0.00	0.33	2.12	0.03	2.03
10.00	4.34	0.00	0.00	0.00	0.30	0.00	2.19	0.00	0.45	1.28
11.00	4.36	1.72	1.03	0.14	0.03	0.99	0.50	0.00	0.00	1.03
12.00	4.34	1.31	0.06	0.00	0.00	0.00	0.23	0.30	0.00	0.77
13.00	4.36	0.24	0.00	0.00	0.00	0.27	0.38	1.60	0.28	0.00
14.00	4.34	3.25	0.77	0.03	0.09	1.91	1.11	0.00	0.00	0.13
15.00	4.36	0.00	0.14	0.00	0.30	0.00	0.04	0.00	0.00	1.99
16.00	4.34	2.35	1.54	0.00	0.00	0.00	0.00	1.50	0.00	0.09
17.00	4.36	0.64	0.35	0.18	0.00	0.10	1.65	0.03	2.43	0.50
18.00	4.34	0.00	1.82	0.07	0.23	2.35	0.02	1.44	0.00	1.52
19.00	4.36	2.01	0.00	0.05	0.00	0.21	0.00	2.02	1.61	0.29
20.00	4.34	0.71	3.34	1.65	0.09	0.80	0.55	0.06	1.46	0.00
21.00	4.36	0.99	1.29	0.00	0.29	1.47	1.28	0.47	1.36	0.18
22.00	4.34	0.33	1.39	0.00	0.94	0.18	0.13	1.43	1.23	0.00
23.00	4.36	0.43	0.00	0.00	0.68	0.16	0.23	0.41	0.00	0.64
24.00	4.34	0.03	3.54	0.00	0.00	0.00	1.02	0.00	1.14	0.10
25.00	4.36	1.64	0.36	0.00	0.78	0.00	0.00	2.23	1.07	0.00
26.00	4.34	1.51	1.33	0.00	0.12	0.12	0.64	1.27	1.23	0.90
27.00	4.36	0.30	0.07	0.00	0.35	1.72	0.00	0.37	0.10	1.18
28.00	4.34	0.13	0.96	0.03	0.29	3.17	0.03	0.03	1.39	0.63
29.00	4.36	4.14	0.68	0.15	0.95	0.10	0.00	0.17	1.21	0.37
30.00	4.36	3.25	0.00	0.04	1.79	0.00	0.00	0.07	0.00	1.29
31.00	4.34	0.10	0.56	0.26	0.00	0.47	0.96	0.00	0.53	0.07
32.00	4.36	0.44	1.09	0.09	0.19	0.06	0.20	0.47	0.46	1.87
33.00	4.34	0.00	0.82	0.00	0.05	2.53	0.90	1.63	1.13	1.23
34.00	4.36	0.03	0.19	0.00	0.00	2.46	0.15	0.00	0.88	0.86
35.00	4.34	1.41	0.10	0.30	0.33	0.00	0.54	0.28	0.04	1.12
36.00	4.36	0.16	1.41	0.79	0.27	0.90	0.60	2.68	0.00	0.00
37.00	4.34	2.10	0.21	0.00	1.22	1.55	0.00	0.00	0.46	0.00
38.00	4.36	1.89	0.00	0.00	0.57	1.24	0.51	0.33	0.42	0.14
39.00	4.34	0.04	3.55	0.00	0.00	0.93	0.00	0.00	1.92	1.40
40.00	4.36	0.00	0.29	0.00	0.12	0.06	1.41	2.61	1.06	0.26
41.00	4.34	1.67	1.30	0.00	0.17	0.20	0.07	0.00	0.00	0.00
42.00	4.36	0.37	0.01	0.00	1.89	0.04	0.00	1.03	1.14	1.73
43.00	4.34	0.00	1.59	0.00	0.00	0.93	0.00	0.37	1.43	0.00
44.00	4.36	1.06	0.43	0.00	0.08	1.67	0.25	0.10	0.00	0.74
45.00	4.34	0.00	1.95	0.00	0.01	0.14	0.00	0.30	1.34	0.00
46.00	4.36	0.78	0.33	0.00	0.51	0.00	0.00	1.05	0.00	0.00
47.00	4.34	0.51	0.39	0.00	1.74	1.28	0.50	0.45	0.93	0.00
48.00	4.36	0.63	1.02	0.00	0.01	0.34	0.16	2.83	0.18	1.78
49.00	4.34	0.86	0.00	0.00	0.00	0.15	0.00	0.57	0.00	0.00
50.00	4.36	0.00	0.59	0.04	0.11	0.42	2.41	0.04	0.62	1.19
51.00	4.34	0.76	0.00	0.00	1.57	1.94	0.03	1.32	1.29	1.77
52.00	4.36	2.43	0.00	0.00	0.00	1.14	0.90	0.00	0.00	0.01
53.00	4.34	1.27	1.05	0.08	1.36	1.52	0.51	0.68	0.12	0.64
54.00	4.36	2.77	0.27	0.15	0.00	0.03	0.83	1.18	2.02	0.00
55.00	4.34	0.00	0.00	2.12	0.00	0.48	0.00	0.26	0.00	0.00
56.00	4.36	0.00	0.03	0.06	0.26	1.09	0.00	0.00	0.03	1.80
57.00	4.35	0.00	3.11	0.00	1.41	0.80	0.00	1.26	1.37	1.30
58.00	4.35	0.18	0.33	0.00	0.04	0.09	0.00	0.00	0.00	2.00
59.00	4.36	2.06	3.40	0.01	0.07	1.89	0.00	0.00	0.21	0.75
60.00	4.34	0.23	0.22	0.00	1.35	0.39	0.00	0.16	1.76	0.11
61.00	4.36	0.46	0.30	0.00	0.70	1.75	0.00	0.90	0.66	1.08
62.00	4.34	1.35	0.69	0.03	0.22	1.19	0.44	0.00	1.64	1.04
63.00	4.36	0.00	2.33	0.23	0.33	0.00	2.05	0.37	0.32	1.69
64.00	4.34	1.65	0.00	0.30	0.82	0.47	0.38	2.90	0.00	2.21
65.00	4.36	0.42	2.27	0.00	0.00	0.00	0.96	0.12	1.30	0.05
66.00	4.34	3.52	0.11	0.00	0.00	0.00	0.82	2.05	0.00	0.49
67.00	4.36	0.00	1.35	1.05	1.59	1.48	0.00	1.52	2.30	0.00
68.00	4.34	0.63	1.64	0.17	0.28	0.13	0.49	0.00	0.56	0.83
69.00	4.36	0.53	0.00	0.14	2.02	0.19	0.04	0.65	0.04	1.76
70.00	4.34	1.39	1.61	0.34	0.52	0.06	0.00	0.00	0.00	1.12
71.00	4.36	0.24	1.60	0.01	0.68	0.72	2.27	0.00	1.02	0.00
72.00	4.34	0.00	1.41	0.11	0.00	0.00	0.00	0.66	0.26	0.39
73.00	4.36	1.38	1.65	0.00	0.03	0.81	1.00	1.92	0.00	2.17
74.00	4.34	0.00	0.29	0.00	1.42	0.79	0.06	1.87	0.37	0.69
75.00	4.36	0.17	1.40	0.00	0.31	0.88	0.13	0.28	1.39	0.15
76.00	4.34	1.18	1.36	0.00	0.83	0.33	0.00	1.25	0.10	2.72
77.00	4.36	0.00	2.07	0.00	0.00	0.10	1.19	0.13	1.34	0.33
78.00	4.34	0.00	2.33	0.00	0.00	1.19	0.52	0.21	0.22	1.94
79.00	4.36	0.00	3.30	0.13	1.42	1.05	0.00	3.09	0.00	0.00
80.00	4.34	2.54	0.08	0.00	1.09	0.06	0.00	0.09	2.66	1.39
81.00	4.36	0.38	1.43	0.09	0.11	0.18	0.00	0.00	1.41	0.00
82.00	4.34	0.00	0.00	0.15	0.00	1.69	1.76	0.84	0.00	0.00
83.00	4.36	1.45	0.00	0.15	0.33	0.00	0.18	0.03	2.53	2.12
84.00	4.34	0.00	0.27	0.00	0.31	1.58	0.78	0.04	0.15	1.87
85.00	4.36	1.32	1.99	0.01	0.20	1.14	0.00	0.03	1.25	0.09
86.00	4.36	1.53	0.65	0.00	0.00	0.10	0.15	1.34	1.58	0.04
87.00	4.34	1.34	1.42	0.00	0.36	2.32	1.73	0.00	0.06	0.00
88.00	4.36	0.00	0.00	0.30	0.51	0.00	2.52	0.01	0.44	0.00
89.00	4.34	2.31	0.00	0.22	0.00	0.00	0.31	0.92	2.54	0.39
90.00	4.36	0.00	2.88	0.00	0.00	0.94	0.06	0.00	0.39	0.36
91.00	4.34	0.23	0.00	0.00	0.59	0.00	0.71	0.00	0.10	2.68
92.00	4.36	0.82	0.29	1.35	0.00	0.84	0.51	1.14	0.22	0.07
93.00	4.34	0.30	0.00	0.00	1.77	1.22	1.94	0.00	0.30	1.46
94.00	4.36	1.17	0.15	0.00	0.14	1.27	0.00	0.00	0.00	0.00
95.00	4.34	0.06	1.66	0.00	0.30	0.80	1.12	0.00	0.63	1.29
96.00	4.36	0.00	0.19	0.00	1.30	2.64	0.35	1.19	2.41	0.16
97.00	4.34	0.66	0.00	0.00	0.00	0.00	1.13	0.39	1.02	1.31
98.00	4.36	0.00	0.61	0.00	1.05	0.37	0.13	1.12	1.15	1.96
