Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.713s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	3.74	1.10	0.00	0.04	1.63	0.00	0.53	0.00	0.00	0.00	0.00
3.00	3.75	0.78	0.04	0.00	1.38	0.23	0.22	2.99	0.00	0.00	0.30
4.00	3.75	3.87	0.00	1.11	1.88	0.00	0.00	2.47	0.00	0.00	0.06
5.00	3.74	2.43	0.00	0.04	0.62	0.00	0.00	0.03	0.00	0.50	1.23
6.00	3.75	2.02	0.00	2.08	1.14	0.00	0.00	0.52	0.00	0.21	0.68
7.00	3.75	0.03	1.62	0.00	1.92	0.18	0.04	1.72	0.00	0.34	0.16
8.00	3.75	1.72	0.00	0.56	0.00	0.00	0.18	2.55	0.00	1.57	0.04
9.00	3.74	1.34	0.00	0.00	0.03	0.15	0.37	0.46	0.00	0.34	1.35
10.00	3.75	0.60	1.17	0.29	0.37	0.96	0.00	1.31	0.00	1.14	0.68
11.00	3.75	2.28	0.00	0.00	0.64	0.00	0.00	0.11	0.00	0.11	0.47
12.00	3.74	3.00	0.37	0.03	0.00	0.00	0.72	0.86	0.36	0.00	2.01
13.00	3.75	3.00	0.66	1.01	0.06	0.00	0.36	0.29	0.00	0.00	1.95
14.00	3.75	1.00	0.00	0.00	2.20	0.00	0.79	0.08	1.20	0.73	0.08
15.00	3.75	0.05	0.00	0.48	0.86	1.23	0.77	1.66	0.00	1.33	1.23
16.00	3.74	0.39	0.00	0.50	1.75	0.24	0.00	2.34	0.00	1.89	0.30
17.00	3.75	1.88	0.00	1.92	0.00	0.00	0.00	0.27	2.19	0.07	0.25
18.00	3.75	0.09	0.00	0.00	2.61	0.00	0.00	0.00	0.29	1.12	1.14
19.00	3.75	0.27	0.00	0.08	2.70	0.00	0.00	0.30	0.06	2.11	1.43
20.00	3.75	0.00	0.00	0.47	1.81	0.00	0.00	1.39	0.71	0.00	1.57
21.00	3.75	0.13	0.61	0.00	0.00	0.00	0.00	0.14	1.10	0.15	1.32
22.00	3.75	1.17	1.09	0.00	0.49	1.22	0.00	1.32	0.00	1.94	2.19
23.00	3.74	0.00	0.00	0.31	2.59	0.00	0.00	0.00	0.03	1.50	1.88
24.00	3.75	3.15	0.00	0.00	0.00	0.00	0.00	0.00	0.86	0.59	0.00
25.00	3.75	3.00	0.32	2.64	0.27	0.63	0.00	0.00	0.00	0.46	1.91
26.00	3.75	1.44	1.35	0.00	1.44	0.35	0.00	0.96	1.97	0.06	0.47
27.00	3.74	1.59	0.00	2.39	1.14	0.00	0.00	1.72	0.00	0.15	0.06
28.00	3.75	1.95	0.00	0.13	0.00	0.00	0.00	0.02	0.00	0.00	0.00
29.00	3.75	2.42	0.29	0.25	2.66	0.00	0.00	0.56	0.00	2.28	0.00
30.00	3.74	2.36	0.12	0.00	0.25	0.00	0.00	2.38	0.01	1.71	0.00
31.00	3.75	1.87	0.00	0.61	0.55	0.00	0.00	1.59	1.12	0.00	0.00
32.00	3.75	1.54	0.00	0.06	0.00	0.00	0.00	1.26	0.00	0.09	0.00
33.00	3.75	2.08	0.00	0.08	0.00	0.00	0.00	1.79	0.00	1.31	0.00
34.00	3.74	1.05	0.00	0.08	0.00	0.02	0.00	0.01	0.00	0.45	0.18
35.00	3.75	0.27	0.00	0.00	1.77	0.00	0.00	0.14	0.00	1.46	0.00
36.00	3.75	0.00	0.00	3.48	0.34	0.76	0.00	0.06	0.00	1.81	0.51
37.00	3.74	0.00	1.29	0.71	0.20	0.00	0.00	0.11	0.00	0.22	0.00
38.00	3.75	0.38	1.90	1.25	0.00	0.00	0.00	0.69	0.45	0.70	2.67
39.00	3.75	2.68	0.00	0.72	1.60	0.00	0.00	1.28	0.32	1.32	1.83
40.00	3.75	0.53	0.01	0.87	0.00	1.17	0.00	1.57	0.59	1.38	0.00
41.00	3.74	0.25	1.47	1.32	1.35	0.00	0.00	0.51	0.00	0.72	0.57
42.00	3.75	1.15	0.00	0.06	0.00	1.89	0.00	0.00	0.00	0.49	0.04
43.00	3.75	1.39	0.00	2.32	0.00	0.00	0.00	0.00	0.00	0.18	0.73
44.00	3.75	2.84	0.02	0.65	0.15	0.46	0.00	0.85	0.00	0.21	0.34
45.00	3.74	0.00	0.01	1.15	1.95	0.00	0.00	1.79	1.91	0.01	0.00
46.00	3.75	0.47	0.90	2.69	0.24	0.00	0.00	0.05	0.09	0.18	0.01
47.00	3.75	2.15	0.00	1.37	1.51	0.00	0.00	1.16	0.32	0.03	1.08
48.00	3.74	3.00	0.00	0.69	0.03	0.00	0.00	0.11	1.21	1.80	0.13
49.00	3.75	0.81	0.48	0.02	0.00	0.01	0.00	1.68	0.53	0.00	1.81
50.00	3.75	1.47	0.00	0.32	0.14	0.19	0.00	0.70	0.09	0.99	0.10
51.00	3.75	2.05	0.00	0.89	0.32	0.28	0.00	0.00	0.02	0.00	2.42
52.00	3.74	0.68	0.00	1.61	1.78	0.00	0.00	2.44	0.00	0.31	0.96
53.00	3.75	0.51	0.00	2.51	0.00	0.27	0.00	0.15	0.00	0.04	0.39
54.00	3.75	1.15	0.00	0.03	0.13	1.02	0.00	0.30	0.00	0.16	2.69
55.00	3.75	0.15	0.00	0.92	1.06	0.00	0.00	2.39	0.00	0.00	1.14
56.00	3.75	0.65	0.00	0.00	0.21	0.00	0.56	2.25	0.01	1.86	0.00
57.00	3.75	0.11	0.09	1.20	0.03	0.00	1.55	0.35	0.00	0.50	0.00
58.00	3.75	0.03	2.51	1.38	0.61	0.00	1.64	0.00	0.11	0.85	0.00
59.00	3.74	1.64	0.66	0.08	1.46	0.00	0.06	0.36	1.22	0.00	0.00
60.00	3.75	0.00	1.17	1.24	0.00	0.38	0.01	1.57	0.00	1.42	0.00
61.00	3.75	2.99	1.37	0.00	0.00	0.65	0.83	0.00	0.00	0.00	0.00
62.00	3.75	0.46	0.00	0.56	0.94	0.00	0.28	0.92	0.14	0.00	1.59
63.00	3.74	1.22	0.87	1.49	0.00	0.18	0.00	0.00	0.14	0.22	0.75
64.00	3.75	0.00	0.00	0.96	1.36	0.30	0.33	0.09	0.73	1.05	0.00
65.00	3.75	0.00	0.00	2.14	0.00	0.06	0.00	0.00	0.00	1.01	0.87
66.00	3.74	0.00	0.93	0.03	0.00	0.00	0.03	2.49	0.00	0.75	0.54
67.00	3.75	0.00	0.64	0.23	1.41	0.07	0.00	3.32	1.76	0.04	0.19
68.00	3.75	0.00	0.00	0.00	2.70	0.00	0.00	2.55	0.00	2.96	0.00
69.00	3.75	0.00	0.00	1.27	0.78	0.00	0.00	0.65	0.00	1.95	0.63
70.00	3.74	1.80	0.00	0.67	0.36	0.00	0.00	0.38	0.00	1.96	2.24
71.00	3.75	0.99	0.00	1.31	0.00	0.17	0.00	2.60	0.03	1.95	1.95
72.00	3.75	0.00	0.00	0.08	0.25	0.00	0.00	0.46	0.91	0.47	0.61
73.00	3.75	0.00	0.47	3.06	1.45	0.00	0.67	0.39	0.00	2.11	0.21
74.00	3.75	1.65	0.12	1.65	0.00	1.32	0.00	0.00	0.00	1.38	0.62
75.00	3.75	0.00	0.00	0.45	0.00	1.55	1.03	0.00	1.13	0.12	0.57
76.00	3.75	1.73	1.08	0.00	0.18	1.24	0.00	0.00	0.66	0.00	0.00
