Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.841s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	10.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	10.30	0.00	4.65	0.00	1.23	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	10.30	0.00	7.15	0.00	2.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	10.30	0.00	3.71	2.30	1.35	0.00	0.00	0.00	0.00	0.00	3.77	0.00
6.00	10.30	0.00	6.97	2.13	1.40	0.00	0.00	0.00	0.00	0.00	3.44	0.00
7.00	10.30	0.00	2.11	2.27	0.21	0.00	0.00	0.00	0.00	0.00	2.48	0.00
8.00	10.30	0.00	0.00	6.09	1.08	0.00	0.00	0.00	0.00	0.00	3.80	0.00
9.00	10.30	0.00	0.00	5.36	1.66	0.00	0.00	0.00	0.00	0.00	3.44	0.00
10.00	10.31	0.00	0.00	5.06	1.95	0.00	0.00	0.00	0.00	0.00	3.43	0.00
11.00	10.30	0.00	0.00	5.03	1.36	0.00	0.00	0.00	0.00	0.00	3.43	0.00
12.00	10.30	0.00	0.00	6.93	1.53	0.00	0.00	0.00	0.00	0.00	3.43	0.00
13.00	10.30	0.00	0.00	6.59	0.70	0.00	0.00	0.00	0.00	0.00	3.44	0.00
14.00	10.30	0.00	1.73	5.72	0.01	0.00	0.00	0.00	0.00	0.00	3.43	0.00
15.00	10.30	0.00	4.62	4.45	0.02	0.00	0.00	0.00	0.00	0.00	3.43	0.00
16.00	10.30	0.00	4.34	4.86	0.07	0.00	0.00	0.00	0.00	0.00	1.52	0.00
17.00	10.30	0.00	0.01	0.00	2.21	0.00	0.00	0.00	0.00	0.00	0.00	0.00
18.00	10.31	0.00	5.50	0.00	1.26	0.00	0.00	0.00	0.00	0.00	0.00	0.00
