Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.794s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	4.19	3.89	0.00	0.49	0.60	1.45	0.00	0.00	0.00	0.00	1.82	1.80
3.00	4.20	3.90	0.00	2.40	0.47	0.11	0.71	0.30	0.00	0.00	2.40	1.80
4.00	4.19	3.90	4.90	3.45	0.00	0.50	0.45	0.10	0.00	0.00	2.40	1.81
5.00	4.20	3.90	3.90	3.38	0.00	0.14	0.15	2.20	0.00	1.34	2.40	1.73
6.00	4.19	3.90	3.90	0.79	0.26	0.51	1.41	0.75	0.53	0.15	2.40	1.10
7.00	4.20	3.90	3.89	0.15	0.00	0.24	2.70	0.00	0.00	0.00	2.40	1.81
8.00	4.19	3.89	3.90	2.44	0.00	0.90	2.70	0.00	0.00	0.00	2.41	1.80
9.00	4.20	3.90	3.90	3.45	0.00	0.06	2.70	0.53	0.34	0.25	2.40	1.80
10.00	4.20	3.90	3.90	3.45	0.00	0.21	2.70	0.02	0.60	0.54	2.40	1.81
11.00	4.19	3.89	3.90	1.12	0.00	0.14	0.93	0.65	0.00	0.00	0.85	0.67
12.00	4.20	3.90	3.90	0.01	0.00	2.81	0.03	0.00	0.00	0.00	0.00	1.97
13.00	4.19	3.90	3.90	0.65	0.00	2.69	0.62	0.00	0.00	0.00	0.00	1.80
14.00	4.20	3.89	3.89	0.00	0.61	0.00	0.05	0.00	0.00	0.00	2.92	1.80
15.00	4.19	3.90	3.90	3.82	0.00	0.00	0.02	0.00	0.00	0.00	0.50	1.80
16.00	4.20	3.90	3.90	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80
17.00	4.20	3.89	3.89	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81
18.00	4.19	3.90	3.90	3.44	0.00	0.00	0.03	0.00	0.00	0.00	0.00	1.80
19.00	4.20	3.90	3.90	3.45	0.00	0.00	0.26	0.00	0.00	0.00	0.00	1.80
20.00	4.19	3.89	3.89	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81
21.00	4.20	3.90	3.90	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80
22.00	4.19	3.90	3.90	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81
23.00	4.20	3.89	3.89	3.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80
24.00	4.20	3.90	3.90	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.80
25.00	4.19	3.90	3.90	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.81
26.00	4.20	3.89	3.89	3.45	0.00	0.00	0.01	0.00	0.00	0.00	0.00	1.80
27.00	4.19	3.90	3.90	3.45	0.00	0.00	0.01	0.00	0.00	0.00	0.00	1.81
