Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.730s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	3.89	0.06	2.10	0.76	0.00	0.00	0.00	0.00	0.15	0.76	0.73	0.73	0.00
3.00	3.90	0.61	1.15	0.91	0.04	0.00	0.00	0.18	0.01	1.95	0.48	0.00	2.83
4.00	3.90	0.75	0.69	0.62	0.00	0.00	3.71	0.00	0.15	0.37	1.57	0.00	1.81
5.00	3.90	0.00	0.09	1.94	0.00	0.15	0.59	1.28	0.00	0.57	2.25	2.17	0.61
6.00	3.90	4.35	0.00	0.26	0.00	1.00	1.99	0.28	0.69	0.00	0.99	0.00	2.22
7.00	3.90	3.60	1.85	0.27	0.19	0.06	2.70	0.00	0.00	0.92	0.65	0.17	1.80
8.00	3.89	1.22	0.00	0.00	0.51	3.06	2.70	0.00	0.00	0.00	0.65	0.90	1.80
9.00	3.90	0.68	0.00	3.23	0.00	2.70	2.09	0.62	0.00	0.00	0.78	1.17	1.81
10.00	3.90	0.10	1.56	0.80	0.00	0.17	3.31	0.72	0.00	0.00	0.87	0.13	1.80
11.00	3.89	4.03	0.00	0.06	0.00	0.06	2.70	0.00	0.68	0.00	0.42	1.47	1.80
12.00	3.90	3.60	0.96	0.12	0.00	0.85	2.70	0.00	0.15	0.00	0.35	1.30	1.80
13.00	3.90	3.60	0.43	1.58	0.00	0.00	2.70	0.00	0.00	0.00	0.00	0.00	1.80
14.00	3.89	3.59	0.00	0.44	0.00	0.00	2.70	0.00	0.00	0.61	1.01	2.32	0.95
15.00	3.90	1.18	0.42	0.24	0.00	0.61	0.94	0.00	0.64	1.37	0.27	1.95	0.91
16.00	3.90	1.30	0.24	0.36	0.11	0.64	0.25	0.00	2.12	0.00	0.30	1.95	0.88
17.00	3.89	3.60	1.74	0.04	0.00	0.00	0.65	0.34	0.13	0.00	0.00	1.95	2.10
18.00	3.90	3.60	3.30	0.00	0.00	0.00	1.39	0.33	1.05	0.00	0.56	1.95	0.71
