Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.814s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	3.89	3.29	3.29	0.04	0.06	0.00	0.00	1.38	0.36	0.00	0.15	0.79	0.04	0.41
3.00	3.90	3.30	3.30	1.57	1.33	0.00	2.53	0.00	0.45	0.27	3.31	0.06	0.00	1.84
4.00	3.90	3.30	3.30	3.15	1.05	0.30	2.55	0.44	0.00	0.06	2.40	1.31	0.63	1.66
5.00	3.89	3.30	3.30	3.15	0.84	0.06	2.55	0.12	2.65	0.04	1.30	2.11	0.28	1.64
6.00	3.90	3.30	3.30	3.15	0.45	0.71	2.55	0.00	0.08	0.00	1.26	2.10	1.05	1.64
7.00	3.90	3.30	3.30	3.15	1.18	0.21	2.55	0.11	0.27	0.18	0.32	2.10	0.69	1.66
8.00	3.89	3.30	3.30	0.56	1.58	0.13	2.55	0.00	1.00	0.00	0.27	0.58	0.45	0.42
9.00	3.90	3.30	3.29	0.00	3.00	1.86	1.24	0.00	1.21	0.00	0.00	0.00	0.94	0.08
10.00	3.90	3.29	3.30	0.00	3.00	2.66	1.78	0.20	2.49	0.00	0.14	0.00	0.90	1.83
11.00	3.89	3.30	3.30	0.00	3.00	0.00	2.55	0.00	0.47	0.00	0.00	0.00	0.20	1.66
12.00	3.90	3.30	3.30	0.00	3.00	3.22	2.55	0.49	3.15	0.00	0.00	0.00	0.00	1.64
13.00	3.90	3.30	3.30	0.00	3.00	0.98	2.55	0.00	0.10	0.00	0.11	0.00	0.14	1.66
14.00	3.89	3.30	3.30	0.00	3.00	0.44	2.55	0.00	1.21	0.00	0.22	0.00	1.23	1.64
15.00	3.90	3.30	3.30	0.01	3.00	3.19	2.55	0.00	0.62	0.00	0.56	0.00	0.00	1.66
16.00	3.90	3.30	3.30	0.57	3.00	2.70	2.55	0.00	0.00	0.00	1.56	1.04	0.17	1.64
17.00	3.89	3.30	3.29	0.00	3.00	2.54	0.71	0.00	0.12	0.00	0.64	0.00	0.00	1.64
18.00	3.90	3.29	3.30	2.94	3.00	0.00	2.83	0.00	0.00	0.00	0.00	0.00	0.00	1.66
19.00	3.90	3.30	3.30	1.54	3.00	0.00	2.55	0.00	0.00	0.00	0.15	0.00	0.42	1.64
20.00	3.89	3.30	3.30	0.27	3.00	0.00	2.55	0.00	0.00	0.00	0.00	0.00	0.00	1.66
21.00	3.90	3.30	3.30	0.00	1.27	0.00	2.55	0.00	0.00	0.00	0.61	0.63	0.82	1.64
22.00	3.90	3.30	3.30	0.00	0.60	0.00	2.55	0.00	0.00	0.80	0.66	2.20	0.00	1.66
23.00	3.89	3.30	3.30	0.00	0.00	0.00	2.55	0.00	0.00	0.00	0.45	2.11	0.59	1.64
24.00	3.90	3.30	3.30	0.00	3.14	0.00	2.55	0.00	0.00	0.00	0.00	2.10	0.00	1.66
25.00	3.90	3.30	3.29	0.00	3.00	0.00	2.56	0.00	0.00	0.00	0.00	2.10	0.00	1.64
26.00	3.89	3.29	3.30	0.00	2.20	0.00	2.55	0.00	0.00	0.00	0.00	2.11	0.00	1.64
27.00	3.90	3.30	3.30	0.06	3.00	0.57	2.55	0.93	0.00	0.00	0.00	2.10	0.17	1.66
28.00	3.90	3.30	3.30	0.19	0.03	0.00	2.55	0.72	3.53	0.00	0.00	2.10	0.07	1.64
29.00	3.89	3.30	3.30	0.00	0.00	0.00	0.89	0.44	2.55	0.00	0.00	2.10	0.00	1.66
30.00	3.90	3.30	3.30	0.00	0.00	0.00	0.21	0.27	2.55	0.57	0.00	2.11	0.00	1.64
31.00	3.90	3.30	3.30	0.00	0.00	0.00	0.00	0.50	2.55	0.20	0.00	2.10	0.72	1.66
32.00	3.89	3.30	3.30	0.33	3.88	0.00	0.13	0.31	2.56	0.00	0.00	2.10	0.00	1.64
33.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.55	1.48	0.00	0.00	2.11	0.00	1.65
34.00	3.90	3.29	3.29	0.00	3.00	0.00	0.90	0.00	0.62	0.72	0.00	2.10	0.00	1.65
35.00	3.89	3.30	3.30	0.49	3.00	0.00	0.32	0.00	0.00	0.06	0.00	2.10	0.00	1.64
36.00	3.90	3.30	3.30	1.76	3.00	0.00	0.00	0.00	0.00	0.18	0.00	2.10	0.00	1.66
37.00	3.90	3.30	3.30	3.15	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	1.64
38.00	3.89	3.30	3.30	0.30	3.00	0.00	0.00	0.00	0.00	0.87	0.00	2.11	0.00	1.66
39.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.84	0.00	0.00	2.10	2.45	1.64
40.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.64
41.00	3.89	3.30	3.30	0.00	2.99	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.50	1.66
42.00	3.90	3.29	3.29	0.00	3.01	0.00	2.11	0.00	0.00	0.00	0.00	2.10	0.32	1.64
43.00	3.90	3.30	3.30	0.00	2.99	0.00	2.55	0.00	0.00	0.00	0.00	2.10	0.00	1.66
44.00	3.89	3.30	3.30	0.00	3.00	0.00	2.55	0.00	0.00	0.00	0.00	2.11	0.64	1.64
45.00	3.90	3.30	3.30	0.00	3.00	0.00	2.55	0.00	0.00	0.00	0.00	2.10	0.88	1.66
46.00	3.90	3.30	3.30	0.00	3.00	0.57	2.19	0.00	0.51	0.11	0.00	2.10	0.53	1.64
47.00	3.89	3.30	3.30	0.21	3.00	0.00	0.00	0.00	0.30	0.00	0.00	2.11	0.82	1.66
48.00	3.90	3.30	3.30	0.00	3.00	0.00	0.47	0.00	0.84	0.08	0.00	2.10	0.00	1.64
49.00	3.90	3.29	3.30	0.45	3.00	0.00	0.00	0.00	0.00	0.84	0.00	2.10	0.00	1.65
50.00	3.89	3.30	3.29	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.27	1.65
51.00	3.90	3.30	3.30	2.39	3.00	0.40	0.00	0.00	0.09	0.00	0.00	2.11	2.72	1.64
52.00	3.90	3.30	3.30	3.15	3.00	0.10	0.00	0.00	0.60	0.84	0.00	2.10	1.80	1.66
53.00	3.89	3.30	3.30	0.82	3.00	0.18	0.00	0.00	0.62	0.00	0.00	2.10	1.81	1.64
54.00	3.90	3.30	3.30	0.00	3.00	0.60	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.66
55.00	3.90	3.30	3.30	0.00	3.00	0.00	1.71	0.00	0.00	0.27	0.00	2.10	1.80	1.64
56.00	3.89	3.30	3.30	0.00	3.00	0.00	0.42	0.00	0.00	0.70	0.00	2.10	1.81	1.66
57.00	3.90	3.30	3.30	0.00	3.00	0.84	0.51	0.00	0.00	0.00	0.00	2.10	1.80	1.64
58.00	3.90	3.29	3.29	0.00	3.00	0.56	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.64
59.00	3.89	3.30	3.30	0.00	3.00	0.00	0.00	0.00	0.00	0.53	0.00	2.10	1.80	1.66
60.00	3.90	3.30	3.30	0.65	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.80	1.64
61.00	3.90	3.30	3.30	0.10	3.00	0.00	0.00	0.00	0.00	0.06	0.00	2.11	1.81	1.66
62.00	3.89	3.30	3.30	0.81	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.80	1.64
63.00	3.90	3.30	3.30	2.56	3.00	0.00	0.00	0.00	1.12	0.00	0.00	2.10	1.80	1.66
64.00	3.90	3.30	3.30	3.15	3.00	0.00	0.00	0.00	0.00	0.53	0.00	2.10	1.81	1.64
65.00	3.89	3.29	3.30	0.86	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.65
66.00	3.90	3.30	3.29	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.81	1.65
67.00	3.90	3.30	3.30	0.03	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.80	1.64
68.00	3.89	3.30	3.30	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.66
69.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.81	1.64
70.00	3.90	3.30	3.30	1.10	2.62	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.80	1.66
71.00	3.89	3.30	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.10	1.81	1.64
72.00	3.90	3.30	3.30	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.11	1.80	1.66
73.00	3.90	3.30	3.30	0.00	0.67	0.00	3.19	0.00	0.00	0.00	0.00	2.10	1.80	1.64
74.00	3.90	3.29	3.29	0.62	0.00	0.00	2.55	0.00	0.00	0.00	0.00	2.10	1.81	1.64
75.00	3.90	3.30	3.30	0.00	0.98	0.46	2.55	0.00	0.00	0.00	0.00	2.11	1.04	1.66
76.00	3.90	3.30	3.30	0.00	2.79	0.41	2.55	0.00	0.00	0.00	0.00	2.10	0.00	1.64
77.00	3.90	3.30	3.30	2.41	3.00	0.00	2.55	0.00	0.00	0.00	0.00	2.10	0.00	1.66
78.00	3.89	3.30	3.30	1.14	0.86	0.40	2.56	0.00	0.76	0.08	0.00	2.10	1.38	1.64
79.00	3.90	3.30	3.30	0.00	0.00	0.28	2.55	0.00	0.00	0.00	0.00	2.11	1.80	1.66
80.00	3.90	3.30	3.30	0.00	0.00	0.56	2.18	0.00	0.61	0.00	0.00	2.10	0.50	1.64
81.00	3.89	3.30	3.30	0.38	0.00	3.33	2.43	0.00	0.00	0.30	0.00	2.10	0.00	1.65
82.00	3.90	3.29	3.29	0.00	0.00	2.70	0.24	0.00	0.01	0.14	0.00	2.10	0.00	1.65
83.00	3.90	3.30	3.30	0.06	0.00	0.84	0.25	0.00	0.96	0.76	0.00	2.10	0.00	1.64
84.00	3.89	3.30	3.30	1.88	0.00	0.00	1.70	0.00	0.96	0.00	0.00	2.10	0.00	1.66
85.00	3.90	3.30	3.30	3.15	1.12	0.00	0.00	0.00	1.07	0.00	0.00	2.10	0.00	1.64
86.00	3.90	3.30	3.30	1.55	0.00	0.00	0.12	0.00	0.54	0.00	0.00	2.11	0.00	1.66
87.00	3.89	3.30	3.30	0.69	0.00	0.00	0.00	0.00	0.00	1.36	0.00	2.10	0.00	1.64
88.00	3.90	3.30	3.30	0.00	0.80	0.00	0.00	0.00	0.00	0.00	0.00	2.10	0.00	1.66
89.00	3.90	3.30	3.30	0.23	0.48	0.00	0.18	0.00	2.35	0.43	0.00	2.10	0.00	1.64
90.00	3.89	3.29	3.29	0.00	0.00	0.00	0.00	0.00	2.55	1.93	0.00	2.10	0.56	1.64
91.00	3.90	3.30	3.30	0.00	0.00	0.00	0.00	0.00	2.55	2.40	0.00	2.10	0.00	1.66
92.00	3.90	3.30	3.30	1.79	0.00	0.00	0.00	0.00	2.55	1.21	0.00	1.14	0.00	1.64
93.00	3.89	3.30	3.30	3.15	0.00	0.00	0.00	0.00	2.56	0.00	0.00	0.00	0.84	1.66
94.00	3.90	3.30	3.30	3.15	0.00	0.00	0.48	0.00	0.62	0.00	0.00	0.00	0.50	1.64
95.00	3.90	3.30	3.30	3.15	0.00	0.00	0.00	0.00	0.00	0.15	0.00	0.62	0.60	1.66
96.00	3.89	3.30	3.30	3.14	0.00	0.00	0.00	0.00	0.00	0.25	0.00	0.00	1.69	1.64
97.00	3.90	3.30	3.30	3.15	0.00	0.00	0.68	0.00	2.59	0.81	0.00	0.06	1.81	1.65
98.00	3.90	3.29	3.29	1.75	0.00	0.00	0.00	0.00	2.55	0.51	0.00	1.72	1.80	1.65
99.00	3.89	3.30	3.30	0.29	0.00	0.00	0.06	0.00	2.55	0.89	0.00	2.10	1.80	1.64
100.00	3.90	3.30	3.30	3.16	0.00	0.00	0.00	0.00	2.55	0.00	0.00	2.11	1.81	1.66
101.00	3.90	3.30	3.30	3.15	0.48	0.00	0.00	0.00	2.56	0.00	0.00	2.10	1.80	1.64
102.00	3.89	3.30	3.30	3.15	0.88	0.00	0.38	0.00	2.55	0.51	0.00	2.10	1.81	1.66
103.00	3.90	3.30	3.30	3.15	0.00	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.64
104.00	3.90	3.30	3.30	3.15	0.34	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.66
105.00	3.89	3.30	3.30	3.15	0.36	0.00	0.20	0.00	2.55	0.00	0.00	2.10	1.81	1.64
106.00	3.90	3.29	3.29	2.24	0.18	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.64
107.00	3.90	3.30	3.30	0.00	1.31	0.00	0.00	0.00	2.55	0.00	0.00	2.11	1.80	1.66
108.00	3.89	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.81	1.64
109.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.66
110.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.56	0.79	0.00	2.10	1.81	1.64
111.00	3.89	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.44	0.00	2.10	1.80	1.66
112.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.64
113.00	3.90	3.30	3.30	0.78	3.00	0.00	0.18	0.00	2.55	2.25	0.00	1.32	1.81	1.65
114.00	3.89	3.29	3.29	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	1.79	1.80	1.65
115.00	3.90	3.30	3.30	0.00	3.00	0.00	0.42	0.00	2.55	0.06	0.00	2.10	1.81	1.64
116.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.56	0.32	0.00	2.10	1.80	1.66
117.00	3.89	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	2.10	1.80	1.64
118.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.32	0.00	2.10	1.81	1.66
119.00	3.90	3.30	3.30	0.00	3.00	0.00	0.00	0.00	2.55	0.00	0.00	2.11	1.80	1.64
10.1.1.1	4.32	27.30
10.1.1.2	3.66	45.50
10.1.1.3	3.66	67.02
10.1.1.4	0.93	11941.70
10.1.1.5	2.11	4790.74
10.1.1.6	0.32	604.54
10.1.1.7	1.04	579.56
10.1.1.8	0.08	1550.81
10.1.1.9	1.08	553.02
10.1.1.10	0.23	5972.47
10.1.1.11	0.19	918.44
10.1.1.12	1.93	566.18
10.1.1.13	1.07	546.06
10.1.1.14	1.79	574.52
