Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.435s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	9.43	7.43	6.57	0.00	0.00	0.00	0.00	0.81	0.76	0.00	0.00	0.00	0.36	0.00	1.99
3.00	9.44	7.43	6.58	0.00	3.42	0.00	0.00	1.53	0.67	0.00	0.00	0.00	0.58	0.00	2.01
4.00	9.44	7.45	6.58	0.00	2.67	0.00	0.00	0.04	2.33	0.00	0.22	1.85	1.94	0.00	2.00
5.00	9.43	7.43	6.58	0.07	2.56	0.00	0.00	0.00	1.15	0.00	0.73	3.22	1.02	0.00	2.00
6.00	9.44	7.43	6.58	1.68	2.78	0.00	0.00	0.00	1.37	0.00	1.66	2.95	1.15	0.00	2.01
7.00	9.44	7.45	6.58	2.29	1.35	0.00	0.00	0.00	0.88	0.00	1.23	1.93	0.72	0.00	2.00
8.00	9.43	7.43	6.58	4.96	0.00	0.00	0.00	0.00	1.91	0.00	0.00	3.51	2.17	0.00	0.01
9.00	9.44	7.43	6.58	3.42	0.00	0.00	0.00	0.00	1.74	0.00	2.49	2.87	2.20	0.00	0.00
10.00	9.44	7.45	6.58	2.87	0.00	0.00	0.00	0.00	2.08	0.00	2.28	3.33	2.75	0.00	0.00
11.00	9.43	7.43	6.58	2.55	0.12	0.00	0.00	0.00	1.77	0.00	3.43	2.53	2.27	0.00	0.00
12.00	9.44	7.44	6.58	3.03	0.32	0.00	0.00	0.00	2.30	0.00	2.64	3.03	2.50	0.00	0.00
13.00	9.44	7.44	6.58	2.87	0.53	0.00	0.00	0.00	2.32	0.00	2.10	3.21	2.86	0.00	0.00
14.00	9.44	7.43	6.58	2.56	0.70	0.00	0.00	0.00	2.43	0.00	2.11	2.82	2.44	0.00	0.00
15.00	9.44	7.45	6.58	2.11	0.51	0.00	0.00	0.00	1.59	0.00	4.14	1.92	2.02	0.00	0.00
16.00	9.44	7.43	6.58	0.25	3.86	0.00	0.00	0.00	0.45	0.00	4.32	0.00	2.69	0.00	0.00
17.00	9.44	7.43	6.57	0.00	1.67	0.00	0.00	0.00	1.42	0.00	4.78	0.00	1.88	0.00	0.00
18.00	9.43	7.45	6.58	0.00	3.53	0.00	0.00	0.00	3.24	0.00	3.57	0.00	3.20	0.00	0.00
19.00	9.44	7.43	6.58	0.00	3.72	0.00	0.00	0.00	3.32	0.00	3.32	0.54	2.59	0.00	0.00
20.00	9.44	7.43	6.58	0.00	3.41	0.00	0.00	0.00	3.21	0.00	3.83	0.66	2.62	0.00	0.00
