Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.791s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	4.80	0.00	0.15	0.00	0.76	0.00	0.00	0.00	0.00	0.06	0.00	0.06	0.60	0.00	0.40
3.00	4.80	0.00	0.36	0.00	0.14	0.15	1.30	0.12	0.00	0.00	0.00	0.00	0.00	2.88	1.76
4.00	4.81	0.94	1.17	0.51	0.11	0.00	1.21	0.00	0.53	0.15	0.00	0.97	0.00	1.95	1.51
5.00	4.80	0.56	0.00	2.84	2.11	0.00	0.55	0.00	0.44	0.32	0.53	1.74	0.00	1.11	1.49
6.00	4.80	0.17	0.03	1.05	0.80	0.00	0.00	0.30	0.60	2.28	0.01	1.79	0.03	0.00	1.24
7.00	4.81	0.47	0.32	0.69	0.56	0.11	1.40	1.13	0.60	1.65	2.18	0.00	0.00	0.19	0.00
8.00	4.80	0.03	1.84	0.00	0.27	0.62	0.66	1.60	2.57	0.00	0.23	1.09	0.00	1.53	0.27
9.00	4.80	0.50	0.00	2.23	0.00	0.00	0.00	0.00	2.40	0.02	0.00	1.85	0.00	0.73	1.46
10.00	4.81	0.00	0.00	1.88	0.36	0.46	0.00	0.00	0.86	0.02	0.88	0.76	0.00	1.63	0.40
11.00	4.80	0.00	0.01	0.25	2.90	0.47	0.00	0.00	0.00	0.32	0.56	0.00	0.00	0.33	1.69
12.00	4.80	0.05	0.10	0.10	2.85	0.00	2.63	0.00	0.00	0.26	0.00	0.64	0.00	0.00	1.51
13.00	4.80	0.00	0.04	0.00	2.85	0.70	0.00	0.00	0.48	0.00	0.54	2.97	0.00	0.46	1.49
14.00	4.80	0.00	1.08	0.01	0.54	1.60	0.00	0.00	0.04	0.27	0.24	0.10	1.73	0.54	1.51
15.00	4.81	0.00	0.19	0.04	0.06	0.95	0.00	0.00	0.96	2.36	0.21	0.37	0.00	0.00	1.49
16.00	4.80	0.00	0.00	0.24	0.00	2.63	0.00	0.00	0.00	0.19	0.07	1.18	0.00	0.00	1.45
17.00	4.80	0.00	0.00	0.49	3.37	0.12	0.00	0.00	0.00	0.00	0.08	0.08	0.25	1.74	1.55
18.00	4.81	0.00	0.01	0.00	2.85	1.83	0.00	0.00	0.00	1.32	0.01	0.70	0.00	0.39	1.51
19.00	4.80	0.00	0.00	0.00	2.20	0.00	0.00	0.00	0.00	1.40	0.30	1.38	1.26	0.31	1.48
20.00	4.80	4.94	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.00	3.02	0.00	0.00	0.37	0.04
21.00	4.81	0.79	0.00	1.77	0.23	0.67	0.00	0.00	0.00	0.00	2.25	0.09	0.00	1.12	0.69
22.00	4.80	0.99	0.93	1.10	2.99	0.00	0.00	0.00	0.00	0.00	2.07	0.78	0.15	1.26	0.33
23.00	4.81	0.00	0.64	0.76	0.00	0.00	0.00	0.00	0.00	2.58	2.42	0.04	0.17	0.32	0.50
24.00	4.80	0.00	0.35	0.30	0.10	0.00	0.00	0.00	0.00	0.00	0.13	2.64	0.00	0.00	2.13
25.00	4.80	0.11	0.73	0.73	0.26	0.00	0.00	0.00	0.00	0.06	0.49	2.25	2.88	0.69	0.13
26.00	4.81	0.62	0.84	0.12	0.30	0.00	0.00	2.79	0.00	0.00	0.29	2.25	0.29	0.37	0.39
27.00	4.80	0.00	0.00	0.45	0.21	0.00	0.00	2.55	0.00	0.03	0.23	2.25	0.57	0.17	0.47
28.00	4.80	0.28	0.00	1.17	0.00	0.63	0.00	2.26	0.00	0.08	0.11	2.26	0.06	0.00	0.00
29.00	4.81	0.24	1.94	1.02	0.00	0.82	0.00	0.00	0.00	0.00	0.00	1.20	0.00	0.00	0.66
30.00	4.80	0.00	1.49	0.21	0.11	0.73	0.51	0.00	0.09	0.00	0.00	0.51	0.00	2.46	0.46
31.00	4.80	0.30	0.23	0.00	0.00	0.00	0.00	0.00	0.40	0.00	0.00	0.80	0.66	1.95	2.25
