Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.751s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	3.74	0.00	0.73	0.00	0.00	0.00	1.05	0.35	0.00	0.00	0.00	0.00	0.72	1.48	1.39	0.00
3.00	3.75	0.00	0.00	0.04	3.94	0.14	0.00	0.00	0.00	0.04	0.48	0.63	0.52	0.45	0.07	0.00
4.00	3.75	0.00	0.00	0.00	2.62	0.00	0.00	1.42	0.00	0.00	2.32	0.06	0.67	0.04	2.27	0.00
5.00	3.74	0.53	0.33	0.00	2.51	0.58	0.00	0.17	3.58	0.00	1.96	0.04	2.49	0.00	1.64	0.04
6.00	3.75	1.17	0.03	0.00	0.05	0.36	0.00	0.00	2.55	0.53	1.95	0.00	1.80	1.41	1.66	0.00
7.00	3.75	0.19	0.90	0.07	4.01	0.92	0.48	0.26	2.55	1.66	1.95	0.00	1.81	1.81	0.61	0.00
8.00	3.75	1.41	0.00	0.00	3.00	1.32	0.00	0.06	1.74	1.91	1.85	0.00	1.80	1.05	0.21	0.00
9.00	3.74	0.00	0.00	0.00	3.00	1.05	0.00	0.21	0.23	0.00	2.05	0.00	1.81	0.11	0.18	0.00
10.00	3.75	0.33	0.07	0.15	2.49	0.19	0.33	0.06	0.15	0.06	1.95	0.00	1.80	0.04	0.00	0.00
11.00	3.75	0.18	0.17	0.42	1.50	0.51	0.49	0.00	0.76	0.27	0.09	0.00	1.80	0.00	1.20	0.00
12.00	3.74	0.37	0.00	0.00	0.00	0.24	0.50	0.00	0.81	0.77	2.50	0.00	0.49	0.00	1.59	0.00
13.00	3.75	0.37	0.00	0.81	0.00	2.00	0.90	0.54	0.00	0.06	1.95	0.00	0.04	0.04	1.66	0.00
14.00	3.75	0.00	0.00	0.51	2.18	2.49	0.00	0.00	2.52	0.00	1.88	0.00	1.64	0.19	1.64	0.26
15.00	3.75	0.15	0.07	0.39	3.00	0.66	0.00	0.00	0.00	1.18	0.00	0.00	0.00	0.52	0.44	1.16
16.00	3.74	0.21	0.03	0.00	0.86	0.00	0.02	1.11	0.00	0.84	1.09	0.00	0.05	0.04	0.25	1.49
17.00	3.75	1.92	0.04	3.48	0.82	0.03	0.00	0.00	0.00	0.13	0.00	0.00	0.00	0.75	0.21	1.51
18.00	3.75	0.00	0.54	2.46	0.25	1.82	0.13	0.00	0.82	0.12	0.36	0.00	1.02	0.00	0.18	1.51
19.00	3.75	0.00	0.50	0.00	2.09	0.00	0.07	0.74	0.00	0.23	0.50	0.00	0.00	0.15	1.93	1.49
20.00	3.75	0.04	0.09	0.08	2.52	0.16	0.80	0.03	0.00	0.01	0.00	0.00	2.59	0.06	0.09	1.51
21.00	3.75	0.00	0.00	0.84	0.66	2.93	0.00	0.96	0.00	0.18	0.19	0.00	1.80	0.13	2.35	0.41
22.00	3.75	0.00	0.02	1.09	0.00	0.73	0.00	0.11	0.48	0.99	0.00	0.00	0.07	0.21	1.66	1.87
23.00	3.74	1.04	0.00	0.00	0.03	0.00	0.72	0.20	2.52	0.00	0.00	0.00	0.00	2.62	1.64	0.00
24.00	3.75	0.90	0.00	2.88	0.94	0.11	1.31	0.53	0.13	0.00	0.03	0.00	0.21	0.44	0.44	0.71
25.00	3.75	0.18	0.38	0.00	3.00	0.93	0.90	0.14	0.41	0.00	0.00	0.00	0.00	1.54	0.00	0.02
26.00	3.75	0.47	0.00	3.19	0.14	0.00	0.00	0.12	0.00	0.00	2.91	0.00	0.68	0.00	0.00	1.63
27.00	3.74	0.00	0.00	0.00	1.31	0.00	0.00	0.93	0.00	0.00	1.95	0.00	0.45	2.08	0.00	1.49
28.00	3.75	0.37	0.00	3.89	0.79	0.00	0.48	0.20	3.31	0.00	1.95	0.00	0.46	1.66	0.00	1.51
29.00	3.75	0.00	0.00	0.60	0.24	0.45	0.00	0.57	1.25	0.00	0.61	0.00	0.06	0.81	0.00	0.59
30.00	3.74	0.04	0.00	0.24	0.63	0.89	0.00	0.00	0.00	0.00	0.74	0.00	0.47	1.58	0.00	1.37
31.00	3.75	1.46	0.00	0.00	0.54	1.99	0.00	0.20	3.27	0.00	0.73	0.00	0.00	1.64	0.00	1.49
32.00	3.75	0.00	0.00	0.84	0.38	2.86	0.00	0.00	0.78	0.32	0.08	0.00	0.00	1.66	0.74	1.51
33.00	3.75	0.00	0.93	0.00	1.72	2.27	0.00	0.00	0.24	0.00	0.31	0.00	0.24	0.45	0.00	0.41
34.00	3.74	0.00	0.00	0.00	0.00	0.24	0.00	0.00	2.24	0.00	0.34	0.00	0.96	0.00	2.46	0.91
35.00	3.75	0.00	0.00	0.11	0.14	0.10	0.00	0.00	1.78	0.17	0.42	0.02	0.00	0.15	1.64	0.83
36.00	3.75	0.00	0.00	0.12	3.06	0.06	0.00	0.00	0.28	1.27	0.00	0.03	0.00	0.03	1.66	0.12
37.00	3.75	0.00	0.00	2.05	2.99	0.07	0.00	0.00	0.55	0.25	0.97	0.23	0.07	2.61	1.63	0.09
