Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.150s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	3.74	1.94	0.06	0.68	0.00	0.00	0.00	0.00	0.00	0.00	1.45	1.48	0.00	0.00	0.00	0.00	0.00
3.00	3.75	1.29	0.00	0.72	0.00	0.00	0.00	0.00	0.00	0.00	1.95	1.41	0.00	0.00	0.00	0.00	0.19
4.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.70	2.25	0.00	0.00	0.00	0.00	0.00
5.00	3.74	0.09	0.00	0.32	0.10	0.00	0.04	0.00	0.36	0.60	0.12	0.11	2.86	0.00	0.00	0.00	0.00
6.00	3.75	0.02	0.91	0.04	0.46	0.00	0.51	0.02	0.18	1.84	0.03	3.04	0.67	0.00	0.67	0.00	1.41
7.00	3.75	0.78	1.38	0.12	1.73	0.00	0.11	0.11	0.33	2.27	0.75	2.25	0.59	0.00	2.45	0.00	0.29
8.00	3.75	0.00	0.09	0.15	3.00	0.00	1.03	0.00	0.55	0.63	0.81	2.25	1.02	0.00	0.00	0.00	0.09
9.00	3.74	0.06	0.00	0.65	3.00	0.00	0.00	0.00	1.83	0.00	0.00	2.25	0.27	0.00	0.00	0.00	0.48
10.00	3.75	0.32	0.97	0.76	1.53	0.00	0.51	0.03	1.41	0.21	0.69	2.26	0.06	0.00	0.00	0.02	0.00
11.00	3.75	0.51	1.02	0.21	0.28	0.62	0.54	0.01	0.10	1.02	0.04	2.25	0.18	1.09	0.85	0.00	0.00
12.00	3.74	3.16	2.79	0.00	2.50	0.00	0.07	0.00	1.02	0.00	0.64	2.25	0.00	0.00	0.15	0.00	0.00
13.00	3.75	2.13	3.45	0.00	0.00	0.00	0.64	0.04	0.34	0.01	0.20	2.25	0.01	0.29	0.00	0.00	1.80
14.00	3.75	0.98	3.45	0.00	0.13	0.12	0.00	0.00	0.21	0.00	0.00	2.25	2.36	0.00	0.00	0.00	0.00
15.00	3.75	0.39	3.45	0.00	3.06	0.16	0.20	0.02	0.24	0.00	0.13	2.25	0.48	0.00	0.01	0.00	0.05
16.00	3.74	0.81	2.59	0.00	3.00	0.81	1.51	0.00	0.21	0.32	0.15	2.25	0.21	0.00	0.00	0.00	0.00
17.00	3.75	0.00	0.01	0.00	3.00	3.46	0.00	0.00	0.07	0.23	0.07	2.25	0.25	0.00	0.00	0.00	0.00
