Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.798s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	4.04	0.00	0.00	0.10	0.78	0.57	0.00	0.00	0.00	0.01	0.00	0.07	0.06	0.00	0.00	0.00	0.00	0.39
3.00	4.05	0.00	0.00	3.78	0.00	2.45	0.27	0.00	1.14	0.05	0.77	2.42	0.97	0.00	2.70	0.00	1.08	0.03
4.00	4.04	0.00	0.00	0.16	0.63	2.90	0.57	0.00	1.70	0.00	0.45	2.25	2.60	0.00	2.10	0.00	0.21	0.48
5.00	4.05	0.06	3.71	0.03	0.57	0.00	0.00	0.00	0.00	0.44	0.57	2.25	0.05	0.20	1.09	0.06	0.62	0.00
6.00	4.05	0.00	0.00	0.43	0.00	0.44	0.00	1.68	0.07	0.18	2.00	2.26	0.99	0.00	0.65	0.88	0.36	0.91
7.00	4.04	0.00	0.23	0.46	0.82	0.97	0.17	0.00	1.97	2.79	1.75	2.24	0.26	0.00	0.35	0.04	0.29	0.57
8.00	4.05	0.00	0.01	0.04	0.33	0.72	1.87	0.20	1.85	0.16	0.00	2.25	2.14	0.00	0.00	0.75	0.03	0.00
9.00	4.04	0.00	0.00	0.51	0.00	0.53	0.06	0.56	0.00	1.95	2.84	0.47	0.09	0.00	0.12	0.00	0.26	0.06
10.00	4.05	0.00	0.00	0.00	0.18	0.00	0.69	0.10	0.24	0.00	1.11	0.47	0.23	0.00	1.46	0.04	0.40	0.70
11.00	4.05	0.00	0.46	1.46	1.34	1.98	1.16	0.09	0.14	0.39	0.03	0.00	2.46	0.00	2.61	1.67	0.15	0.00
12.00	4.04	0.00	0.00	0.57	0.51	0.13	2.11	0.04	0.00	0.12	0.05	1.11	2.25	0.00	1.85	2.11	0.11	0.00
13.00	4.05	0.00	0.00	0.15	0.18	0.23	1.16	0.00	0.00	0.00	0.17	1.60	1.69	0.02	0.36	2.07	2.46	0.09
14.00	4.05	0.00	0.91	0.00	0.00	0.00	0.00	0.01	0.00	0.00	0.08	1.71	0.00	0.00	0.42	1.16	1.74	0.00
15.00	4.04	0.00	0.75	0.48	1.02	2.89	0.00	0.44	0.00	0.00	0.00	1.35	0.00	0.02	1.56	0.37	0.00	0.00
16.00	4.05	0.00	1.05	0.00	0.28	2.34	0.00	0.00	0.27	0.00	0.47	1.59	2.28	0.69	1.99	0.09	0.00	0.17
17.00	4.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.49	0.80	0.80	0.00	0.50	0.00	0.00	1.23
18.00	4.05	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.13	0.00	0.00	1.89	0.66	0.00	0.00	0.00	3.08	1.66
19.00	4.05	0.00	0.00	0.00	0.00	0.00	0.53	0.00	2.95	1.11	0.00	0.39	0.09	0.00	0.32	0.00	2.11	1.46
20.00	4.04	0.00	0.00	0.00	1.42	0.00	0.00	0.00	0.59	1.00	0.05	1.09	0.00	0.00	2.14	0.00	0.95	0.00
21.00	4.05	0.00	0.00	0.00	3.60	0.00	0.50	0.08	0.21	0.05	0.00	0.25	1.07	0.00	2.10	0.00	0.18	1.30
22.00	4.05	0.00	0.00	0.00	3.60	0.00	0.00	0.00	0.00	1.13	0.00	2.64	0.24	0.00	2.10	0.00	0.32	0.00
23.00	4.04	0.00	0.00	0.10	1.37	1.83	0.00	0.00	0.14	0.00	0.46	1.07	1.65	0.00	2.10	0.01	0.38	1.20
24.00	4.05	0.00	1.30	0.31	0.03	0.99	2.21	0.11	0.03	0.06	0.00	0.86	2.26	0.11	2.11	1.00	0.00	1.79
25.00	4.04	0.00	0.00	0.00	0.15	0.63	2.75	0.30	0.45	0.00	0.01	0.00	1.53	0.08	0.70	0.79	0.42	0.99
26.00	4.05	0.00	0.00	0.34	1.05	3.07	0.00	0.00	0.03	0.00	1.19	0.18	0.76	0.00	0.06	2.70	0.04	0.47
27.00	4.05	0.18	0.00	0.14	3.88	0.46	3.32	0.00	1.08	0.00	0.00	0.12	0.25	0.91	0.90	0.21	0.24	0.34
28.00	4.04	0.00	0.00	2.21	0.63	0.90	0.44	1.38	0.39	0.00	0.51	0.46	0.00	1.02	0.00	0.00	0.23	0.00
29.00	4.05	3.80	0.00	0.12	0.74	0.12	0.05	0.00	0.40	0.00	0.11	1.50	0.79	1.25	1.08	0.12	2.17	1.02
30.00	4.04	0.00	0.00	0.44	0.04	0.61	1.22	0.00	0.24	0.22	0.29	1.84	2.00	0.61	0.06	0.00	0.92	0.00
31.00	4.05	0.82	0.00	1.55	1.09	0.51	3.33	0.00	0.00	1.03	0.06	1.89	2.25	0.00	0.06	0.05	0.13	0.64
32.00	4.05	0.21	0.90	0.00	1.35	0.19	0.00	0.00	1.28	1.87	0.00	0.21	2.26	0.00	0.00	0.00	0.23	2.01
33.00	4.04	0.38	0.00	0.00	0.00	0.95	0.11	0.00	0.56	0.21	3.22	0.45	0.17	0.00	0.09	0.70	0.00	0.21
34.00	4.05	0.20	0.00	2.46	0.81	0.81	0.06	0.00	0.80	1.09	0.80	1.94	0.04	0.34	2.40	0.00	0.00	0.16
35.00	4.05	0.06	0.00	0.00	0.78	0.00	0.06	1.35	0.00	0.36	0.48	1.02	0.00	1.45	1.71	1.62	0.00	1.08
36.00	4.04	0.03	0.00	3.62	0.42	1.22	0.55	0.00	0.00	0.80	0.10	0.29	2.96	0.08	0.00	0.00	0.45	1.79
37.00	4.05	0.00	0.01	0.89	3.64	0.00	0.27	0.00	0.05	0.00	0.00	1.15	0.54	0.06	0.10	0.08	0.12	1.64
38.00	4.04	3.35	0.00	0.12	1.62	0.07	0.49	0.00	0.03	0.00	1.29	0.00	0.33	0.08	0.00	0.00	0.69	1.66
39.00	4.05	0.45	0.00	0.48	0.34	0.25	1.15	0.00	0.00	0.00	1.43	0.27	0.00	2.41	0.89	1.41	0.01	0.52
40.00	4.05	3.16	0.34	0.00	0.15	1.52	0.56	0.00	0.00	0.58	0.00	0.92	0.64	0.00	0.00	0.06	1.56	0.93
41.00	4.04	0.45	0.59	2.14	1.77	0.00	0.12	0.00	0.76	0.04	0.90	1.08	1.92	2.20	0.00	0.21	0.08	0.24
42.00	4.05	0.41	0.00	2.38	0.11	1.19	1.03	0.00	0.79	0.95	0.81	0.00	0.13	0.00	0.00	0.00	1.46	0.54
43.00	4.05	1.31	0.46	0.57	0.75	0.00	0.10	0.27	2.63	0.00	0.84	1.56	0.09	0.00	0.33	0.00	1.86	0.33
44.00	4.04	1.14	0.21	0.42	1.47	0.37	0.00	0.00	0.79	0.06	0.51	0.00	1.23	0.00	0.93	0.38	0.00	0.78
45.00	4.05	0.25	0.00	0.00	0.70	0.04	3.27	0.00	0.20	0.00	0.48	0.04	1.26	0.00	1.07	0.25	0.03	0.00
46.00	4.04	0.04	0.36	0.93	0.12	0.39	2.46	0.00	0.68	1.01	0.14	0.09	1.53	0.00	0.00	0.47	2.52	0.00
47.00	4.05	0.00	0.00	0.09	0.90	0.71	1.37	0.96	0.21	0.00	1.94	0.01	1.39	0.00	0.00	1.71	1.20	0.00
48.00	4.05	1.15	0.00	0.28	0.59	0.04	0.25	0.00	1.66	0.20	1.00	0.07	2.26	0.00	0.17	0.49	0.00	0.00
49.00	4.04	0.24	0.00	1.82	0.00	0.18	3.06	0.00	0.25	0.16	0.10	0.74	1.33	0.00	1.50	2.29	0.18	0.00
50.00	4.05	0.03	0.00	0.55	0.00	1.05	0.12	0.00	0.84	0.56	0.14	0.10	0.35	2.92	0.00	0.08	1.01	0.00
51.00	4.05	0.00	0.00	0.24	0.60	3.43	0.30	0.00	0.22	0.00	0.00	0.48	1.32	0.13	1.17	3.06	0.00	0.30
52.00	4.05	3.02	0.00	1.69	0.00	1.94	1.69	0.00	0.00	0.51	0.24	0.90	2.11	0.07	2.12	2.10	0.00	0.00
53.00	4.05	0.10	0.00	0.19	2.03	0.74	0.08	0.00	0.00	0.58	0.00	1.32	0.31	0.01	1.36	2.10	0.93	2.01
54.00	4.04	0.00	0.00	0.28	2.11	0.17	0.00	0.25	1.58	0.03	0.72	2.25	2.16	0.00	0.15	1.74	0.18	1.40
55.00	4.05	1.68	0.00	0.00	0.19	0.47	1.71	0.00	2.70	0.13	0.18	2.25	2.20	0.09	0.04	0.00	1.46	0.00
56.00	4.05	0.18	0.00	0.48	0.00	0.16	0.00	0.00	1.24	0.00	0.00	2.25	0.00	0.00	0.57	2.73	2.10	0.00
57.00	4.04	0.61	0.00	0.00	0.12	0.00	0.00	0.00	0.26	0.00	1.71	0.32	3.04	0.00	0.00	2.10	2.10	0.00
58.00	4.05	0.01	0.00	0.41	0.14	0.17	1.77	1.43	0.00	0.00	0.23	0.50	1.10	0.00	0.00	2.11	0.41	0.00
59.00	4.04	3.37	0.00	0.00	0.06	0.15	2.37	0.30	0.00	0.10	0.05	1.16	0.19	0.00	2.53	0.13	0.00	0.00
60.00	4.05	2.00	0.00	3.93	0.09	1.57	2.77	0.00	0.19	0.00	0.09	2.71	0.14	0.34	0.27	0.80	0.00	0.00
61.00	4.05	0.27	0.01	1.19	0.07	0.00	0.00	0.00	0.00	0.51	1.09	1.10	0.00	0.00	2.86	0.34	0.00	0.00
