Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.840s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	0.00	0.00	0.00	0.00	0.42	0.00	0.00	0.00	0.00	0.00	0.10	0.00	0.00	0.00	0.00	0.00	0.00	0.21	0.00
3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	4.97	4.61	1.97	0.06	0.00	3.44	0.00	0.00	0.00	0.00	0.31	0.00	3.07	0.00	0.00	0.01	0.66	0.00	0.00
6.00	4.05	3.59	1.69	0.12	0.19	1.14	0.00	0.24	0.00	3.31	0.11	0.00	2.26	0.00	0.93	0.66	1.03	1.32	0.00
7.00	4.04	3.60	3.44	0.70	0.00	0.45	0.00	0.01	0.00	0.14	0.99	0.00	2.25	0.00	2.05	0.45	0.00	1.49	0.00
8.00	4.05	3.60	3.45	1.33	0.86	0.00	0.10	0.00	0.20	0.05	0.00	3.39	2.25	0.01	0.14	0.71	0.00	1.51	0.03
9.00	4.04	3.60	3.45	3.30	0.51	0.00	0.00	0.00	0.00	0.46	0.00	2.40	2.25	0.00	0.00	0.09	0.00	1.49	0.00
10.00	4.05	3.59	3.45	3.30	0.00	0.00	0.00	0.00	0.00	0.03	0.00	2.40	2.26	0.00	0.00	0.49	0.00	1.51	0.00
11.00	4.05	3.60	3.45	0.37	0.04	0.00	0.00	0.00	0.00	0.45	0.00	2.40	2.25	0.00	0.83	0.99	0.00	1.49	0.00
12.00	4.04	3.60	3.45	0.24	0.00	0.00	1.06	0.00	0.00	0.00	0.00	2.40	2.25	0.00	0.65	0.00	0.00	1.51	0.00
