Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.758s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	3.74	0.00	0.00	0.00	0.30	0.00	1.10	0.00	0.04	0.00	0.06	0.36	0.00	0.00	0.00	1.16	0.00	0.00	0.43	0.00
3.00	3.75	4.56	0.23	0.00	1.19	0.00	0.01	0.37	0.00	2.22	0.00	0.00	0.59	0.00	1.34	0.00	0.17	0.00	2.03	0.15
4.00	0.51	3.60	0.00	0.00	1.28	1.51	0.94	0.00	0.18	0.00	0.72	0.41	0.78	0.00	2.15	0.13	0.93	1.71	1.81	0.15
5.00	3.50	3.60	0.00	0.00	0.92	0.39	0.00	0.23	0.78	1.16	0.84	0.46	0.58	0.18	0.10	0.00	0.00	1.82	1.80	0.00
6.00	3.75	3.59	0.25	0.00	0.24	0.00	0.00	0.24	0.39	1.65	0.00	0.00	0.00	0.00	0.64	0.00	0.06	1.73	1.72	0.27
7.00	3.75	3.60	0.00	0.00	0.96	0.04	0.11	0.94	0.28	0.21	0.18	1.83	2.59	0.00	1.16	1.23	0.40	0.00	1.88	0.16
8.00	3.75	3.60	0.00	0.00	0.63	0.00	0.24	0.33	0.29	3.33	2.04	0.00	0.15	0.00	0.10	0.00	0.00	2.50	1.80	1.77
9.00	3.74	3.60	0.37	0.00	0.00	0.00	0.14	0.41	0.00	2.47	2.45	0.00	0.00	0.79	0.00	0.03	0.14	1.70	1.73	1.64
10.00	3.75	3.59	0.00	0.00	1.36	0.00	0.00	0.00	0.19	2.63	2.24	0.00	0.15	0.17	1.56	0.00	1.59	0.40	0.00	1.64
11.00	3.75	3.60	1.05	0.00	0.71	0.00	0.00	0.00	0.00	2.55	0.11	0.00	0.18	0.00	0.00	0.00	0.74	0.16	2.19	1.66
12.00	3.74	3.60	0.15	0.00	0.42	0.00	0.00	0.63	0.00	2.44	0.00	0.00	0.00	0.33	1.72	0.35	0.19	0.16	1.81	1.56
13.00	3.75	3.60	0.34	0.00	0.00	0.00	0.00	0.97	0.00	0.79	0.00	0.00	1.76	1.35	0.00	0.00	0.00	0.42	1.80	0.12
14.00	3.75	3.60	0.04	0.00	0.00	0.31	0.00	0.01	1.65	2.03	1.11	0.35	2.40	0.00	0.00	1.67	0.00	0.00	1.80	0.96
15.00	3.75	3.59	0.00	0.00	0.94	0.08	0.00	0.54	0.00	2.43	0.72	0.09	1.92	0.00	0.62	0.00	0.00	2.42	1.81	0.87
16.00	3.74	3.60	0.00	0.00	0.06	0.65	0.00	2.42	0.00	0.10	0.00	0.80	0.00	0.00	2.76	0.00	0.34	1.80	1.80	0.00
17.00	3.75	3.60	0.00	0.00	0.00	0.04	0.00	0.91	0.37	1.44	2.71	1.98	0.61	0.03	2.10	0.00	0.40	0.80	0.80	0.33
18.00	3.75	3.60	0.19	0.00	0.00	0.81	0.00	0.00	0.48	0.57	2.19	2.43	0.44	0.22	2.10	0.46	0.00	0.00	0.18	0.00
19.00	3.75	3.59	0.28	0.00	0.00	0.00	0.00	0.00	0.20	3.52	0.37	0.00	1.81	0.84	2.11	0.58	0.00	0.00	0.00	0.73
20.00	3.75	3.60	0.06	0.00	2.22	0.00	0.30	0.05	1.13	0.53	1.52	0.42	1.83	0.17	1.63	0.72	0.17	1.33	2.74	0.49
21.00	3.75	3.60	0.57	0.00	2.29	0.00	0.00	0.14	0.00	3.16	1.53	1.17	0.04	0.37	0.02	0.81	0.60	1.71	1.54	0.43
22.00	3.75	3.60	0.00	0.00	0.96	0.00	0.00	0.00	0.00	0.15	2.27	0.47	0.00	0.62	1.22	1.71	0.54	0.00	0.00	1.59
23.00	3.74	3.60	0.81	0.00	1.29	0.00	0.18	0.00	0.12	0.36	0.25	0.00	0.51	0.53	0.00	1.53	0.12	2.56	2.73	1.64
24.00	3.75	3.60	0.00	0.00	1.01	0.00	0.03	0.00	0.00	0.95	0.51	0.21	0.09	0.71	0.13	0.00	0.00	1.79	1.70	1.58
25.00	3.75	3.60	0.00	0.00	0.42	0.00	0.00	0.00	0.00	1.17	0.43	1.13	0.01	0.64	0.91	0.00	2.62	1.82	0.21	1.73
26.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.55	0.00	0.10	0.36	0.06	0.35	0.12	1.03	1.80	2.06	1.64
27.00	3.74	3.60	0.00	0.00	0.09	0.00	0.15	0.00	0.01	2.44	0.73	0.00	0.98	0.47	0.04	0.06	0.16	1.80	1.71	1.58
28.00	3.75	3.59	0.00	0.00	1.38	0.00	0.00	0.08	0.00	0.07	0.08	3.14	0.60	0.00	0.00	1.28	0.00	1.81	0.00	0.06
29.00	3.75	3.60	0.00	0.00	0.81	0.16	0.17	0.19	0.00	0.19	0.14	2.55	0.00	0.00	0.90	1.56	0.64	1.80	1.14	0.50
30.00	3.74	3.60	0.00	0.00	1.03	1.29	0.00	0.00	0.01	1.39	0.79	0.72	0.43	0.03	1.02	0.02	0.04	1.25	1.23	2.26
31.00	3.75	3.60	0.59	0.00	0.57	0.00	1.79	0.00	0.94	0.16	0.00	0.27	2.60	0.12	1.07	0.00	0.09	0.00	0.00	1.66
32.00	3.75	3.59	0.27	0.00	0.00	0.00	0.30	0.95	0.31	1.64	0.00	0.13	2.40	0.85	0.00	0.00	0.63	0.64	0.49	1.64
33.00	3.75	3.60	0.07	0.00	0.00	0.42	0.04	0.84	0.08	0.18	0.00	0.42	0.99	0.00	0.00	0.00	0.36	1.77	1.78	1.02
34.00	3.74	3.60	0.00	0.00	0.37	0.86	0.08	0.00	2.29	0.04	0.02	0.38	0.47	0.01	0.19	0.00	0.80	1.87	1.80	0.87
35.00	3.75	3.60	0.00	0.00	1.25	0.51	0.97	0.00	0.25	0.40	1.61	0.42	0.36	0.01	0.16	0.67	0.60	1.81	1.81	0.00
36.00	3.75	3.60	0.11	0.00	0.19	0.01	0.00	0.00	1.06	0.21	2.41	0.00	0.00	0.26	1.53	0.17	0.25	0.90	1.75	0.78
37.00	3.75	3.59	0.00	0.00	2.00	0.22	0.00	0.00	0.00	0.47	0.14	0.00	0.17	0.01	0.00	0.63	0.60	0.50	1.84	0.00
38.00	3.75	3.60	0.00	0.00	0.02	0.00	0.00	0.00	0.00	2.04	0.67	0.00	1.18	0.16	1.07	0.30	0.04	1.10	1.81	0.00
39.00	3.75	3.60	0.66	0.00	1.02	0.00	0.00	0.00	0.00	1.14	0.51	0.00	0.00	0.44	0.22	0.00	0.00	1.77	1.80	0.00
40.00	3.75	3.60	0.00	0.00	0.34	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.18	0.24	0.27	0.00	2.68	1.82	1.80	0.00
41.00	3.74	3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.27	1.40	0.00	0.00	0.87	0.00	0.00	0.00	1.80	0.98	0.98	0.00
42.00	3.75	3.60	0.00	0.00	0.05	0.00	0.00	0.00	0.00	2.43	1.21	0.00	0.37	0.00	0.13	0.15	1.77	0.85	0.00	0.00
43.00	3.75	3.60	0.00	0.00	0.87	0.00	0.00	0.00	0.00	0.00	0.00	2.62	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.00
44.00	3.75	3.60	0.00	0.00	0.00	0.78	0.00	0.00	0.00	2.83	0.18	0.89	0.00	0.00	0.00	0.00	1.09	1.35	0.00	0.00
45.00	3.74	3.60	0.00	0.00	1.03	0.00	0.19	0.00	1.03	2.55	0.46	0.00	0.11	0.00	0.00	1.83	1.75	1.73	0.00	0.00
46.00	3.75	3.59	0.00	0.00	0.00	0.15	2.11	0.00	0.15	1.58	2.01	0.00	0.29	0.00	0.00	0.54	0.54	0.00	2.37	0.00
47.00	3.75	3.60	0.46	0.00	0.00	2.87	0.97	0.00	0.24	0.48	1.38	0.27	0.00	0.00	0.00	0.44	0.03	0.00	1.80	0.00
48.00	3.74	3.60	0.00	0.00	0.00	2.77	0.15	0.00	0.00	0.00	0.00	0.44	0.45	0.33	0.00	0.55	0.91	0.00	1.81	0.00
49.00	3.75	3.60	0.00	0.00	1.73	0.17	0.00	0.34	0.96	0.09	0.00	0.00	0.04	0.04	0.10	0.00	0.00	0.00	1.80	0.00
50.00	3.75	3.59	0.66	0.00	1.16	0.00	0.00	0.01	0.00	1.41	0.00	0.00	2.02	0.00	0.32	0.00	0.00	0.00	1.80	0.00
51.00	3.75	3.60	0.04	0.00	1.97	0.01	0.33	0.90	0.67	0.00	0.87	0.00	2.37	0.00	0.12	0.84	0.00	0.00	1.80	2.12
52.00	3.74	3.60	0.44	0.00	0.00	0.00	0.65	0.42	0.06	0.00	0.00	0.71	2.42	1.45	0.07	0.14	0.00	0.00	1.81	1.70
53.00	3.75	3.60	0.00	0.00	0.00	0.03	0.00	0.65	0.30	0.00	0.74	2.37	2.41	0.00	1.22	0.00	0.00	0.65	1.81	1.66
54.00	3.75	3.59	0.00	0.00	0.00	0.00	0.00	0.21	0.00	0.00	0.00	2.43	2.29	0.21	2.00	0.45	0.00	0.00	1.71	1.58
55.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	3.63	0.00	0.08	0.05	0.00	0.31	0.11	0.00	0.00	0.00	0.00	1.73
56.00	3.74	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.02	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66
57.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64
58.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.64
59.00	3.74	3.59	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66
60.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.14	0.00	0.00	0.00	1.64
61.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.66
62.00	3.75	3.60	0.00	0.00	0.00	0.00	0.00	0.30	0.00	0.00	0.96	0.00	0.09	0.00	2.72	0.00	0.00	0.00	2.56	1.64
63.00	3.74	3.59	0.64	0.00	0.30	0.00	0.00	1.14	0.00	0.00	0.00	0.00	0.49	0.54	2.10	0.60	0.95	0.49	1.80	1.62
64.00	3.75	3.60	0.00	0.00	0.91	0.00	0.00	0.00	0.00	0.00	0.00	0.62	0.60	0.00	2.10	2.75	0.00	2.35	1.81	0.00
65.00	3.75	3.60	0.00	0.00	0.37	0.00	0.00	0.45	0.00	0.22	0.00	1.22	0.00	0.00	1.21	1.96	0.00	0.88	1.80	0.00
66.00	3.74	3.60	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.43	2.94	0.12	0.00	1.12	0.00	0.00	1.81	0.08
67.00	3.75	3.60	0.00	0.00	3.32	0.00	0.15	0.00	0.00	0.63	0.53	0.18	0.00	0.25	0.00	0.00	1.96	0.06	1.80	0.34
68.00	3.75	3.59	0.00	0.00	3.15	0.00	0.25	0.00	0.00	0.17	0.15	0.30	0.00	0.00	0.00	0.00	1.80	0.27	1.80	0.00
69.00	3.75	3.60	0.00	0.00	1.54	0.00	0.00	0.00	0.00	0.00	2.14	0.25	0.00	0.11	0.00	0.00	0.88	1.59	1.73	0.00
70.00	3.74	3.60	0.00	0.00	1.40	0.00	0.00	0.00	0.00	0.00	0.06	0.42	0.00	0.85	0.00	0.00	0.00	1.86	1.34	0.00
71.00	3.75	3.60	0.00	0.00	3.15	0.00	0.00	0.00	0.20	0.00	0.00	0.54	0.00	0.00	0.00	0.00	0.00	1.81	0.00	0.71
72.00	3.75	3.59	0.00	0.00	3.04	0.00	0.25	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.15	0.00	2.08
