Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.823s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	4.34	0.00	3.59	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.24	0.00
3.00	4.36	0.00	3.60	0.00	0.00	0.00	1.76	0.00	0.06	0.00	0.00	0.00	0.00	0.00	1.32	0.00	0.00	0.15	0.00	1.26	0.00
4.00	4.34	2.87	3.60	0.99	0.00	0.00	3.00	0.00	0.00	0.00	1.93	0.00	0.00	0.00	0.13	0.00	0.00	0.62	0.09	0.00	0.00
5.00	4.36	3.74	3.60	0.32	1.63	1.92	0.07	0.06	0.00	0.00	2.27	0.10	0.00	0.00	1.09	2.88	0.00	1.47	0.45	0.33	0.00
6.00	4.34	3.75	3.59	0.03	0.13	0.92	0.10	1.23	0.21	0.00	1.32	0.00	0.00	3.15	1.14	0.75	0.01	0.00	0.00	1.19	0.00
7.00	4.36	3.75	3.60	0.63	0.00	2.96	1.26	0.46	0.92	0.00	2.55	0.00	0.00	1.01	0.60	0.06	0.00	0.00	0.87	0.00	0.00
8.00	4.34	3.75	3.60	0.90	0.42	1.92	0.00	0.22	0.00	3.56	0.89	0.00	0.00	1.56	0.00	1.02	0.00	0.00	0.26	0.46	0.00
9.00	4.36	3.74	3.60	1.71	0.00	0.00	1.65	0.00	2.65	2.55	0.59	0.00	0.00	1.02	0.00	0.06	0.00	2.47	0.10	0.00	0.00
10.00	4.34	3.75	3.59	1.81	0.05	0.68	0.00	0.00	0.87	2.56	0.00	0.00	0.00	0.27	0.93	0.00	0.11	1.64	1.52	0.00	0.00
11.00	4.36	3.75	3.60	0.00	0.00	1.08	0.14	0.50	2.90	0.35	0.50	0.00	0.00	1.08	0.00	0.00	0.00	1.08	0.12	1.22	0.04
12.00	4.34	3.74	3.60	3.82	0.12	1.34	1.47	0.00	1.53	0.00	0.12	0.00	0.00	0.67	0.88	1.89	0.00	0.04	0.00	1.04	0.00
