Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.902s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	3.74	0.00	0.00	0.00	0.10	0.00	0.03	0.00	0.00	0.00	0.00	0.00	0.00	0.46	0.00	0.00	0.00	0.00	0.00	0.06	0.00	0.00
3.00	3.75	0.06	0.00	0.00	1.85	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	3.75	0.00	2.41	0.01	0.82	0.00	0.00	0.00	0.38	2.81	0.00	0.00	0.00	0.00	0.00	0.00	0.31	0.00	0.00	0.00	0.00	0.00
5.00	3.74	0.00	0.10	3.57	0.74	0.00	0.00	0.06	0.12	0.13	0.00	0.00	0.04	0.00	0.04	0.00	0.13	0.00	2.31	0.00	1.81	0.00
6.00	3.75	0.00	0.59	3.15	1.73	0.53	0.00	0.04	0.21	2.43	0.00	0.06	0.48	0.00	1.26	0.00	0.00	0.00	1.66	0.00	1.03	0.00
7.00	3.75	0.14	0.74	0.99	0.99	0.70	0.10	0.91	1.87	0.27	0.00	0.00	0.00	0.00	0.04	0.00	1.17	0.00	1.64	0.00	0.35	0.00
8.00	3.75	0.00	0.53	0.95	1.76	0.84	0.00	0.33	0.73	1.50	0.34	0.14	0.00	0.00	1.17	2.35	0.04	0.00	1.66	0.00	0.34	0.00
9.00	3.74	0.00	0.00	0.98	0.25	1.34	0.30	0.00	0.00	0.21	1.04	0.11	0.00	0.11	1.52	0.57	0.00	0.00	1.64	2.02	0.14	0.00
10.00	3.75	0.48	3.87	1.18	0.25	1.36	0.27	0.41	0.00	0.00	0.27	0.21	0.00	0.19	2.14	0.63	0.52	0.00	0.81	0.72	0.00	0.00
11.00	3.75	0.00	0.48	2.57	0.13	0.10	0.00	1.57	0.50	0.09	0.87	0.15	0.64	0.00	1.96	0.64	0.06	0.04	0.21	0.22	1.47	1.48
