Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.832s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	3.89	0.00	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	3.90	3.35	0.00	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	3.90	3.30	0.00	0.00	0.00	1.75	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
5.00	3.90	3.30	0.15	2.72	2.04	0.01	0.00	0.00	0.00	0.15	0.00	0.00	0.00	0.00	0.04	0.40	0.00	0.00	0.00	2.31	0.01	0.04	0.00
6.00	3.90	3.30	0.00	0.75	2.55	0.70	0.84	0.00	0.00	2.37	0.52	0.95	0.00	0.00	0.19	0.21	0.78	0.00	0.67	1.51	0.49	0.00	0.00
7.00	3.90	3.30	0.00	1.70	1.31	0.06	0.00	0.00	0.00	2.40	0.00	0.84	0.00	0.00	0.34	0.62	1.60	0.00	0.52	0.90	0.12	0.00	0.00
8.00	3.89	3.30	0.51	1.56	1.19	0.39	0.46	0.00	0.00	2.09	0.25	0.01	0.38	0.00	0.00	2.63	0.46	1.09	0.38	0.36	0.16	0.00	1.43
9.00	3.90	3.30	0.42	0.00	2.55	0.78	0.39	0.00	0.00	0.00	0.00	0.00	0.11	0.66	0.89	1.95	0.10	0.42	1.03	0.21	0.00	0.00	0.85
10.00	3.90	3.29	0.00	2.30	0.29	0.00	0.00	0.00	0.00	0.16	0.00	0.11	0.04	0.00	2.52	0.22	0.65	0.36	0.41	0.00	0.28	0.00	0.07
11.00	3.89	3.30	0.00	0.13	0.10	0.00	3.46	0.27	0.55	0.15	0.00	0.16	0.14	2.92	0.10	0.00	0.14	0.67	0.14	0.50	0.13	0.00	0.01
12.00	3.90	3.30	0.30	0.36	0.00	1.00	2.55	0.00	0.49	0.18	0.00	0.32	0.60	1.12	0.46	1.50	1.52	0.48	0.03	0.00	0.15	0.00	0.31
13.00	3.90	3.30	0.00	1.11	0.00	2.10	1.32	0.00	0.27	0.38	0.00	0.08	0.62	0.00	0.78	0.00	0.03	0.00	1.48	0.66	0.00	0.00	0.59
14.00	3.89	3.30	0.33	0.87	1.65	2.55	0.44	1.06	0.16	0.39	0.00	0.22	0.24	0.00	0.00	0.14	0.54	0.05	1.49	0.00	0.00	0.00	0.31
15.00	3.90	3.30	0.21	0.00	0.06	2.55	1.55	0.37	0.01	0.03	0.00	0.16	0.00	2.02	0.00	0.21	0.00	0.00	0.00	0.94	0.53	0.00	0.00
16.00	3.90	3.30	0.56	0.32	0.42	2.21	1.32	0.57	1.81	1.19	0.30	0.81	0.88	1.08	0.19	0.00	0.06	0.00	0.00	0.52	0.00	0.00	0.00
17.00	3.89	3.30	3.21	2.77	0.78	2.56	0.74	0.00	0.00	0.47	0.00	0.00	0.00	0.19	0.90	0.34	0.60	0.00	0.14	0.42	0.18	0.00	0.00
18.00	3.90	3.29	2.17	2.85	0.04	2.32	0.06	0.24	0.00	0.00	0.29	0.00	0.00	0.33	1.40	1.04	0.06	0.00	0.00	0.00	0.00	0.00	0.00
19.00	3.90	3.30	0.34	0.51	0.00	0.00	2.15	0.67	0.00	0.49	1.57	0.00	0.72	0.00	0.27	0.00	0.07	0.00	0.09	0.07	0.47	0.00	0.00
