Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.870s)
CreateVariables () DONE !!!
Creating 24 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23
2.00	4.04	3.44	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.43	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	4.05	3.45	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.04	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	4.04	3.45	0.00	0.03	0.34	0.00	0.00	0.00	0.00	0.06	2.97	0.00	0.58	0.01	0.00	0.00	0.00	0.35	0.00	1.69	0.00	0.00	0.00	1.47
5.00	4.05	3.45	0.00	0.00	0.01	0.00	0.51	0.00	0.00	0.00	0.00	0.00	0.04	2.26	0.00	0.00	2.39	0.54	0.06	0.22	0.44	0.00	0.77	0.10
6.00	4.05	3.45	4.18	0.00	0.58	0.00	0.42	0.00	0.00	0.00	0.58	0.00	0.00	0.58	0.00	0.00	1.51	0.34	0.40	1.76	1.45	0.00	0.67	1.45
7.00	4.04	3.44	3.45	0.00	0.18	0.00	1.49	0.00	0.00	0.00	0.88	0.00	0.57	1.24	0.00	0.00	1.32	1.05	0.16	1.20	1.05	0.00	0.00	0.75
8.00	4.05	3.45	2.78	0.00	0.19	0.00	2.40	0.95	0.00	0.00	0.27	0.00	1.89	0.37	0.00	0.00	0.00	0.12	0.00	1.18	1.05	0.00	0.52	0.75
9.00	4.04	3.45	0.00	0.00	0.66	0.00	2.40	0.00	0.00	0.00	0.12	0.00	1.81	0.00	0.00	0.00	1.07	0.00	0.00	1.22	1.05	0.00	0.09	0.74
10.00	4.05	3.45	0.15	1.49	0.00	0.00	0.92	0.00	0.00	0.00	1.09	0.69	1.47	0.67	0.00	0.00	0.12	1.98	0.89	0.75	0.74	0.00	0.20	0.75
11.00	4.05	3.45	0.47	0.24	0.36	0.00	0.75	0.00	0.00	0.00	0.00	2.14	0.09	0.10	2.47	0.00	0.15	0.22	0.44	0.72	1.11	0.32	0.23	0.50
12.00	4.04	3.45	0.10	2.89	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.23	0.21	0.69	0.00	0.00	0.00	0.00	1.27	0.81	0.00	0.00
13.00	4.05	3.44	1.58	0.28	0.00	0.00	1.36	0.00	0.00	0.00	0.21	0.13	0.24	0.06	0.01	2.13	0.17	0.00	0.06	1.05	1.04	0.59	0.00	0.71
14.00	4.05	3.45	2.10	0.05	0.11	0.00	0.37	0.00	0.00	0.00	0.00	0.00	0.00	0.90	1.46	0.36	2.09	0.34	0.00	0.04	1.05	1.81	0.31	0.16
15.00	4.04	3.45	0.34	1.08	0.00	0.00	0.66	0.00	0.00	0.00	0.44	0.28	0.07	1.42	1.04	0.16	1.49	0.00	0.00	0.90	1.04	0.47	0.06	1.65
16.00	4.05	3.45	0.16	0.33	0.17	0.00	2.35	0.00	0.00	0.00	0.18	1.69	1.42	0.05	0.04	0.16	0.54	2.41	0.02	0.06	1.01	1.56	0.00	0.60
17.00	4.04	3.45	0.90	0.00	0.00	0.00	0.00	0.00	0.00	0.93	0.49	0.00	2.14	0.00	0.00	0.00	0.50	1.04	0.35	0.67	1.10	0.90	0.00	0.00
18.00	4.05	3.45	0.00	0.57	1.90	0.00	0.04	0.00	0.00	0.56	0.20	0.00	1.80	0.89	0.00	0.00	1.35	0.40	0.00	0.00	0.87	0.23	0.84	0.69
19.00	4.05	3.44	0.09	1.03	0.55	0.00	0.00	0.00	0.00	2.12	0.23	0.00	1.80	0.23	0.00	0.00	0.21	2.38	0.89	0.00	0.66	0.53	0.00	1.48
20.00	4.04	3.45	2.96	0.00	0.00	0.00	0.25	0.10	0.00	1.87	1.68	0.52	1.81	0.00	0.11	0.50	0.12	0.74	0.00	0.00	1.47	0.95	0.51	0.63
21.00	4.05	3.45	1.14	0.00	0.00	0.00	1.19	0.00	0.00	0.00	0.00	2.31	1.80	0.00	0.00	0.00	0.51	0.00	0.00	0.30	1.04	0.00	1.14	0.00
22.00	4.05	3.45	1.12	0.00	0.85	0.00	0.00	0.00	0.00	0.69	1.74	1.96	1.81	0.00	0.00	0.00	0.00	0.00	0.99	1.76	1.05	0.40	0.11	0.01
23.00	4.05	3.45	0.00	0.60	0.00	0.00	0.00	0.31	0.00	1.72	0.00	1.95	1.48	0.00	0.00	0.00	0.00	0.53	0.00	1.19	1.05	0.17	0.21	0.02
24.00	4.05	3.44	0.92	0.00	0.00	0.00	0.20	0.06	0.00	0.39	0.41	0.56	2.11	0.00	1.71	0.00	0.00	1.26	0.00	1.20	1.04	1.15	1.37	0.11
25.00	4.04	3.45	0.28	0.18	0.00	0.00	0.51	0.33	0.00	0.59	0.35	0.20	1.81	0.00	0.85	0.00	0.00	1.49	0.00	1.20	1.05	0.00	0.90	0.16
26.00	4.05	3.45	2.36	0.99	0.48	0.00	0.00	0.00	0.00	0.00	0.00	0.13	1.80	0.00	0.61	0.00	0.00	1.51	0.00	1.07	1.05	0.57	0.90	1.08
27.00	4.05	3.45	0.07	0.36	0.00	0.00	0.00	0.00	0.00	0.35	0.00	0.00	1.81	2.22	0.00	0.11	1.52	1.49	0.00	0.31	0.01	1.13	0.82	0.06
28.00	4.04	3.45	0.77	0.38	0.00	0.00	0.06	0.19	0.00	1.76	2.54	0.51	1.56	0.00	0.00	0.39	0.79	1.51	0.00	0.00	0.20	0.00	0.00	0.00
29.00	4.05	3.45	0.14	0.00	0.00	0.00	0.19	0.13	0.00	0.00	0.24	0.00	0.00	0.90	0.00	0.00	0.28	0.06	0.85	0.85	1.62	0.32	0.00	0.00
30.00	4.04	3.44	1.16	0.01	0.34	0.00	1.70	0.07	0.00	0.69	0.63	0.00	0.47	0.06	0.00	0.13	0.00	0.41	0.00	0.00	1.05	0.24	0.00	0.00
31.00	4.05	3.45	0.00	0.45	0.28	0.00	1.73	0.55	0.00	0.82	1.30	0.18	0.00	0.00	0.00	0.48	0.00	0.00	0.00	1.57	1.05	1.13	0.23	0.41
32.00	4.05	3.45	3.92	0.12	0.03	0.00	0.00	0.10	0.00	0.00	0.00	1.61	0.00	0.00	0.00	0.32	0.00	0.00	0.03	1.20	1.04	0.00	0.55	0.00
