Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.815s)
CreateVariables () DONE !!!
Creating 25 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22	ap-23	ap-24
2.00	4.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.39	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
3.00	4.95	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
4.00	4.95	0.00	0.53	1.80	0.00	1.64	0.06	0.00	0.00	0.03	0.00	0.32	0.00	0.20	0.00	0.00	0.00	0.00	0.06	0.00	0.53	0.00	0.23	0.00	1.10
5.00	4.96	0.00	2.50	0.00	0.00	0.53	0.00	0.00	0.23	0.00	0.26	0.00	0.78	0.00	0.01	0.16	0.06	0.00	0.00	0.58	0.34	0.10	0.00	0.00	0.25
6.00	4.95	0.00	0.66	3.52	1.13	0.00	0.00	1.14	0.97	0.00	2.02	0.32	0.23	0.17	0.00	0.00	0.00	0.00	0.00	0.32	0.00	1.08	0.00	0.00	0.48
7.00	4.95	0.00	3.00	0.00	0.00	0.17	0.00	0.25	0.35	0.00	2.36	0.00	2.21	2.65	0.00	0.00	0.38	0.00	0.00	0.63	0.27	0.00	0.00	0.00	0.00
8.00	4.96	0.00	0.91	3.93	0.00	1.50	0.00	0.81	0.19	0.00	1.52	0.11	2.10	1.71	0.53	0.49	0.01	0.00	0.00	0.66	0.60	0.00	0.18	0.01	0.00
9.00	4.95	1.54	0.12	1.48	0.00	1.41	0.00	0.70	0.00	0.00	1.10	0.90	1.02	0.00	0.00	1.48	0.00	0.00	0.44	0.24	0.00	0.00	0.00	0.66	0.00
10.00	4.95	1.05	0.00	0.10	0.70	0.14	0.00	1.36	0.07	0.00	2.23	0.51	0.68	0.19	0.00	0.34	0.00	0.00	0.00	0.42	0.00	0.45	0.00	0.68	0.00
11.00	4.96	0.00	0.78	0.70	0.20	0.00	0.00	0.00	2.70	0.00	1.37	0.00	0.78	0.19	0.00	0.85	0.59	0.00	0.01	0.00	0.12	0.00	0.00	0.00	0.00
12.00	4.95	0.39	0.15	0.62	0.19	0.59	3.97	0.06	0.96	0.00	0.10	1.37	0.37	0.23	0.01	0.67	0.04	0.00	0.00	0.50	0.00	0.00	0.00	0.00	0.00
