Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.674s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	8.40	1.47	3.45	2.05	1.38	0.00	0.25	2.36	2.37	0.38
3.00	8.40	1.47	1.80	0.34	1.86	0.00	0.38	0.78	2.61	1.58
4.00	8.40	4.10	2.28	2.40	0.46	0.00	1.12	1.72	1.83	1.28
5.00	8.41	1.57	3.70	0.32	1.48	0.00	2.23	2.67	0.74	0.69
6.00	8.40	0.42	3.13	2.74	1.59	0.00	2.32	1.02	1.53	1.15
7.00	8.40	1.64	3.37	0.65	0.87	0.00	2.77	1.57	1.54	0.15
8.00	8.41	3.38	0.44	2.65	0.14	0.00	4.09	0.16	3.11	1.05
9.00	8.40	5.52	0.00	0.18	3.78	0.00	4.53	0.00	3.80	3.13
10.00	8.40	3.42	1.08	0.46	2.92	0.00	3.46	0.00	2.56	2.45
11.00	8.41	0.95	2.92	0.73	1.13	0.00	0.00	0.19	4.12	2.77
12.00	8.40	1.30	3.84	2.34	0.51	0.00	2.46	0.49	3.04	2.89
13.00	8.40	1.00	4.58	0.77	2.89	0.00	3.86	3.56	1.66	3.07
14.00	8.41	5.70	4.90	4.56	4.88	0.00	4.39	4.15	3.91	0.57
15.00	8.40	6.30	6.01	5.70	5.70	0.00	4.51	4.50	4.22	0.00
16.00	8.40	6.30	6.01	5.70	5.70	0.00	4.50	4.50	4.19	0.00
17.00	8.41	2.96	3.93	2.39	1.32	0.00	1.74	0.21	2.53	0.12
18.00	8.40	3.10	3.21	0.82	0.00	0.00	3.17	0.24	3.50	2.12
19.00	8.40	1.97	0.95	1.11	1.88	0.00	1.10	1.47	2.58	0.99
20.00	8.40	1.84	3.40	3.09	1.86	0.00	3.58	1.13	2.26	2.79
21.00	8.41	1.70	0.51	0.65	2.11	0.00	3.04	1.41	1.71	1.84
22.00	8.40	0.99	1.02	3.60	0.00	0.00	2.64	0.00	3.13	0.52
23.00	8.40	1.74	3.01	1.22	3.57	0.00	0.12	2.36	0.00	2.54
24.00	8.41	1.39	3.46	0.71	0.40	0.00	1.59	0.60	4.50	2.19
25.00	8.40	0.47	1.93	1.12	1.51	0.00	0.37	1.44	1.87	0.73
26.00	8.40	0.00	1.28	0.51	0.00	0.00	0.89	0.00	3.79	1.20
27.00	8.41	1.33	4.51	2.90	0.39	0.00	2.25	0.02	2.65	0.92
28.00	8.40	1.24	2.67	2.59	2.27	0.00	0.00	0.00	1.60	1.21
29.00	8.40	3.67	5.02	2.70	3.10	0.00	2.46	1.59	3.82	2.60
30.00	8.41	1.95	2.89	1.92	1.80	0.00	3.98	0.94	3.72	1.04
31.00	8.40	4.12	5.66	1.04	0.00	0.00	4.50	0.20	4.19	2.31
32.00	8.40	1.30	2.26	0.79	0.49	0.00	2.96	1.75	2.67	2.70
33.00	8.41	2.59	2.45	2.50	1.99	0.00	2.94	1.42	3.66	2.90
34.00	8.40	0.00	3.09	0.53	1.24	0.00	1.44	1.75	1.53	2.67
35.00	8.40	0.87	0.59	1.08	2.76	0.00	2.91	0.00	1.35	0.24
