Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.710s)
CreateVariables () DONE !!!
Creating 10 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallMeshInternetStack () DONE !!!
InstallWifiInternetStack () DONE !!!
InstallCsmaInternetStack () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 40.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9
2.00	8.85	7.72	4.67	4.85	2.95	0.00	4.69	1.19	4.13	1.36
3.00	8.87	7.73	6.54	4.94	3.72	1.72	4.86	2.65	4.30	1.67
4.00	8.87	7.73	6.59	5.31	4.65	2.68	4.86	2.01	4.29	2.38
5.00	8.86	7.73	6.58	5.54	4.58	3.39	4.87	1.83	4.29	2.79
6.00	8.87	7.73	6.58	4.99	4.59	2.72	4.85	3.01	4.29	2.34
7.00	8.87	7.73	6.58	5.09	4.54	3.47	4.87	2.16	2.32	3.40
8.00	8.87	7.72	6.57	5.17	4.57	3.41	4.85	1.75	4.29	3.30
9.00	8.86	7.73	6.59	5.05	4.45	2.48	4.87	2.61	4.29	3.32
10.00	8.87	7.73	6.57	5.68	5.27	3.14	4.85	1.65	4.29	3.57
11.00	8.87	7.73	6.59	5.42	5.14	4.62	4.87	0.00	4.30	4.47
12.00	8.87	7.73	6.57	5.28	2.11	5.71	4.86	0.01	4.29	3.72
13.00	8.86	7.73	6.59	5.49	5.90	4.21	4.86	0.54	4.29	3.54
14.00	8.87	7.72	6.58	4.72	4.32	2.89	4.86	2.36	4.29	3.45
15.00	8.87	7.73	6.55	5.12	4.26	3.31	4.83	2.45	4.29	2.52
16.00	8.87	7.73	6.56	4.85	4.44	2.53	4.90	2.81	4.29	3.05
17.00	8.86	7.73	6.61	5.57	5.18	1.93	4.87	2.54	4.29	3.32
18.00	8.87	7.73	6.26	5.30	4.84	0.31	4.86	2.48	3.68	4.39
19.00	8.87	7.73	6.58	5.67	5.56	3.98	4.86	0.34	4.29	4.12
20.00	8.87	7.72	6.58	5.21	4.90	3.21	4.86	2.57	4.29	2.36
21.00	8.86	7.73	6.58	5.32	4.85	2.26	4.86	2.79	4.29	3.32
22.00	8.87	7.73	6.58	4.73	4.36	2.79	4.86	2.67	4.29	2.82
23.00	8.87	7.73	6.58	4.81	4.08	2.90	4.86	2.31	4.29	3.29
24.00	8.87	7.73	6.58	5.03	4.78	2.55	4.86	2.58	4.29	2.96
25.00	8.86	7.73	6.58	4.87	4.33	2.52	4.86	2.41	4.29	3.71
26.00	8.87	7.72	6.58	5.03	4.51	2.32	4.87	2.82	4.30	2.80
27.00	8.87	7.73	6.57	3.62	3.27	3.86	4.85	1.52	4.28	3.58
28.00	8.87	7.73	5.02	3.82	3.31	2.58	4.86	2.38	4.30	3.43
