Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.464s)
CreateVariables () DONE !!!
Creating 11 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10
2.00	7.49	5.96	0.00	4.86	4.46	0.00	0.00	2.20	2.81	3.38	0.00
3.00	7.50	6.01	1.40	3.99	3.50	1.74	1.24	3.74	2.87	2.34	0.00
4.00	7.50	5.99	2.83	3.31	4.49	0.00	3.83	4.10	0.53	2.79	0.00
5.00	7.50	6.01	1.38	1.50	4.04	3.26	0.26	5.11	0.62	1.70	0.00
6.00	7.50	5.99	0.00	0.49	5.30	5.33	0.81	5.10	0.16	4.07	0.00
7.00	7.50	6.01	0.00	0.00	5.39	5.41	5.99	5.10	0.00	3.91	0.00
8.00	7.50	5.99	0.00	0.00	5.41	5.39	5.10	5.10	0.00	3.90	0.00
9.00	7.50	6.01	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.90	0.00
10.00	7.49	5.99	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
11.00	7.50	6.01	2.59	2.17	4.32	4.86	4.22	5.03	0.48	3.37	0.00
12.00	7.50	5.99	0.49	2.97	2.76	1.84	0.21	3.67	0.01	1.33	0.00
13.00	7.50	6.01	0.00	0.00	2.18	4.58	0.77	5.10	1.72	2.99	0.00
14.00	7.50	5.99	3.93	3.73	5.39	5.36	0.12	5.11	2.36	2.74	0.00
15.00	7.50	6.01	5.69	5.38	5.41	5.41	1.50	5.10	4.20	3.90	0.00
16.00	7.50	5.99	4.76	5.36	5.41	5.39	4.11	5.10	4.19	3.90	0.00
17.00	7.50	6.01	0.99	0.53	2.40	0.31	0.00	1.88	1.05	0.44	0.00
18.00	7.50	5.99	2.34	1.59	1.68	2.34	0.51	5.12	2.28	3.21	0.00
19.00	7.49	6.01	0.59	0.00	6.04	2.17	2.06	5.15	0.41	3.98	0.00
20.00	7.50	5.99	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.90	0.00
21.00	7.50	6.01	0.00	0.00	5.41	5.39	5.11	5.10	0.00	3.90	0.00
22.00	7.50	5.99	0.00	0.00	5.39	5.41	5.10	5.10	0.00	3.90	0.00
23.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
24.00	7.50	5.99	0.00	0.00	5.41	5.41	5.10	5.10	0.00	3.91	0.00
25.00	7.50	6.01	0.00	1.28	5.41	5.41	5.10	5.10	0.99	3.90	0.00
26.00	7.50	5.99	0.04	0.04	5.39	5.39	5.10	5.11	2.54	3.90	0.00
27.00	7.50	6.01	0.00	5.46	5.41	5.41	5.10	5.10	4.19	3.90	0.00
28.00	7.49	5.99	0.99	3.47	3.92	4.58	3.69	4.51	2.92	2.44	0.00
29.00	7.50	6.01	1.80	4.05	0.72	0.00	0.00	0.42	0.00	1.10	0.00
30.00	7.50	5.99	0.00	4.62	0.37	1.46	1.05	4.95	0.75	2.70	0.00
31.00	7.50	6.01	0.01	0.91	0.87	5.24	0.00	2.65	0.00	2.65	0.00
32.00	7.50	5.99	0.00	0.00	3.51	5.41	3.33	4.33	0.00	3.90	0.00
33.00	7.50	6.01	0.00	0.00	5.39	5.39	5.10	5.10	0.00	3.90	0.00
34.00	7.50	5.99	0.09	0.41	5.13	5.26	4.77	5.08	0.74	3.72	0.00
