Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.634s)
CreateVariables () DONE !!!
Creating 12 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11
2.00	8.09	7.76	6.85	5.59	5.72	4.51	0.00	4.56	0.97	4.82	3.13	3.70
3.00	8.10	7.80	6.90	6.59	5.37	6.39	0.00	5.39	1.77	5.10	4.49	0.40
4.00	8.10	7.81	6.90	4.06	1.84	5.17	1.71	4.84	0.00	5.11	4.51	0.29
5.00	8.10	7.80	6.90	0.00	5.99	5.70	5.36	5.35	0.02	5.10	4.50	2.16
6.00	8.10	7.80	6.90	0.00	6.01	5.71	5.41	5.39	0.00	5.10	4.50	3.90
7.00	8.10	7.81	6.90	0.00	5.98	5.70	5.39	5.41	3.40	5.10	4.50	3.90
8.00	8.09	7.80	6.90	0.49	6.02	5.69	5.41	4.77	5.00	5.10	4.50	3.90
9.00	8.10	7.80	6.90	0.00	5.99	5.70	5.39	5.41	5.09	5.10	4.50	3.91
10.00	8.10	7.81	6.90	5.72	5.83	4.12	3.97	4.99	3.58	4.29	3.71	3.83
11.00	8.10	7.80	6.90	4.22	4.00	2.66	1.21	1.24	0.21	3.78	1.30	0.44
12.00	8.10	7.81	6.90	6.61	5.99	4.98	5.37	5.39	0.00	5.10	0.00	1.47
13.00	8.10	7.80	6.90	6.59	6.01	5.70	5.38	5.41	0.00	5.10	0.00	3.90
14.00	8.09	7.80	6.90	2.67	5.99	5.70	5.29	5.30	4.36	5.11	0.00	3.90
15.00	8.10	7.81	6.90	6.59	5.99	5.70	5.41	5.41	5.11	5.09	0.49	3.91
16.00	8.10	7.80	6.90	5.16	6.01	5.46	4.04	5.41	5.11	5.11	2.84	3.90
17.00	8.10	7.80	6.89	6.59	5.99	5.70	1.78	5.36	5.09	5.10	4.70	3.90
18.00	8.10	7.81	6.90	6.49	6.01	5.68	5.41	5.44	0.68	5.10	4.50	3.80
19.00	8.10	7.80	6.90	6.62	6.01	5.72	4.90	3.70	0.00	5.10	4.51	1.94
20.00	8.09	7.80	6.90	5.08	2.44	5.65	4.63	1.41	0.00	5.09	3.92	0.60
21.00	8.10	7.81	6.90	6.61	5.99	5.70	5.39	5.41	0.00	5.11	4.50	0.69
22.00	8.10	7.80	6.90	6.61	6.01	5.70	5.19	5.39	0.00	5.10	4.50	0.00
23.00	8.10	7.81	6.90	6.52	6.01	5.70	5.25	4.95	0.00	5.10	0.53	0.00
24.00	8.10	7.80	6.90	3.14	3.52	0.44	2.66	2.57	0.00	4.23	0.49	0.00
25.00	8.10	7.80	6.90	3.80	5.24	0.00	3.71	1.81	0.00	3.10	0.00	2.43
26.00	8.09	7.81	6.90	6.61	5.99	0.00	5.39	0.00	0.49	5.11	0.29	3.90
27.00	8.10	7.80	6.90	6.59	5.99	0.00	4.17	1.33	4.35	5.09	4.50	3.90
28.00	8.10	7.80	6.90	2.18	6.01	0.00	2.67	5.38	5.12	5.11	0.15	3.90
29.00	8.10	7.81	6.90	6.59	6.01	0.00	3.42	5.42	0.04	0.08	4.42	3.77
30.00	8.10	7.80	6.90	6.61	5.99	0.00	5.39	5.41	0.00	0.00	4.50	3.91
31.00	8.10	7.80	6.90	6.59	6.01	0.00	5.41	5.39	0.00	0.00	4.50	3.90
32.00	8.10	7.81	6.90	6.61	5.99	0.00	5.41	5.39	0.00	0.00	4.44	3.90
33.00	8.09	7.80	6.90	6.59	6.01	0.00	5.39	5.41	0.00	0.00	4.51	3.90
34.00	8.10	7.81	6.89	6.59	5.99	0.00	5.41	5.41	0.00	0.00	4.50	3.90
35.00	8.10	7.80	6.90	6.61	6.01	5.91	5.32	5.39	0.00	0.00	4.50	3.90
36.00	8.10	7.80	6.90	6.59	5.99	5.69	5.39	5.41	0.00	0.00	4.50	3.91
37.00	8.10	7.81	6.90	6.59	6.01	5.71	5.31	5.39	0.00	0.00	4.50	3.90
38.00	8.10	7.80	6.90	0.65	2.10	4.99	0.41	1.60	0.00	1.48	1.61	1.00
39.00	8.09	7.80	6.90	4.90	2.67	5.43	1.64	6.03	0.00	0.01	0.34	2.61
40.00	8.10	7.81	6.90	6.38	2.91	4.84	2.31	4.80	0.00	0.49	0.49	0.00
41.00	8.10	7.80	6.90	6.61	5.99	0.00	1.02	5.39	0.00	0.00	0.00	4.33
