Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.559s)
CreateVariables () DONE !!!
Creating 13 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12
2.00	8.38	8.36	7.20	4.06	4.85	2.59	4.96	0.00	0.00	1.08	0.00	3.47	0.92
3.00	8.40	8.40	7.20	0.15	6.30	5.95	6.01	4.78	0.00	2.87	4.46	4.79	3.97
4.00	8.40	8.40	7.21	0.02	2.37	5.31	5.91	2.38	4.76	5.11	5.41	4.80	3.87
5.00	8.41	8.41	7.20	0.00	5.79	5.37	6.01	3.93	4.31	3.53	5.39	4.80	1.44
6.00	8.40	8.40	7.21	0.00	6.30	4.95	5.99	4.44	0.00	5.41	5.41	4.79	4.15
7.00	8.40	8.40	7.20	0.06	6.04	3.17	5.99	5.50	0.00	2.21	5.41	4.46	4.19
8.00	8.41	8.41	7.20	0.21	2.50	0.78	5.86	3.92	4.11	4.00	5.38	4.80	4.03
9.00	8.40	8.40	7.21	0.00	1.53	1.38	5.95	1.57	2.76	5.28	5.39	4.79	4.20
10.00	8.40	8.40	7.20	0.31	2.44	0.85	6.01	3.34	0.00	3.51	5.38	4.80	4.19
11.00	8.41	8.41	7.21	4.30	5.78	0.00	5.99	6.36	0.02	5.13	5.41	4.79	4.19
12.00	8.40	8.40	7.20	0.49	6.18	3.69	6.01	5.52	0.00	4.92	5.38	4.76	4.13
13.00	8.40	8.40	7.20	4.16	5.57	4.16	5.97	2.74	0.00	2.33	5.41	4.80	4.18
14.00	8.41	8.41	7.21	0.79	0.57	0.00	5.31	5.50	0.00	2.48	5.41	4.58	2.28
15.00	8.40	8.40	7.20	2.61	6.09	0.61	6.01	5.03	6.37	0.00	5.38	4.62	1.33
16.00	8.40	8.40	7.21	0.59	0.00	0.00	5.99	0.09	4.90	0.33	5.41	4.79	4.03
17.00	8.41	8.41	7.20	4.27	1.84	0.00	0.05	4.78	5.41	0.67	5.25	4.80	2.40
18.00	8.40	8.40	7.21	6.30	5.70	0.99	0.00	5.69	4.98	1.32	5.41	4.79	0.80
19.00	8.40	8.40	7.20	3.58	6.30	0.49	0.00	4.09	5.41	5.53	5.39	4.80	2.87
20.00	8.40	8.40	7.20	0.49	5.98	0.00	6.99	0.08	5.37	5.31	5.41	0.54	0.00
21.00	8.41	8.41	7.21	2.96	6.35	0.00	6.01	1.32	5.39	3.51	5.41	0.00	1.22
22.00	8.40	8.40	7.20	2.66	6.30	0.00	5.99	5.70	5.39	0.00	5.39	0.00	0.49
23.00	8.40	8.40	7.21	0.49	5.10	0.97	5.99	1.72	4.64	0.97	5.20	1.02	2.13
24.00	8.41	8.41	7.20	0.98	6.30	0.00	6.01	0.00	4.82	0.00	5.59	0.00	4.22
25.00	8.40	8.40	7.20	0.00	4.91	0.00	6.01	2.53	5.39	0.00	5.41	0.00	4.19
26.00	8.40	8.40	7.21	1.20	4.03	0.00	5.99	0.21	0.16	0.00	5.39	0.00	4.20
27.00	8.41	8.41	7.20	0.00	6.30	0.00	6.01	5.70	0.00	0.00	5.41	0.00	4.19
28.00	8.40	8.40	7.21	0.09	6.30	0.00	5.99	5.69	0.00	0.00	5.41	2.51	4.20
29.00	8.40	8.40	7.20	1.39	4.49	0.22	5.84	4.66	0.00	1.31	5.36	1.42	4.10
30.00	8.41	8.41	7.20	0.09	4.52	6.58	5.99	3.57	0.00	0.00	5.41	5.39	4.19
31.00	8.40	8.40	7.21	0.86	0.68	5.71	6.01	5.28	3.50	0.14	5.39	4.79	4.20
32.00	8.40	8.40	7.20	0.00	6.25	4.72	5.77	5.63	1.98	4.75	5.41	4.80	4.20
33.00	8.41	8.41	7.21	0.51	6.29	6.30	6.01	5.71	0.00	5.39	5.39	4.80	4.19
34.00	8.40	8.40	7.20	2.12	5.50	4.17	5.46	3.58	0.00	4.95	5.24	4.77	4.20
35.00	8.40	8.40	7.21	1.08	4.84	3.45	5.25	5.70	0.01	2.98	3.29	4.79	4.05
