Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.039s)
CreateVariables () DONE !!!
Creating 14 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13
2.00	7.78	0.34	3.04	0.02	0.97	3.58	1.55	2.81	0.26	0.00	0.26	1.57	2.70	0.75
3.00	7.80	3.76	0.81	3.84	0.39	5.11	0.00	3.25	1.06	3.13	0.00	2.60	2.66	2.83
4.00	7.81	3.60	3.50	5.23	1.01	5.48	0.97	2.99	0.60	4.47	0.31	4.72	3.69	0.29
5.00	7.80	7.20	2.53	6.03	0.16	4.37	0.00	4.17	1.60	5.00	0.21	2.51	3.90	0.49
6.00	7.80	3.12	1.98	2.41	0.54	3.76	0.00	2.30	0.71	5.03	0.27	1.44	2.46	0.27
7.00	7.81	6.77	5.06	0.49	3.25	5.44	0.48	3.39	0.07	5.10	0.05	4.36	3.37	0.98
8.00	7.80	5.71	1.73	4.72	2.96	1.11	0.73	0.87	0.97	4.76	0.00	2.05	3.90	2.71
9.00	7.80	3.39	6.25	4.53	0.00	0.00	2.07	6.26	0.11	4.30	0.00	2.31	3.91	1.75
10.00	7.81	1.70	4.68	5.44	3.03	4.64	1.83	5.39	0.97	0.73	0.00	3.71	3.74	0.15
11.00	7.80	7.05	6.41	5.86	5.13	4.88	0.00	3.17	0.00	5.08	0.00	2.86	3.90	0.57
12.00	7.81	4.91	3.17	2.59	2.44	3.83	0.99	3.92	0.00	4.82	0.00	3.10	2.52	0.00
13.00	7.80	5.42	1.99	0.99	0.55	4.70	1.73	1.08	0.00	5.11	0.00	2.54	4.18	0.00
14.00	7.80	7.20	2.18	2.90	3.25	5.51	0.04	2.43	0.52	5.10	0.48	0.93	3.77	1.15
15.00	7.81	5.16	1.55	1.97	0.78	4.31	0.07	3.69	0.00	2.47	0.00	0.78	2.87	2.28
16.00	7.80	5.95	3.51	6.52	0.00	1.30	0.73	5.41	0.29	2.94	0.00	4.00	1.97	1.19
17.00	7.80	3.67	5.89	4.27	0.25	5.30	0.00	3.58	0.99	4.10	0.00	4.20	3.63	1.10
18.00	7.81	1.88	1.28	3.10	3.67	3.40	0.28	1.28	1.08	1.27	0.00	4.24	3.10	0.95
19.00	7.80	1.44	4.63	3.04	2.70	2.80	0.54	4.09	0.07	3.65	0.00	2.83	1.37	0.00
20.00	7.80	2.48	5.00	1.98	0.39	2.27	1.42	4.44	0.89	5.08	0.00	4.15	0.55	2.24
21.00	7.81	3.54	5.82	4.30	1.99	3.12	0.67	4.78	0.57	2.91	1.47	4.66	1.57	0.38
22.00	7.80	6.17	6.38	2.83	0.60	5.70	0.00	4.86	0.00	2.83	0.00	4.80	3.76	2.21
23.00	7.81	3.24	3.46	0.18	0.68	3.69	0.20	4.12	0.26	3.03	0.24	1.13	1.55	0.25
24.00	7.80	2.89	4.88	0.00	1.19	2.77	0.41	4.79	0.13	3.71	0.37	0.49	2.87	1.14
25.00	7.80	4.20	5.02	2.64	0.64	1.99	0.47	3.78	0.00	3.62	0.01	2.63	3.07	0.01
26.00	7.81	4.15	6.90	6.28	1.44	1.52	0.26	4.46	2.16	5.11	0.00	1.92	3.20	1.61
27.00	7.80	2.94	6.90	6.30	0.59	3.89	0.00	5.41	0.01	5.10	0.00	0.49	0.00	0.00
28.00	7.80	7.21	6.04	5.44	0.06	5.70	0.00	4.68	0.01	5.09	0.00	0.21	0.48	0.04
29.00	7.81	5.77	6.92	5.94	0.94	5.55	2.04	2.18	1.01	5.06	0.00	3.82	2.99	1.65
30.00	7.80	3.71	3.86	5.43	2.23	4.46	1.26	5.10	1.52	4.47	0.00	1.26	1.75	1.54
31.00	7.80	3.57	6.04	3.44	0.62	5.89	0.46	4.04	0.05	2.70	0.00	3.34	0.87	0.89
32.00	7.81	0.00	6.74	0.00	1.12	5.49	0.00	5.36	0.47	5.49	0.45	4.79	2.58	0.60
33.00	7.80	4.75	4.84	3.71	0.00	4.83	0.13	3.74	1.67	3.33	0.64	4.80	1.91	0.21
34.00	7.81	3.30	2.47	1.79	0.74	5.00	0.00	3.83	0.55	2.65	0.00	2.39	3.42	1.34
35.00	7.80	4.57	5.24	0.58	1.25	5.08	1.00	5.33	0.62	4.23	0.58	0.95	3.47	2.07
36.00	7.80	1.74	2.11	2.11	2.24	3.73	0.09	4.39	0.00	2.40	0.00	4.05	3.23	2.36
37.00	7.81	3.62	2.87	4.29	0.04	2.13	0.00	3.38	0.53	3.07	0.00	3.86	2.98	0.27
38.00	7.80	4.19	5.02	1.63	0.01	2.79	0.04	1.64	0.00	2.94	0.00	3.01	2.98	0.00
39.00	7.80	2.79	1.91	0.54	1.22	5.33	1.45	5.91	2.60	4.07	2.12	4.18	3.59	1.20
40.00	7.81	4.66	6.05	3.94	1.55	4.51	1.12	0.00	0.92	3.63	0.00	4.73	3.01	0.40
41.00	7.80	5.78	4.04	6.08	1.42	5.16	0.00	4.83	0.00	4.98	0.00	2.46	3.73	0.01
42.00	7.80	3.97	6.38	2.13	0.15	5.72	0.00	1.65	0.00	2.33	0.00	5.42	2.97	3.23
43.00	7.81	0.98	6.22	5.83	2.56	5.69	0.00	3.06	1.01	4.88	0.00	4.05	3.04	3.13
44.00	7.80	3.46	2.31	2.21	2.57	4.44	1.06	4.95	0.97	4.59	0.08	2.72	2.77	0.47
45.00	7.81	7.17	4.30	2.27	0.53	5.76	0.00	5.41	0.49	5.10	0.00	0.51	3.89	0.21
46.00	7.80	7.09	6.91	3.09	2.98	5.71	0.04	5.39	0.00	5.10	0.00	0.00	3.92	1.65
47.00	7.80	6.85	6.91	0.49	5.24	5.59	0.00	4.13	1.31	5.10	0.00	0.72	3.43	1.83
48.00	7.81	6.90	6.78	4.23	1.90	5.63	0.52	5.41	3.67	2.64	0.49	1.42	3.31	2.00
49.00	7.80	5.52	5.31	1.11	4.16	5.33	0.61	3.12	4.76	0.14	1.18	2.39	4.02	2.31
