Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.123s)
CreateVariables () DONE !!!
Creating 15 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14
2.00	9.56	8.64	8.09	0.33	1.95	4.65	0.80	2.27	5.04	0.87	3.69	1.18	0.67	0.84	0.00
3.00	9.60	8.70	8.10	1.52	5.51	3.13	1.73	4.59	5.04	1.30	3.70	0.05	2.83	3.33	0.46
4.00	9.60	8.70	8.10	0.00	5.99	2.50	2.06	3.30	4.00	3.86	3.33	0.00	4.19	3.47	2.05
5.00	9.60	8.70	8.10	1.32	6.02	2.10	1.32	0.48	0.00	0.51	3.91	0.08	4.20	0.92	0.77
6.00	9.61	8.69	8.10	0.00	5.99	0.00	1.93	5.39	0.00	0.80	4.50	0.00	4.20	1.75	1.39
7.00	9.60	8.70	8.10	2.79	6.01	0.00	1.45	5.28	0.00	1.18	4.36	0.00	4.19	3.82	1.50
8.00	9.60	8.70	8.09	0.57	5.99	0.99	2.31	1.41	1.73	4.97	4.37	0.00	4.17	3.91	1.17
9.00	9.60	8.70	8.10	0.00	5.45	0.49	2.14	2.90	5.42	0.80	4.13	0.00	0.55	3.90	3.70
10.00	9.60	8.70	8.10	1.24	4.70	6.52	0.49	1.80	5.41	1.90	4.51	0.00	3.40	3.77	2.81
11.00	9.61	8.69	8.10	0.00	3.84	5.99	1.18	0.20	5.39	1.35	4.10	0.00	4.20	3.90	2.03
