Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.101s)
CreateVariables () DONE !!!
Creating 16 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15
2.00	7.18	6.85	0.06	2.45	0.44	1.64	1.13	3.74	4.45	0.65	0.00	0.80	2.17	2.21	2.86	0.82
3.00	7.20	6.90	0.13	1.90	6.32	2.68	0.44	1.44	3.99	1.30	2.23	0.00	3.27	0.00	1.92	0.89
4.00	7.21	6.90	0.02	5.99	5.99	5.71	1.26	5.70	5.51	1.04	4.39	0.99	3.09	0.21	3.07	0.91
5.00	7.20	6.90	0.05	6.01	6.01	0.06	0.47	3.87	5.39	0.00	5.10	0.13	4.15	0.00	3.19	0.89
6.00	7.21	6.90	0.00	5.59	6.01	4.46	1.18	0.00	5.41	0.00	5.10	4.80	4.50	1.97	3.30	0.91
7.00	7.20	6.90	0.84	4.99	5.76	5.63	1.15	3.07	4.30	1.19	5.11	2.44	2.92	0.44	3.29	0.80
8.00	7.20	6.90	0.00	5.10	6.01	4.82	2.17	2.45	4.69	1.26	5.04	0.27	2.56	3.20	2.80	0.89
9.00	7.21	6.90	0.00	4.36	5.70	2.89	0.00	1.53	5.42	1.95	5.11	0.00	0.99	0.74	3.31	0.91
10.00	7.20	6.90	0.00	6.01	6.01	0.00	0.13	4.57	5.18	0.00	5.10	0.00	0.00	0.00	3.30	0.89
11.00	7.21	6.90	0.00	5.99	5.99	0.00	1.27	5.61	5.33	0.62	5.10	1.57	0.61	0.00	3.31	0.91
12.00	7.20	6.90	0.00	5.99	6.01	2.07	0.00	5.69	5.39	0.00	5.10	0.01	0.00	3.89	3.30	0.89
13.00	7.20	6.90	0.12	3.58	4.52	2.38	0.29	5.70	5.37	1.22	2.71	1.59	2.74	2.38	3.26	0.88
14.00	7.21	6.90	0.00	3.72	3.54	1.95	1.18	4.92	5.28	0.38	2.51	3.62	2.19	0.20	0.64	0.92
15.00	7.20	6.90	0.00	5.96	0.00	4.44	1.08	5.28	4.82	3.57	5.10	0.62	4.62	1.73	4.42	0.89
16.00	7.21	6.90	0.00	5.94	4.59	5.72	0.21	1.07	5.39	1.22	5.09	0.21	0.98	1.79	3.30	0.91
17.00	7.20	6.89	0.02	5.15	4.42	5.31	1.18	0.49	0.42	0.00	5.04	3.86	0.24	0.65	2.65	0.89
18.00	7.21	6.90	0.00	3.51	5.98	4.98	2.54	0.00	0.00	0.35	4.95	4.11	0.00	0.00	3.06	0.89
19.00	7.20	6.90	0.00	4.64	4.13	3.71	2.92	0.00	0.27	0.93	4.62	3.27	0.22	2.27	3.16	0.91
20.00	7.20	6.90	0.00	4.37	5.99	3.30	0.99	0.00	1.25	0.02	1.99	1.87	1.04	1.08	1.25	0.91
21.00	7.21	6.90	0.00	2.13	6.01	5.70	0.11	0.00	0.00	0.02	5.10	1.00	0.00	0.31	2.84	0.89
22.00	7.20	6.90	0.00	6.01	5.86	5.70	2.39	0.00	0.00	0.72	5.10	3.04	0.00	1.61	3.30	0.89
23.00	7.21	6.90	0.00	4.89	4.33	4.25	0.05	0.00	5.19	2.87	4.79	0.05	4.36	1.54	3.30	0.91
24.00	7.20	6.90	0.00	5.19	5.31	3.77	1.07	1.06	4.90	2.07	4.27	0.49	3.37	1.68	2.80	0.88
25.00	7.20	6.90	0.00	5.89	5.64	3.64	3.73	5.71	5.64	0.61	4.91	1.61	1.48	1.27	2.91	0.92
26.00	7.21	6.90	0.00	5.51	5.26	5.70	0.02	5.70	5.44	0.67	5.11	0.00	0.00	0.26	3.30	0.89
27.00	7.20	6.90	0.00	6.01	6.01	5.64	4.16	5.69	5.41	0.31	4.78	0.07	0.49	0.49	3.30	0.91
28.00	7.21	6.90	0.00	4.88	3.85	1.58	1.26	2.44	1.19	4.70	4.83	1.80	1.40	2.23	3.31	0.89
29.00	7.20	6.90	0.00	4.97	3.87	1.57	2.56	0.00	0.00	3.65	5.11	0.37	0.00	2.04	3.30	0.89
30.00	7.20	6.90	0.00	5.76	5.99	0.47	0.00	0.00	0.00	5.41	5.10	0.00	0.00	0.00	3.30	0.91
31.00	7.21	6.90	0.00	5.64	4.89	0.00	5.44	0.00	0.00	4.86	5.10	0.00	0.00	0.00	3.30	0.89
32.00	7.20	6.90	0.00	5.99	5.29	5.32	4.29	1.41	0.71	3.43	5.10	2.78	0.54	2.93	2.97	0.91
33.00	7.21	6.90	0.00	5.76	2.74	4.85	3.78	2.10	0.00	0.04	5.08	1.64	0.00	2.08	3.24	0.89
34.00	7.20	6.89	0.00	1.70	4.53	4.17	3.45	3.36	0.00	0.67	4.18	1.90	0.00	0.92	3.19	0.89
35.00	7.21	6.90	0.00	2.06	6.01	0.00	3.12	0.34	0.00	3.59	4.35	1.73	0.49	1.28	3.12	0.91
36.00	7.20	6.90	0.00	5.99	5.99	5.43	0.00	0.00	0.00	1.39	5.10	1.74	0.00	2.72	3.29	0.89
37.00	7.20	6.90	0.00	1.40	2.54	5.41	0.14	0.00	0.00	5.39	4.97	0.58	0.00	0.29	3.30	0.89
38.00	7.21	6.90	0.00	1.64	4.56	2.45	0.89	5.46	5.17	1.04	5.11	1.41	4.30	0.01	3.21	0.91
39.00	7.20	6.90	0.00	1.50	5.97	3.51	3.99	5.52	4.27	4.57	5.08	1.99	0.42	0.29	2.30	0.89
40.00	7.21	6.90	0.00	2.57	6.03	5.69	1.30	0.00	0.64	5.41	4.78	0.81	0.00	0.08	2.68	0.91
41.00	7.20	6.90	0.00	3.52	1.55	3.70	1.17	0.00	2.79	2.79	5.36	2.56	2.53	0.11	3.23	0.89
42.00	7.20	6.90	0.00	5.89	3.52	5.71	2.65	1.54	0.00	1.86	3.11	0.05	0.00	1.58	3.21	0.91
43.00	7.21	6.90	0.00	6.01	6.08	5.69	2.16	1.20	0.00	0.72	4.05	0.92	0.00	3.90	3.30	0.89
44.00	7.20	6.90	0.00	5.99	5.99	3.13	1.60	0.02	0.00	0.02	5.10	0.05	0.00	1.11	3.30	0.91
45.00	7.21	6.90	0.00	6.01	1.98	2.38	2.26	0.12	0.00	2.26	5.10	2.14	0.00	0.55	3.31	0.89
46.00	7.20	6.90	0.00	5.99	7.04	1.50	3.89	0.00	0.00	3.00	5.10	0.71	0.00	0.00	3.30	0.91
47.00	7.21	6.90	0.00	3.87	5.97	2.94	5.05	0.00	0.00	0.60	5.10	1.33	0.00	1.18	3.26	0.89
48.00	7.20	6.90	0.00	5.53	5.91	2.36	5.20	0.00	0.00	1.24	5.10	0.38	0.00	2.47	3.31	0.89
49.00	7.20	6.90	0.00	5.82	6.01	2.64	5.63	1.74	1.17	2.05	5.10	3.38	0.98	1.11	2.46	0.91
50.00	7.21	6.89	0.00	5.16	5.99	5.39	4.04	1.18	5.37	0.49	5.11	2.08	4.51	1.21	2.98	0.89
51.00	7.20	6.90	0.00	5.65	6.01	1.06	2.44	0.00	1.83	2.90	4.50	1.01	1.55	0.54	3.09	0.91
52.00	7.21	6.90	0.00	5.99	5.99	6.77	0.62	0.00	0.00	2.83	5.10	1.38	0.00	0.28	3.30	0.89
53.00	7.20	6.90	0.00	6.01	2.79	5.30	2.20	2.07	0.00	0.99	3.91	1.79	0.00	0.00	1.61	0.91
54.00	7.20	6.90	0.00	5.66	5.99	5.58	1.48	0.00	1.61	0.61	4.98	0.59	1.39	0.00	3.34	0.89
55.00	7.21	6.90	0.00	5.99	5.99	5.70	0.26	0.00	0.00	5.86	5.10	4.79	0.00	0.00	3.29	0.89
56.00	7.20	6.90	0.00	5.05	5.83	3.30	1.88	3.76	5.17	1.40	4.93	3.77	0.53	0.00	3.17	0.89
57.00	7.21	6.90	0.00	6.02	5.97	5.89	1.17	2.84	5.42	0.00	4.92	4.49	2.10	0.00	3.30	0.91
58.00	7.20	6.90	0.00	5.99	6.03	5.70	3.25	0.66	5.39	0.01	5.05	4.53	0.58	0.00	2.91	0.91
59.00	7.20	6.90	0.00	6.03	5.52	1.67	0.99	0.00	5.41	2.63	3.97	1.20	3.56	2.05	2.52	0.89
60.00	7.21	6.90	0.00	5.99	6.01	0.22	3.72	2.07	5.08	0.26	5.02	1.65	3.06	0.85	3.26	0.91
61.00	7.20	6.90	0.00	5.88	5.48	2.77	0.00	0.00	2.91	1.55	4.79	4.69	0.75	1.13	3.30	0.89
62.00	7.21	6.90	0.00	6.01	5.99	1.34	0.49	0.00	0.00	5.26	5.11	4.80	0.00	0.00	3.30	0.89
63.00	7.20	6.90	0.00	6.01	6.01	5.69	0.22	0.00	0.00	2.05	5.09	1.84	0.00	3.74	3.31	0.91
64.00	7.21	6.90	0.00	6.01	5.99	5.61	3.64	0.00	2.03	1.44	5.11	4.31	0.00	1.46	3.30	0.89
65.00	7.20	6.90	0.00	5.99	5.99	5.57	0.14	0.00	5.39	4.84	5.10	0.13	0.00	0.01	3.30	0.91
66.00	7.20	6.89	0.00	5.99	6.01	5.53	4.56	0.00	4.90	4.96	5.09	1.77	1.93	0.00	3.30	0.89
67.00	7.21	6.90	0.00	5.90	6.01	5.71	1.11	0.00	1.99	2.03	5.02	0.79	0.77	2.74	3.19	0.91
68.00	7.20	6.90	0.00	4.75	5.69	5.19	0.02	0.00	5.41	0.57	4.29	0.84	0.99	3.05	0.75	0.89
69.00	7.21	6.90	0.00	5.79	5.99	4.71	1.24	0.00	5.41	2.32	4.39	1.15	0.00	1.94	3.30	0.89
70.00	7.20	6.90	0.00	5.70	5.98	4.64	3.69	2.43	4.44	0.13	5.10	3.62	0.95	0.00	3.30	0.91
71.00	7.20	6.90	0.00	3.62	5.69	3.76	0.38	5.70	0.00	3.66	5.09	2.94	0.00	0.47	3.30	0.89
72.00	7.21	6.90	0.00	5.02	5.78	5.71	0.33	5.71	0.00	1.39	4.97	0.02	0.00	0.40	3.31	0.91
73.00	7.20	6.90	0.00	5.97	5.63	5.69	2.39	5.70	4.22	4.03	4.56	1.28	0.00	0.49	2.89	0.89
74.00	7.21	6.90	0.00	5.32	2.43	5.06	1.19	5.70	1.38	3.90	4.10	0.01	1.12	1.21	1.41	0.91
75.00	7.20	6.90	0.00	5.94	6.01	2.74	3.78	5.68	0.00	0.15	5.09	2.72	0.00	0.02	3.85	0.89
76.00	7.20	6.90	0.00	6.01	6.01	2.84	5.50	5.70	0.00	3.57	5.11	1.48	0.00	0.00	3.26	0.89
77.00	7.21	6.90	0.00	6.01	5.99	0.59	1.52	5.70	0.00	5.41	5.10	2.83	0.00	0.00	3.31	0.91
78.00	7.20	6.90	0.00	5.99	6.01	0.49	0.00	5.70	0.00	5.39	5.10	4.80	0.00	0.00	3.30	0.89
79.00	7.21	6.90	0.00	6.01	5.99	0.00	1.60	5.70	0.00	4.62	5.10	4.00	0.00	0.00	3.30	0.91
80.00	7.20	6.90	0.00	4.83	4.62	3.94	1.02	5.70	3.00	1.52	5.03	2.08	0.00	2.40	2.51	0.89
81.00	7.21	6.90	0.00	5.44	5.11	2.84	6.32	5.70	5.41	0.73	5.09	1.13	0.00	3.03	1.59	0.89
82.00	7.20	6.89	0.00	5.91	4.25	2.37	2.77	3.94	4.49	0.95	5.11	0.59	0.00	3.39	3.45	0.91
83.00	7.20	6.90	0.00	5.97	5.91	1.33	1.71	0.00	0.00	2.83	5.09	1.20	0.00	3.89	3.27	0.89
84.00	7.21	6.90	0.00	6.03	6.03	1.90	0.08	0.00	4.64	0.97	5.11	0.71	2.87	3.91	0.00	0.91
85.00	7.20	6.90	0.00	4.53	3.17	1.90	1.15	5.64	2.08	0.58	3.10	0.93	0.09	2.63	2.39	0.89
86.00	7.21	6.90	0.49	5.72	6.24	0.91	0.35	3.78	1.61	4.69	5.09	0.78	0.00	0.81	3.09	0.91
87.00	7.20	6.90	0.00	6.01	4.91	5.41	1.26	0.00	5.37	4.31	5.00	1.41	0.00	0.18	3.30	0.89
88.00	7.20	6.90	0.00	5.98	6.01	4.97	1.30	0.00	5.43	5.39	4.13	0.69	0.00	1.59	2.84	0.91
89.00	7.21	6.90	0.00	2.83	1.02	4.66	5.49	6.08	5.41	1.39	5.10	0.18	0.00	0.06	2.86	0.89
90.00	7.20	6.90	0.00	5.91	6.01	5.57	2.50	1.67	5.39	1.75	4.90	0.68	0.49	1.44	3.23	0.89
91.00	7.21	6.90	0.00	5.97	5.99	5.51	5.44	2.63	5.39	2.26	5.10	1.24	0.00	3.10	3.30	0.91
92.00	7.20	6.90	0.00	5.70	5.79	2.92	3.59	0.49	1.63	2.97	3.85	0.78	0.49	0.49	1.79	0.89
93.00	7.21	6.90	0.00	6.01	5.03	1.25	4.99	0.00	0.26	4.40	5.98	0.21	0.22	2.54	2.92	0.91
94.00	7.20	6.90	0.00	4.79	6.18	1.08	0.27	5.42	0.00	0.08	5.10	1.68	0.00	1.61	3.30	0.89
95.00	7.20	6.90	0.00	5.78	5.91	1.88	2.36	5.70	0.00	0.00	5.10	1.73	0.00	1.98	3.30	0.91
96.00	7.21	6.90	0.00	5.82	5.99	1.66	0.01	5.70	0.00	4.20	5.10	2.10	0.00	0.12	3.30	0.88
97.00	7.20	6.90	0.00	5.99	6.01	5.66	0.93	5.70	0.00	1.91	5.11	1.26	0.00	0.00	3.31	0.91
