Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.191s)
CreateVariables () DONE !!!
Creating 17 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16
2.00	7.49	7.17	5.50	0.54	4.35	1.92	1.42	0.14	0.00	1.22	3.62	0.27	2.44	0.27	1.66	1.71	0.88
3.00	7.50	7.20	4.70	5.13	3.92	4.16	3.16	2.64	0.00	4.80	0.47	1.90	0.93	0.09	0.51	0.40	0.44
4.00	7.50	7.21	0.61	7.02	6.85	1.78	4.47	5.45	5.06	5.06	4.00	1.35	3.54	2.86	1.75	0.86	1.72
5.00	7.50	7.20	3.73	4.30	2.54	5.26	3.85	4.86	3.52	2.86	2.39	0.04	2.90	2.54	1.17	0.51	0.44
6.00	7.50	7.21	6.91	2.64	6.01	1.26	5.70	0.00	4.98	5.86	4.44	1.70	2.25	0.31	0.00	3.25	0.68
7.00	7.50	7.20	6.82	5.71	5.52	2.97	2.06	2.77	5.20	3.77	3.19	0.49	3.90	0.00	1.26	3.00	0.80
8.00	7.50	7.20	1.08	6.24	0.00	3.52	0.00	1.14	5.16	4.89	2.70	0.00	3.91	3.40	1.02	2.87	0.60
9.00	7.50	7.21	4.03	1.61	0.00	5.61	0.00	0.01	5.41	5.38	4.93	3.25	3.90	3.19	2.53	2.99	0.00
10.00	7.49	7.20	4.71	6.81	5.05	1.81	0.00	1.21	5.39	5.35	3.67	2.31	1.28	2.79	0.18	1.87	0.00
11.00	7.50	7.21	6.56	6.50	1.18	3.94	0.49	0.28	5.41	2.28	1.00	3.76	4.03	3.18	1.20	2.47	0.00
12.00	7.50	7.20	6.89	6.90	0.00	2.78	0.00	3.42	5.39	5.39	0.00	4.51	3.90	3.70	0.94	3.00	0.00
13.00	7.50	7.20	6.91	6.89	0.00	2.24	0.00	5.69	5.41	5.41	0.00	4.50	3.91	3.82	3.59	2.99	0.00
14.00	7.50	7.21	6.88	4.06	0.00	3.64	3.58	2.64	5.39	1.94	1.32	3.29	3.50	0.81	2.99	2.16	0.00
15.00	7.50	7.20	6.92	1.06	0.06	5.73	5.70	1.34	5.41	0.00	1.44	4.12	3.90	0.28	2.83	1.42	0.00
16.00	7.50	7.21	6.89	1.48	0.32	4.80	3.85	1.90	5.41	2.07	1.77	4.24	3.74	0.91	1.84	1.02	1.90
17.00	7.50	7.20	6.63	4.75	0.00	1.06	0.00	3.14	5.38	1.25	5.44	3.79	3.31	0.87	0.49	1.72	0.00
18.00	7.50	7.21	6.94	3.97	0.00	5.42	0.00	1.25	5.39	1.95	5.42	4.55	3.90	0.00	4.19	3.12	0.00
19.00	7.49	7.20	3.50	4.65	4.51	2.01	0.99	1.26	5.42	5.39	4.17	4.12	3.91	0.80	3.47	2.99	0.00
20.00	7.50	7.20	6.74	1.94	0.01	0.22	0.00	2.68	5.04	5.41	2.72	4.49	3.78	1.71	3.47	2.99	0.00
21.00	7.50	7.21	3.91	3.84	0.00	3.47	0.00	2.36	4.19	5.39	4.45	4.51	3.90	0.57	2.01	2.84	0.00
22.00	7.50	7.20	0.00	7.15	0.00	1.26	0.00	3.16	5.41	5.32	5.25	4.50	3.90	0.60	1.63	2.93	0.00
23.00	7.50	7.21	0.39	6.90	0.00	0.99	0.00	2.59	4.17	5.28	1.52	4.18	3.90	3.58	1.92	2.90	0.00
24.00	7.50	7.20	7.25	6.90	0.00	4.16	0.00	3.56	5.39	4.64	1.18	4.50	3.91	3.90	3.59	2.68	0.00
25.00	7.50	7.20	3.57	5.17	6.25	1.06	2.07	2.84	5.39	4.66	0.92	4.39	3.90	1.93	2.52	3.16	0.00
26.00	7.50	7.21	5.51	1.84	0.20	1.84	0.00	0.00	5.31	5.43	1.11	4.16	3.90	2.00	1.00	0.78	0.00
27.00	7.50	7.20	6.90	6.89	0.00	0.00	3.72	4.50	5.15	4.47	0.24	4.50	3.87	2.81	1.67	0.80	0.00
28.00	7.49	7.21	6.67	4.19	0.00	1.24	5.70	3.11	3.65	3.20	0.09	3.24	3.14	3.46	2.71	1.67	0.00
29.00	7.50	7.20	6.88	5.82	0.00	0.40	5.70	1.93	3.36	0.00	1.60	0.01	2.58	3.36	0.47	0.84	0.00
30.00	7.50	7.20	3.92	4.16	5.49	0.95	5.70	0.60	5.41	3.21	1.74	3.27	3.91	3.32	1.60	1.70	0.00
31.00	7.50	7.21	6.10	1.63	5.98	5.05	5.45	3.51	2.01	1.59	0.24	4.36	3.82	2.37	2.25	0.48	0.00
32.00	7.50	7.20	1.46	3.62	5.84	1.65	1.46	0.94	5.16	5.56	0.82	4.20	3.56	0.78	0.65	2.04	0.00
33.00	7.50	7.21	1.26	3.25	6.02	2.58	0.00	3.78	1.30	5.37	3.17	4.25	2.97	2.99	0.99	0.67	0.00
34.00	7.50	7.20	2.11	6.90	5.20	5.33	0.00	5.32	5.41	5.12	5.19	4.13	3.90	2.97	0.09	2.17	0.00
35.00	7.50	7.21	6.89	4.16	0.00	4.33	4.32	3.82	4.62	5.11	2.44	4.71	3.90	2.38	0.15	1.11	0.00
36.00	7.50	7.20	5.78	6.64	0.00	5.64	0.00	4.02	5.39	5.39	1.33	4.49	3.90	3.89	0.33	1.83	0.00
37.00	7.49	7.20	4.31	6.74	0.99	3.45	4.96	5.36	4.97	3.05	0.14	4.51	1.65	2.40	1.08	1.84	0.00
38.00	7.50	7.21	6.67	4.56	0.00	2.51	2.70	5.19	5.32	5.11	0.88	2.73	1.97	2.45	0.05	2.59	0.00
