Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.734s)
CreateVariables () DONE !!!
Creating 18 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17
2.00	7.47	6.59	6.29	0.22	2.94	1.87	1.95	1.60	1.10	0.41	1.75	0.91	2.71	1.38	0.00	0.00	1.55	0.00
3.00	7.50	6.59	6.30	2.20	2.16	6.52	3.18	2.93	2.51	1.81	2.83	0.00	3.71	3.82	0.00	2.43	3.19	0.52
4.00	7.50	6.61	6.30	4.50	3.16	5.70	5.71	1.10	5.41	5.30	2.28	2.54	2.89	0.00	3.71	4.46	2.12	2.05
5.00	7.50	6.59	6.30	0.00	4.65	5.18	2.57	1.21	1.90	2.81	2.54	0.85	4.84	0.01	4.23	4.20	2.44	0.49
6.00	7.50	6.61	6.30	0.00	2.97	5.70	5.70	5.15	4.93	3.84	0.49	0.20	4.79	0.00	4.20	4.20	3.84	1.87
7.00	7.50	6.59	6.30	0.00	1.35	5.00	4.45	5.38	4.13	0.75	1.24	0.32	4.79	3.44	4.19	4.18	3.90	1.64
8.00	7.50	6.61	6.30	1.53	0.00	5.50	2.97	5.22	3.07	1.57	3.23	0.16	3.99	4.51	4.20	4.20	2.70	1.19
9.00	7.50	6.59	6.30	0.99	5.35	5.28	0.00	5.42	5.41	0.00	1.92	0.08	4.78	4.51	4.20	2.18	4.02	2.11
10.00	7.49	6.61	6.30	2.38	4.76	5.70	4.32	5.36	5.39	2.96	4.62	0.24	4.80	3.39	4.19	2.71	2.08	2.10
11.00	7.50	6.59	6.30	4.51	1.11	4.96	1.61	4.56	5.09	3.78	4.35	0.87	4.02	1.13	1.87	0.95	0.99	0.86
12.00	7.50	6.61	6.30	5.64	3.13	5.45	0.92	5.37	5.32	3.09	4.77	0.53	4.75	0.00	4.19	0.00	3.79	0.28
13.00	7.50	6.59	6.30	3.14	4.05	3.98	1.02	4.86	1.51	0.57	4.56	0.99	1.32	0.00	4.20	1.00	3.99	0.40
14.00	7.50	6.61	6.30	4.80	6.15	3.65	0.60	5.39	3.71	1.01	1.88	1.30	1.01	1.19	4.20	2.45	3.79	1.42
15.00	7.50	6.59	6.30	5.82	2.80	5.69	0.00	5.28	5.39	2.74	0.00	0.00	0.62	0.11	4.19	4.18	3.79	2.10
16.00	7.50	6.59	6.30	5.81	0.57	5.71	0.49	0.00	5.41	4.27	2.18	0.00	4.82	4.50	4.20	4.15	3.64	2.10
17.00	7.50	6.61	6.30	3.99	3.14	5.69	1.52	3.89	3.57	4.18	0.49	0.00	2.52	2.17	4.20	4.05	3.90	1.33
18.00	7.50	6.59	6.30	0.00	3.05	5.69	5.44	5.41	3.91	4.49	0.49	0.00	2.26	4.85	4.20	4.19	3.90	1.52
19.00	7.49	6.61	6.30	0.00	1.92	5.69	5.53	5.36	5.17	3.72	2.38	0.26	4.79	4.16	4.19	3.91	3.25	2.01
20.00	7.50	6.59	6.30	1.71	0.49	5.43	2.63	5.17	2.93	0.99	1.20	0.00	2.53	4.35	2.19	0.95	3.27	1.07
21.00	7.50	6.61	6.30	4.56	2.83	5.70	0.00	5.23	1.10	0.00	1.70	2.99	1.85	4.50	4.11	4.19	3.80	0.44
22.00	7.50	6.59	6.30	3.44	5.49	5.70	0.00	5.18	2.80	0.12	1.17	1.55	0.49	4.37	4.20	0.57	3.63	1.08
23.00	7.50	6.61	6.30	1.39	2.31	3.87	4.78	3.38	4.85	2.13	2.39	1.91	0.00	0.08	3.80	4.58	2.20	1.87
24.00	7.50	6.59	6.30	2.23	2.05	5.75	5.89	5.41	5.39	0.00	2.33	1.14	5.19	0.49	4.19	3.89	3.30	2.10
25.00	7.50	6.61	6.30	2.07	5.33	5.24	2.40	5.41	3.30	0.07	0.51	3.30	4.33	4.60	4.20	3.64	3.89	1.31
26.00	7.50	6.59	6.30	1.20	3.98	4.97	4.13	3.97	2.23	2.34	1.20	2.19	4.80	4.50	2.10	3.12	3.03	0.87
27.00	7.50	6.61	6.30	0.55	4.25	5.70	0.60	5.41	4.85	0.00	3.20	2.52	4.79	4.44	4.02	2.31	3.90	0.26
28.00	7.49	6.59	6.30	0.99	3.64	5.24	1.65	1.83	5.25	0.15	2.46	2.71	4.24	4.13	4.13	0.18	3.90	0.00
29.00	7.50	6.59	6.30	0.00	1.55	5.46	5.70	6.34	5.39	0.14	0.00	0.97	3.36	4.45	4.16	3.04	3.72	0.00
30.00	7.50	6.61	6.30	1.50	2.52	4.16	3.91	5.00	4.40	3.87	1.81	2.86	1.00	2.44	3.96	2.86	2.89	2.05
31.00	7.50	6.59	6.30	0.00	3.04	2.39	5.70	5.39	5.39	0.88	1.07	3.83	0.49	3.59	3.67	1.52	1.85	2.01
32.00	7.50	6.61	6.30	1.52	5.05	2.93	4.44	5.41	2.25	0.94	2.03	0.09	2.81	4.06	2.01	2.37	1.21	0.82
33.00	7.50	6.59	6.30	0.00	5.70	5.50	5.58	5.39	5.35	0.00	3.98	1.35	0.99	3.94	4.19	2.17	0.24	2.11
34.00	7.50	6.61	6.30	0.00	5.70	5.70	5.70	5.41	5.41	0.00	5.03	0.59	5.86	4.96	4.20	0.00	0.00	2.10
35.00	7.50	6.59	6.30	5.72	3.73	5.03	4.26	0.14	1.50	0.00	2.00	0.00	4.47	3.84	4.20	1.81	0.49	0.58
36.00	7.50	6.61	6.30	4.82	0.00	2.74	0.13	2.26	4.29	1.33	5.10	0.26	4.79	2.41	4.19	2.13	0.00	1.67
37.00	7.49	6.59	6.30	0.00	0.49	5.69	5.75	5.41	5.46	0.00	5.10	0.00	4.49	4.11	4.19	3.11	0.99	0.13
38.00	7.50	6.61	6.30	2.56	0.49	2.65	4.37	5.38	5.41	1.14	4.27	1.11	1.98	4.36	4.15	4.19	0.99	1.73
39.00	7.50	6.59	6.30	3.82	5.88	4.65	4.43	5.41	5.38	2.38	1.00	0.00	3.40	2.11	3.29	4.17	2.93	0.98
40.00	7.50	6.61	6.30	3.97	2.20	5.39	6.35	3.96	5.42	1.34	5.46	0.45	4.79	3.67	4.23	3.29	1.35	1.34
41.00	7.50	6.59	6.30	4.25	2.90	3.93	4.13	0.00	3.49	3.65	2.50	0.00	3.91	3.11	4.19	4.20	0.64	1.38
42.00	7.50	6.59	6.30	5.99	0.00	1.64	0.93	3.93	4.69	5.41	4.73	0.00	2.90	0.69	4.20	4.20	4.57	1.84
43.00	7.50	6.61	6.30	0.32	5.37	3.32	0.49	5.41	4.03	1.94	0.00	0.00	3.69	1.45	4.20	4.04	3.91	1.55
44.00	7.50	6.59	6.30	5.36	2.08	2.33	1.06	5.39	0.02	1.53	2.13	0.00	3.17	4.50	4.20	4.37	3.90	0.01
45.00	7.50	6.61	6.30	6.01	1.74	5.69	5.70	5.41	2.87	0.00	0.00	0.00	4.80	4.30	4.19	4.19	3.90	1.07
46.00	7.49	6.59	6.30	5.99	0.00	5.71	5.69	5.39	0.04	4.23	0.00	0.00	4.80	4.58	4.20	4.20	3.91	0.00
47.00	7.50	6.61	6.30	1.98	1.94	3.98	3.97	5.41	2.73	3.12	1.39	0.92	4.62	3.99	2.80	1.71	1.61	1.07
48.00	7.50	6.59	6.30	0.49	4.88	5.75	1.37	5.08	4.93	2.17	4.95	0.00	4.98	3.10	4.70	4.42	1.77	1.86
49.00	7.50	6.61	6.30	1.72	3.27	5.70	5.43	0.62	5.41	3.92	0.00	0.00	3.32	4.45	4.20	4.07	0.00	2.08
50.00	7.50	6.59	6.30	0.02	2.96	4.79	4.68	4.59	5.20	1.31	1.25	0.02	1.48	1.45	4.20	2.00	0.99	0.49
51.00	7.50	6.61	6.30	0.00	5.79	3.45	0.14	5.38	5.39	3.89	4.99	0.02	1.50	0.00	4.18	4.20	1.20	0.49
52.00	7.50	6.59	6.30	0.00	5.70	5.70	0.59	5.37	5.42	4.39	5.12	0.01	4.77	0.00	4.22	4.19	0.00	0.00
53.00	7.50	6.61	6.30	0.75	5.65	5.02	1.12	1.48	5.11	1.07	1.68	0.20	3.51	3.31	4.06	2.12	3.21	2.01
