Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.388s)
CreateVariables () DONE !!!
Creating 19 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18
2.00	7.80	0.00	0.00	0.44	0.00	2.10	0.05	1.53	0.00	0.00	0.00	2.56	0.00	0.00	0.05	0.28	0.07	0.02	0.49
3.00	7.80	3.20	3.56	2.06	0.00	3.13	0.15	2.96	1.19	2.85	4.13	4.37	0.86	3.43	0.04	0.05	0.00	1.67	0.91
4.00	7.81	2.64	1.74	3.29	0.54	4.40	1.18	4.25	1.66	1.21	1.42	4.22	1.71	4.11	0.49	0.05	0.39	1.06	1.84
5.00	7.80	1.71	1.77	3.21	0.00	1.44	0.00	4.51	1.35	4.32	2.58	1.77	0.49	1.17	1.60	0.00	1.27	1.06	1.74
6.00	7.80	1.90	4.32	0.40	0.73	3.87	0.00	1.85	3.91	2.03	1.60	4.27	0.04	3.72	0.18	1.10	0.00	1.00	1.13
7.00	7.81	1.97	2.27	1.46	0.00	2.60	0.64	2.54	1.81	4.76	1.90	3.80	0.55	2.41	0.74	0.29	0.38	0.44	1.15
8.00	7.80	0.99	5.71	3.47	0.00	1.33	0.55	2.94	2.28	3.32	5.15	4.22	0.77	0.27	0.00	1.08	0.00	2.17	1.66
9.00	7.80	0.82	5.63	4.59	0.00	0.73	2.81	3.60	0.74	3.96	2.66	4.19	0.00	2.70	1.93	1.10	0.85	0.37	2.08
10.00	7.81	5.48	1.45	0.11	0.00	5.83	0.00	2.21	0.00	0.99	1.59	3.25	0.00	0.49	1.22	0.00	0.00	2.25	2.05
11.00	7.80	3.98	5.83	1.54	0.49	2.28	0.00	3.71	1.08	2.89	2.27	2.72	0.85	1.88	1.39	1.77	0.79	1.98	0.42
