Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.558s)
CreateVariables () DONE !!!
Creating 20 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19
2.00	6.89	6.89	6.59	0.39	1.92	2.33	0.00	1.86	1.33	0.12	1.24	3.82	1.14	0.00	0.81	0.00	0.00	0.38	0.00	0.00
3.00	6.90	6.90	6.59	1.30	4.03	1.64	0.88	1.48	4.43	0.14	1.26	3.50	3.97	0.00	3.90	2.36	1.87	2.27	0.00	0.19
4.00	6.90	6.90	6.61	1.94	0.38	5.85	2.06	1.52	4.29	1.48	3.50	4.30	2.96	2.40	1.77	3.60	0.01	1.61	1.94	1.21
5.00	6.90	6.90	6.59	2.12	2.71	2.97	0.51	1.39	1.88	0.49	2.96	2.21	4.70	2.77	2.78	3.59	1.61	1.54	2.21	1.37
6.00	6.90	6.90	6.61	0.38	6.30	1.57	0.00	0.00	4.79	0.00	0.00	4.79	4.24	3.32	3.93	3.60	2.98	0.33	2.33	2.14
7.00	6.90	6.90	6.59	0.00	5.91	1.12	0.49	0.05	4.79	1.32	2.98	4.80	4.03	3.89	3.26	3.60	1.84	1.67	1.92	2.10
8.00	6.90	6.90	6.61	2.80	5.17	4.55	1.31	0.81	4.79	0.09	2.87	3.85	4.20	1.58	3.83	3.59	1.57	0.77	1.84	1.72
9.00	6.90	6.90	6.59	2.18	6.01	0.31	1.12	0.86	4.80	2.65	2.14	4.80	4.19	4.13	3.90	1.92	3.51	0.00	1.06	2.41
10.00	6.90	6.90	6.61	0.49	5.82	2.20	0.25	0.11	4.80	0.44	1.91	4.71	4.07	0.12	3.90	3.60	3.23	2.83	2.90	2.10
11.00	6.90	6.90	6.59	0.27	5.05	4.69	1.40	0.08	4.79	0.00	0.87	4.73	4.19	3.70	3.90	0.82	0.72	1.88	2.51	1.94
12.00	6.90	6.90	6.61	0.99	4.29	3.00	0.00	1.37	4.80	1.59	2.86	4.70	2.07	3.90	3.07	0.00	1.11	2.23	2.20	2.10
13.00	6.90	6.90	6.59	2.16	5.51	1.71	0.00	2.10	4.79	3.32	2.24	4.65	3.37	3.90	3.33	0.55	0.06	0.64	1.94	1.91
14.00	6.90	6.90	6.59	4.73	4.90	1.59	1.46	1.55	4.80	0.87	3.33	4.24	2.08	3.91	2.99	3.60	0.00	2.05	0.55	2.11
15.00	6.90	6.90	6.61	5.11	2.11	5.73	3.72	1.55	4.13	0.48	3.67	2.38	0.67	3.90	1.21	3.59	0.00	1.74	1.86	2.10
16.00	6.90	6.90	6.59	2.34	4.89	2.59	1.33	1.50	4.66	2.26	3.07	2.58	3.49	3.90	1.22	3.60	1.51	0.39	2.34	2.10
17.00	6.89	6.89	6.61	0.00	0.00	0.47	2.19	2.80	4.79	1.92	4.80	0.93	2.08	2.94	2.57	3.60	1.79	0.49	2.40	2.11
18.00	6.90	6.90	6.59	0.55	0.00	0.46	0.74	2.53	4.80	2.11	2.56	3.01	4.50	3.90	3.91	3.58	3.45	2.93	2.11	2.10
19.00	6.90	6.90	6.61	0.64	4.12	1.35	0.49	2.84	4.79	3.27	3.46	0.49	3.21	3.91	3.90	3.62	3.19	1.55	0.54	2.10
20.00	6.90	6.90	6.59	0.49	0.00	3.50	0.00	0.00	4.79	3.43	2.18	3.76	4.10	3.34	3.86	3.59	0.08	2.63	0.84	2.10
21.00	6.90	6.90	6.61	3.78	0.00	0.00	1.48	5.79	4.80	0.37	0.00	4.80	4.20	1.33	3.89	3.62	2.66	1.10	2.05	2.11
22.00	6.90	6.90	6.59	4.83	2.34	2.64	2.91	1.64	4.80	2.77	3.17	4.80	0.52	0.00	1.34	3.59	0.35	1.83	2.40	2.10
23.00	6.90	6.90	6.61	4.04	0.00	2.73	5.39	0.49	4.79	0.53	4.79	4.80	0.00	0.00	0.49	3.60	0.00	0.00	2.38	2.07
24.00	6.90	6.90	6.59	6.23	0.00	6.02	5.41	0.00	4.80	0.00	4.80	4.79	0.00	0.00	0.00	3.60	0.00	0.00	2.33	2.13
