Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (6.652s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	8.69	8.05	6.89	3.83	1.22	2.96	0.66	0.00	0.00	0.33	0.65	0.99	2.20	0.00	0.00	0.58	0.00	3.12	0.00	0.00	0.16
3.00	8.70	8.10	6.90	3.67	1.50	5.03	2.56	1.17	0.00	0.00	0.85	0.00	2.17	0.00	2.63	1.24	0.24	0.47	0.59	3.20	0.00
4.00	8.70	8.10	6.90	3.23	3.03	0.81	3.70	0.99	1.91	3.24	0.11	2.58	1.91	3.14	0.39	2.84	0.80	2.48	0.20	2.87	0.00
5.00	8.70	8.10	6.90	5.63	3.63	2.74	4.56	2.10	4.11	0.69	1.15	0.39	1.48	0.01	3.76	3.66	1.20	3.90	0.00	1.61	0.00
6.00	8.69	8.10	6.90	6.55	3.80	1.88	3.24	0.00	2.11	0.00	0.00	0.00	0.00	3.78	3.80	3.70	1.39	3.51	1.60	3.79	0.00
7.00	8.70	8.10	6.90	2.86	1.39	2.39	2.30	1.12	4.39	0.00	1.08	0.00	1.28	2.28	2.24	1.21	3.04	1.19	0.00	3.39	2.84
8.00	8.70	8.09	6.90	5.63	6.67	1.02	1.52	0.00	3.76	0.00	2.58	0.97	0.72	0.21	2.90	0.02	1.87	2.66	0.00	3.16	2.53
9.00	8.70	8.10	6.90	5.57	6.03	3.57	3.65	1.45	3.82	0.00	1.80	0.00	2.96	0.79	2.33	1.51	2.03	0.99	0.65	3.38	0.55
10.00	8.70	8.10	6.90	6.90	5.99	0.99	4.84	0.61	0.49	0.00	2.91	0.00	1.95	0.00	1.22	0.00	0.61	0.00	0.00	3.50	0.00
11.00	8.69	8.10	6.90	2.56	0.82	3.10	4.45	0.19	5.13	0.00	3.33	0.00	0.31	3.77	0.37	2.13	0.22	1.93	0.00	3.36	0.00
12.00	8.70	8.10	6.90	6.81	3.03	1.13	2.23	0.05	5.33	0.00	1.01	0.01	2.58	4.50	0.49	1.94	0.14	3.90	0.00	3.60	0.00
13.00	8.70	8.10	6.90	6.89	0.65	4.33	5.38	0.00	5.32	0.82	1.55	1.01	0.48	4.37	0.00	3.42	1.73	3.90	0.00	3.59	0.00
14.00	8.70	8.09	6.90	3.05	0.49	1.95	3.17	3.00	4.45	0.00	1.22	0.09	0.00	1.20	3.51	1.17	1.15	1.97	0.00	3.27	1.42
15.00	8.70	8.10	6.90	0.31	5.10	4.32	4.20	4.68	1.35	0.00	1.54	1.59	2.54	2.40	2.90	0.02	0.00	3.46	1.37	3.62	1.05
16.00	8.69	8.10	6.90	3.18	4.02	4.20	3.36	2.90	4.05	1.85	0.39	0.00	0.18	0.04	1.99	2.47	1.84	3.51	0.00	3.26	0.00
17.00	8.70	8.10	6.89	6.90	0.19	1.48	3.20	2.23	5.32	0.00	2.90	0.00	0.00	0.00	3.85	0.61	2.91	0.00	0.00	3.56	0.00
18.00	8.70	8.10	6.90	3.46	3.60	2.76	4.69	0.58	5.41	0.00	3.00	0.00	3.40	1.63	3.70	1.72	3.54	0.00	0.00	3.52	0.00
19.00	8.70	8.10	6.90	0.00	0.49	5.70	3.87	0.74	5.39	0.00	4.11	0.00	0.00	3.52	3.91	3.92	3.83	0.00	0.00	3.60	0.00
20.00	8.70	8.09	6.90	4.35	4.49	3.10	1.86	0.84	4.46	0.00	2.57	0.00	2.56	0.18	1.06	0.84	2.48	0.00	0.00	3.09	0.00
21.00	8.69	8.10	6.90	6.88	0.65	4.57	5.26	1.25	5.39	0.00	1.58	0.00	0.49	2.32	3.91	1.99	3.06	1.72	0.00	1.90	2.30
22.00	8.70	8.10	6.90	6.92	4.24	2.77	4.95	1.32	4.95	0.00	0.49	0.00	0.00	0.00	1.95	1.78	2.28	0.21	0.00	3.09	0.00
23.00	8.70	8.10	6.90	6.87	1.31	0.79	2.31	0.00	5.29	0.00	0.14	0.00	3.42	0.97	4.88	0.93	1.33	1.97	0.00	3.13	0.00
24.00	8.70	8.10	6.90	6.87	0.49	1.37	1.81	0.84	5.16	0.00	2.40	0.00	4.16	4.42	3.25	0.89	1.19	0.00	0.00	3.58	0.00
25.00	8.69	8.10	6.90	6.90	0.00	2.73	5.51	2.05	1.59	0.00	0.19	0.00	4.83	3.97	3.85	2.58	0.79	0.00	0.00	3.59	0.00
26.00	8.70	8.09	6.90	0.00	0.00	0.09	5.70	1.07	5.39	0.00	1.25	0.00	0.01	1.32	3.44	0.15	2.94	0.00	0.00	3.62	0.00
27.00	8.70	8.10	6.90	0.00	5.82	4.39	1.50	2.20	4.80	0.80	4.04	0.49	0.00	0.38	2.26	0.49	1.07	3.53	0.00	3.60	0.00
28.00	8.70	8.10	6.90	1.68	5.38	5.62	3.39	2.72	5.41	0.00	2.20	0.00	0.99	0.24	3.82	1.18	1.91	3.90	0.00	3.59	0.00
29.00	8.70	8.10	6.90	3.37	5.22	4.79	4.85	0.97	5.39	0.00	4.37	0.00	3.13	1.94	0.54	3.24	2.17	0.97	0.00	3.46	0.00
30.00	8.69	8.10	6.90	1.47	5.99	5.22	4.50	1.31	5.41	0.49	1.42	0.00	0.75	3.14	1.61	3.49	2.12	0.00	0.81	3.62	0.00
31.00	8.70	8.10	6.90	0.00	5.73	5.17	4.89	2.16	5.39	0.00	2.38	0.00	1.38	1.83	3.84	3.37	1.47	0.00	0.00	3.07	0.00
32.00	8.70	8.10	6.90	0.00	5.38	2.80	1.99	0.05	5.38	0.00	0.73	0.00	0.00	2.83	3.79	0.00	0.00	0.75	0.00	3.05	0.00
33.00	8.70	8.09	6.90	0.00	6.03	5.71	3.10	5.26	5.42	0.00	1.05	0.02	0.00	0.00	3.86	3.26	0.08	0.00	0.00	3.62	0.00
34.00	8.70	8.10	6.89	7.60	5.22	5.19	2.46	0.74	3.71	0.00	3.06	0.00	0.00	2.10	3.47	2.84	1.21	0.00	0.00	3.60	0.00
35.00	8.69	8.10	6.90	6.89	2.58	3.05	2.97	0.68	5.22	0.00	2.76	0.00	1.42	1.58	1.48	2.05	0.00	2.16	0.00	3.59	0.00
36.00	8.70	8.10	6.90	6.92	6.04	3.03	2.34	1.33	5.41	0.00	3.91	0.00	0.99	1.31	3.54	3.12	0.00	3.25	0.00	3.52	0.00
37.00	8.70	8.10	6.90	6.90	3.03	2.33	0.65	0.68	5.39	0.00	4.57	0.00	0.00	3.51	3.90	0.12	0.00	0.00	0.00	3.47	0.00
38.00	8.70	8.10	6.90	6.90	6.65	4.39	2.77	0.13	4.70	0.00	2.57	0.00	0.00	3.26	3.73	1.77	0.00	0.00	0.00	3.57	0.00
39.00	8.70	8.09	6.90	6.36	5.56	5.24	1.55	1.74	2.63	0.00	4.17	0.00	0.00	2.06	3.65	2.04	0.00	0.00	0.00	3.59	0.00
40.00	8.69	8.10	6.90	0.00	3.47	3.57	0.91	3.90	5.35	0.00	2.64	0.00	0.99	1.64	2.27	3.67	0.26	0.00	0.00	3.60	0.00
41.00	8.70	8.10	6.90	7.56	3.20	1.81	5.16	0.75	5.44	0.00	1.71	0.04	0.00	0.00	2.91	3.25	2.41	0.00	0.00	3.59	0.07
42.00	8.70	8.10	6.90	6.91	3.99	0.00	4.86	0.95	4.80	0.00	2.89	0.00	0.95	1.31	3.40	3.44	1.39	0.00	0.00	3.60	0.00
43.00	8.70	8.10	6.90	6.90	6.03	0.00	5.70	0.00	2.19	0.00	0.51	0.00	0.49	0.00	3.54	3.53	0.81	0.00	0.00	3.37	0.00
44.00	8.70	8.10	6.90	0.13	3.92	2.80	5.37	0.47	5.06	0.00	3.59	0.05	0.00	3.51	3.82	3.24	1.28	0.00	0.00	3.46	0.00
45.00	8.69	8.09	6.90	5.88	5.18	1.57	1.40	0.27	5.28	0.00	0.52	0.00	1.31	1.40	2.84	1.21	2.28	0.00	0.00	3.57	0.00
46.00	8.70	8.10	6.90	6.23	1.98	1.68	0.73	2.11	2.59	0.00	1.52	0.02	1.70	2.14	3.91	2.14	1.37	1.13	0.00	3.40	0.00
47.00	8.70	8.10	6.90	5.16	5.35	1.30	5.13	0.77	2.07	0.00	0.78	0.00	3.20	2.52	2.78	0.00	0.52	1.87	0.00	2.74	0.00
48.00	8.70	8.10	6.90	0.79	3.70	2.04	4.73	0.00	4.18	0.00	0.31	0.00	3.54	3.56	2.28	1.72	1.97	2.03	0.00	1.84	0.00
49.00	8.69	8.10	6.90	7.42	3.45	1.84	3.23	3.03	0.75	0.00	2.43	0.00	0.99	1.07	0.00	1.15	1.44	0.00	0.00	2.83	0.00
50.00	8.70	8.10	6.89	3.77	1.15	5.70	1.11	4.57	6.16	0.00	1.22	0.04	0.00	0.14	1.13	0.49	1.83	0.00	0.00	2.13	0.00
51.00	8.70	8.09	6.90	6.90	1.01	3.34	0.55	3.58	4.76	0.00	0.27	0.27	1.33	0.58	0.34	2.92	3.70	1.40	0.00	3.34	0.00
52.00	8.70	8.10	6.90	6.90	2.76	0.99	0.00	3.13	5.42	0.00	4.18	0.00	1.27	3.99	0.00	0.00	3.78	0.46	0.01	3.54	0.00
53.00	8.70	8.10	6.90	6.50	4.80	1.31	1.54	2.17	5.06	0.00	1.01	0.00	4.32	0.75	2.08	1.95	1.79	2.70	0.00	3.00	0.00
54.00	8.69	8.10	6.90	3.87	5.12	1.64	1.65	2.34	4.30	0.00	0.44	0.44	1.71	0.92	0.87	0.86	0.18	2.41	0.00	3.29	0.00
55.00	8.70	8.10	6.90	0.00	2.37	0.60	3.80	1.01	5.06	0.00	2.47	0.00	3.91	0.00	1.45	0.24	2.17	0.00	0.00	3.23	0.00
56.00	8.70	8.10	6.90	7.52	5.31	4.99	1.71	0.00	5.39	0.00	0.60	0.00	1.30	0.79	3.87	0.49	2.04	1.65	0.00	3.07	0.00
57.00	8.70	8.10	6.90	0.65	3.69	2.99	5.24	3.50	5.41	0.00	0.00	0.00	2.65	0.27	0.41	0.77	0.00	3.94	0.00	3.63	0.00
58.00	8.70	8.09	6.90	0.00	0.66	3.17	4.98	0.00	5.29	0.00	1.75	0.00	1.18	3.69	2.07	1.68	1.19	3.90	0.00	3.60	0.19
59.00	8.69	8.10	6.90	0.00	3.29	4.69	0.78	2.48	5.15	0.00	2.45	0.00	2.78	0.09	2.50	0.12	0.04	3.90	0.00	3.59	0.00
60.00	8.70	8.10	6.90	0.40	2.33	4.56	3.04	1.02	5.08	0.00	0.00	0.13	2.23	2.89	1.50	1.70	2.12	3.90	0.00	2.47	0.00
61.00	8.70	8.10	6.90	3.24	7.17	0.00	0.00	1.46	4.79	0.00	0.00	0.00	1.74	2.25	3.78	3.71	0.00	3.71	0.00	3.63	0.00
62.00	8.70	8.10	6.90	0.15	5.99	5.10	6.11	2.17	4.27	0.00	0.13	0.00	0.51	1.31	3.53	1.18	0.00	0.00	0.00	2.73	0.00
63.00	8.70	8.10	6.90	2.64	6.01	4.85	3.87	5.23	5.41	0.00	0.00	0.00	0.00	1.66	2.53	2.58	1.06	0.00	0.00	3.60	0.00
64.00	8.69	8.09	6.90	6.89	3.43	4.88	1.47	4.15	3.23	0.00	1.07	0.00	2.85	0.02	0.00	0.99	3.13	0.00	0.00	3.60	0.00
65.00	8.70	8.10	6.90	0.04	0.00	3.14	0.48	1.73	3.93	0.00	0.04	0.07	0.00	0.49	3.92	0.48	2.04	3.43	0.00	3.47	0.00
66.00	8.70	8.10	6.89	4.91	0.00	4.70	2.93	1.63	5.09	0.00	2.44	0.00	0.00	0.52	2.70	0.45	2.16	3.90	0.00	3.21	0.00
67.00	8.70	8.10	6.90	6.82	0.93	2.68	2.12	0.82	5.13	0.00	1.51	0.00	0.99	0.20	2.84	2.96	2.54	3.77	0.00	2.90	0.00
68.00	8.69	8.10	6.90	2.57	6.55	5.73	0.99	1.66	5.37	0.00	0.38	0.00	0.00	2.91	3.00	3.90	1.74	2.91	0.00	3.42	0.00
69.00	8.70	8.10	6.90	6.91	6.01	5.70	2.54	0.64	5.43	0.00	2.68	0.00	0.00	1.11	2.64	2.18	0.04	3.92	0.00	3.53	0.00
70.00	8.70	8.09	6.90	4.84	6.01	2.72	4.86	1.83	4.18	0.00	1.98	0.00	1.45	0.00	3.89	2.85	0.00	3.90	0.00	0.99	0.00
71.00	8.70	8.10	6.90	5.75	5.61	1.72	0.33	1.33	5.28	0.00	0.91	0.00	2.38	1.46	3.90	0.06	1.24	3.90	0.00	2.81	0.00
72.00	8.70	8.10	6.90	6.21	5.37	4.04	2.76	0.47	5.04	0.00	0.12	0.28	0.49	3.32	3.90	0.47	0.85	1.48	0.00	3.60	0.00
73.00	8.69	8.10	6.90	1.68	6.03	3.21	2.19	1.54	5.39	0.00	1.04	0.00	0.75	0.35	3.90	1.71	0.62	2.77	0.00	3.59	0.00
74.00	8.70	8.10	6.90	3.47	1.30	1.38	0.08	1.38	1.91	0.00	0.00	1.02	4.23	0.22	3.91	0.49	0.73	3.44	0.65	3.52	0.21
75.00	8.70	8.10	6.90	0.94	3.09	1.40	2.33	0.32	1.91	0.00	3.73	0.00	2.66	3.23	3.84	2.34	1.24	1.92	0.00	3.60	2.37
76.00	8.70	8.09	6.90	0.00	2.98	4.33	0.61	0.92	5.39	0.00	3.57	1.48	0.00	2.12	0.78	3.90	0.00	0.00	2.01	3.45	1.46
77.00	8.70	8.10	6.90	0.00	4.80	6.26	2.33	0.81	5.36	0.00	2.94	0.01	0.00	1.88	3.99	2.98	2.38	0.00	0.00	2.77	0.00
78.00	8.69	8.10	6.90	5.89	1.48	5.53	1.40	3.67	0.55	0.00	3.80	0.00	1.58	1.57	1.34	2.76	0.94	0.72	0.00	3.31	0.00
79.00	8.70	8.10	6.90	0.00	3.79	5.68	0.49	0.41	2.16	0.00	0.91	0.00	0.00	1.55	3.67	3.90	1.28	3.89	0.00	3.59	0.00
80.00	8.70	8.10	6.90	0.49	1.02	0.40	2.33	2.31	3.66	0.00	3.07	0.00	0.00	2.14	2.38	3.56	1.19	3.92	0.00	3.60	0.00
