Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.634s)
CreateVariables () DONE !!!
Creating 21 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20
2.00	8.09	6.58	0.16	0.72	0.01	0.62	0.00	0.82	0.00	0.57	0.00	0.00	2.48	1.58	0.12	0.51	0.99	2.83	0.00	0.33	1.39
3.00	8.10	6.59	1.13	1.13	1.90	0.00	1.22	0.99	0.00	1.64	1.50	2.96	1.92	2.04	3.42	2.34	1.48	2.92	1.70	1.44	2.40
4.00	8.10	6.61	2.52	3.77	1.19	0.22	2.52	4.38	0.12	0.48	3.91	3.64	1.57	2.26	2.44	3.10	0.75	3.24	0.74	0.16	1.24
5.00	8.10	6.59	3.52	1.58	1.75	1.22	0.18	1.28	0.67	0.08	0.40	2.16	2.13	1.05	3.39	1.00	0.62	2.90	0.45	3.09	1.26
6.00	8.10	6.61	2.60	1.08	0.49	1.54	0.00	2.51	1.39	3.50	0.00	0.00	0.00	3.59	3.57	2.10	2.08	3.31	2.23	2.41	2.70
7.00	8.10	6.59	0.00	4.22	4.84	0.00	0.00	4.71	0.00	4.50	1.33	0.49	1.45	3.59	2.80	2.04	1.39	3.29	3.30	1.14	2.70
8.00	8.09	6.61	2.26	3.96	1.58	0.00	0.49	0.55	0.00	3.06	2.56	1.66	0.04	2.92	1.90	1.86	0.79	0.78	2.91	1.54	2.31
9.00	8.10	6.59	0.00	0.49	0.33	1.65	1.11	1.20	0.49	5.22	4.22	3.45	0.09	3.60	2.37	0.21	4.37	2.83	3.31	0.00	2.71
10.00	8.10	6.61	1.21	3.86	2.58	0.00	0.99	0.00	0.00	1.20	3.73	3.51	1.31	1.85	3.60	0.82	3.25	3.30	2.68	3.00	2.48
11.00	8.10	6.59	2.28	3.79	1.01	0.01	1.18	1.51	0.00	0.00	4.19	2.08	0.00	2.67	3.45	0.25	1.31	3.31	3.31	3.20	2.11
12.00	8.10	6.61	0.00	0.00	4.70	0.00	0.00	4.79	0.00	0.00	4.20	0.00	0.00	3.60	3.62	3.67	0.62	3.30	3.30	2.84	2.10
13.00	8.10	6.59	0.00	0.00	4.30	0.44	0.00	4.69	0.39	0.00	4.11	2.38	0.29	3.60	3.51	3.65	3.18	3.04	3.30	3.36	2.61
14.00	8.09	6.61	0.00	1.70	2.32	0.99	0.00	3.19	0.00	3.24	1.99	0.64	1.08	3.27	3.27	2.04	0.41	2.97	3.21	3.20	1.71
15.00	8.10	6.59	0.49	1.94	1.86	1.80	2.50	2.54	1.26	1.12	4.19	1.53	1.15	3.05	2.40	2.79	2.11	3.30	3.18	2.61	0.13
16.00	8.10	6.59	0.01	4.82	0.58	0.11	3.46	2.08	0.01	2.27	3.84	3.83	0.00	3.76	2.72	3.42	1.74	3.30	3.11	1.74	0.59
17.00	8.10	6.61	1.20	2.23	0.05	0.35	0.12	2.06	0.09	0.84	3.89	3.76	0.00	3.20	2.32	3.01	1.02	3.31	2.99	0.00	1.74
18.00	8.10	6.59	0.00	0.00	3.00	0.44	0.00	3.29	0.00	0.00	4.20	0.00	2.77	3.54	3.59	3.54	0.49	3.30	3.13	0.38	2.70
19.00	8.10	6.61	1.48	2.16	3.57	1.00	0.00	3.64	0.97	0.00	4.19	0.00	0.99	3.11	3.49	3.12	0.65	3.31	2.18	0.86	2.70
20.00	8.09	6.59	0.49	0.00	3.31	0.28	0.49	0.02	0.31	0.00	2.68	2.70	2.45	3.60	3.24	3.44	2.72	3.30	2.53	3.21	2.53
21.00	8.10	6.61	3.36	0.00	2.43	0.11	0.00	0.00	0.00	0.00	2.14	0.00	1.38	3.59	3.59	3.59	3.59	3.30	3.30	3.31	2.68
22.00	8.10	6.59	0.00	0.49	4.45	0.04	0.00	0.01	0.00	0.00	4.20	0.00	3.60	3.60	3.60	3.60	3.60	3.30	3.30	3.30	2.71
23.00	8.10	6.61	0.99	4.40	1.10	0.72	1.35	3.21	0.72	0.35	3.12	0.49	1.05	3.34	2.96	3.47	3.59	2.96	2.32	2.60	2.47
24.00	8.10	6.59	2.16	1.50	0.99	0.31	4.50	1.06	0.27	0.75	2.70	0.00	0.39	2.92	2.73	3.14	3.31	3.31	2.99	1.95	1.64
25.00	8.10	6.61	0.00	0.41	2.06	0.59	2.23	4.36	0.46	0.18	2.05	3.51	1.18	3.59	2.17	3.16	3.26	3.30	3.29	2.43	2.70
26.00	8.09	6.59	1.20	3.30	1.27	0.00	0.02	2.61	0.00	0.93	1.52	3.78	2.50	3.36	3.59	3.85	3.19	3.30	0.49	2.84	2.70
27.00	8.10	6.61	3.17	5.44	1.28	0.00	0.49	2.03	0.00	0.49	1.32	3.90	0.92	2.72	2.73	3.57	3.60	3.30	1.64	2.83	2.66
28.00	8.10	6.59	4.09	3.45	0.54	1.39	0.00	2.81	1.07	2.73	1.79	3.63	1.19	3.49	0.99	3.47	1.65	3.31	0.00	0.00	2.41
29.00	8.10	6.59	0.02	0.00	0.99	0.00	4.50	0.00	0.00	0.00	4.20	3.91	0.00	3.60	2.74	3.60	2.45	3.30	0.00	0.00	2.33
30.00	8.10	6.61	0.00	0.00	0.00	0.00	5.41	0.75	0.00	0.00	4.20	3.90	0.00	3.60	3.60	3.60	1.45	3.30	3.85	0.00	2.67
31.00	8.10	6.59	0.00	0.00	2.47	0.82	1.68	0.24	0.31	0.00	4.19	3.77	0.51	3.60	3.59	3.53	2.83	3.30	2.11	3.47	2.31
32.00	8.10	6.61	2.68	0.99	1.13	0.05	2.17	0.75	0.00	3.05	3.24	3.01	0.00	3.12	1.91	3.17	2.56	3.30	2.27	0.01	2.70
33.00	8.09	6.59	0.00	0.00	0.06	0.00	0.55	0.72	0.00	3.92	4.20	3.90	0.00	3.60	3.60	3.60	3.29	3.31	3.31	1.61	2.70
34.00	8.10	6.61	0.00	0.00	0.99	0.00	0.00	4.79	0.00	0.00	4.19	3.90	2.77	3.59	3.60	3.58	0.79	3.30	3.30	3.09	2.71
35.00	8.10	6.59	1.98	4.89	3.58	0.54	0.99	2.70	0.52	0.00	1.12	2.79	0.00	3.37	3.59	3.42	3.00	3.30	3.20	2.45	1.94
36.00	8.10	6.61	0.00	5.63	3.63	0.01	0.52	3.83	0.00	0.00	2.38	3.90	1.31	3.56	3.37	3.33	3.18	3.30	3.19	1.72	1.86
37.00	8.10	6.59	0.00	3.92	0.65	0.00	0.49	3.46	0.00	0.00	2.45	3.90	0.00	2.60	3.32	2.34	1.12	3.31	3.25	0.11	1.72
38.00	8.10	6.61	5.15	3.66	1.99	1.10	1.79	0.88	0.95	1.72	4.04	0.02	0.04	3.20	3.11	1.53	2.43	3.30	3.13	0.49	2.68
39.00	8.09	6.59	1.02	3.80	0.00	1.71	0.53	0.00	0.46	4.49	4.20	0.00	0.40	3.49	3.66	4.89	1.75	3.30	3.30	0.01	2.71
40.00	8.10	6.61	2.23	5.55	0.49	1.66	0.49	3.65	0.00	4.06	3.18	1.52	1.27	3.06	2.27	3.23	0.49	3.30	2.65	1.71	2.46
41.00	8.10	6.59	2.36	0.65	0.41	0.53	1.60	3.64	0.00	4.43	2.66	0.00	0.13	2.71	0.82	2.71	1.48	3.31	2.08	1.92	2.38
42.00	8.10	6.59	0.00	0.00	1.35	0.00	0.61	4.76	0.00	1.01	4.03	0.00	3.59	3.60	3.18	1.19	2.65	3.30	2.91	3.30	2.71
43.00	8.10	6.61	1.32	0.49	0.65	0.06	1.93	3.94	0.02	0.00	3.87	0.99	2.66	3.26	2.94	1.78	3.06	3.30	2.90	2.58	2.70
44.00	8.10	6.59	1.26	5.56	3.64	0.53	3.99	2.51	0.00	1.58	1.18	0.00	2.65	0.57	3.12	3.17	3.23	3.30	2.32	3.24	1.50
45.00	8.09	6.61	0.04	3.14	1.66	1.20	3.34	0.49	0.99	3.00	0.27	0.00	3.52	2.37	3.67	3.04	3.59	3.31	3.19	1.91	2.68
46.00	8.10	6.59	2.84	4.27	0.18	1.45	1.90	2.10	1.30	0.12	1.54	0.00	1.34	3.60	1.51	0.05	3.45	2.53	3.16	2.92	2.70
47.00	8.10	6.61	2.21	0.61	2.54	0.00	0.14	0.74	0.00	5.25	2.39	0.99	0.81	3.46	3.21	0.09	1.26	2.80	3.09	2.77	0.54
48.00	8.10	6.59	2.81	6.22	5.08	0.01	0.85	0.47	0.04	3.80	2.80	1.25	0.00	3.59	0.01	2.17	2.48	3.30	3.30	3.30	0.65
49.00	8.10	6.61	0.99	3.79	3.51	0.13	1.50	3.33	0.00	0.00	0.51	1.10	0.15	3.30	0.49	2.65	0.28	3.30	3.30	2.72	0.78
