Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.342s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	7.75	7.47	6.87	2.72	0.00	1.71	0.68	0.88	0.72	0.00	1.32	0.27	0.26	0.87	0.12	0.00	0.00	0.00	0.00	0.00	0.07	0.00
3.00	7.80	7.50	6.90	2.14	3.29	1.01	1.85	2.27	3.86	2.01	0.49	1.90	1.54	3.43	0.00	1.78	0.00	0.39	0.00	0.00	1.33	0.00
4.00	7.81	7.50	6.90	2.52	4.90	4.02	4.63	2.08	4.82	0.79	2.54	0.00	2.20	4.52	3.21	1.13	2.43	0.09	0.00	0.64	1.59	0.82
5.00	7.80	7.50	6.90	4.26	5.02	5.10	2.87	2.36	4.79	1.90	0.41	1.72	3.33	4.50	3.49	0.26	0.35	0.12	0.75	0.18	1.72	0.57
6.00	7.80	7.50	6.90	4.02	5.10	5.02	4.49	2.18	4.80	1.70	2.54	1.22	0.00	4.40	0.00	1.13	0.00	0.82	0.99	0.00	0.82	0.94
7.00	7.81	7.50	6.90	4.90	5.41	0.00	4.80	1.86	4.80	2.05	3.97	2.46	0.72	4.19	0.72	0.00	0.99	0.97	2.93	1.85	1.74	0.00
8.00	7.80	7.50	6.90	3.83	4.20	4.11	4.90	0.91	4.73	0.01	0.94	0.33	4.64	4.73	3.99	0.00	0.00	0.92	0.82	0.71	0.99	0.09
9.00	7.80	7.50	6.90	5.12	4.05	0.00	4.79	5.00	3.74	0.97	0.72	1.24	3.07	4.49	3.72	1.57	0.00	0.00	2.98	0.37	0.44	0.00
10.00	7.81	7.49	6.90	1.46	5.30	3.20	1.11	4.25	5.81	4.82	3.93	1.95	3.47	1.42	2.64	2.74	0.55	0.49	2.25	1.48	0.35	0.09
11.00	7.80	7.50	6.90	2.00	5.22	5.10	1.44	2.89	4.79	3.01	0.19	0.00	2.43	3.01	1.73	2.41	1.17	0.44	3.50	0.00	1.25	0.78
12.00	7.81	7.50	6.90	3.96	5.39	3.80	4.37	1.58	3.97	4.06	0.00	0.00	3.85	0.00	4.49	2.48	2.30	0.05	2.12	0.00	1.79	0.27
13.00	7.80	7.50	6.90	3.23	5.41	0.35	5.04	2.53	4.79	4.80	1.18	2.97	0.44	0.00	4.51	2.03	0.00	1.44	2.99	0.31	1.80	0.00
14.00	7.80	7.50	6.90	5.58	4.65	0.49	4.05	3.71	4.55	2.77	0.91	1.59	4.02	3.64	4.12	3.65	0.00	0.19	0.94	0.51	1.54	0.00
15.00	7.81	7.50	6.90	5.82	3.83	0.00	4.17	3.30	4.58	4.98	0.00	0.01	4.47	4.62	1.61	0.53	0.00	0.01	0.29	0.00	0.00	0.00
16.00	7.80	7.50	6.90	3.39	5.41	0.00	1.74	4.82	4.79	0.53	0.18	0.08	4.05	4.50	1.93	1.10	0.00	0.74	0.21	0.09	0.52	0.00
17.00	7.80	7.50	6.89	3.62	5.02	0.00	5.00	5.13	4.80	0.16	0.28	0.98	3.83	4.51	0.64	3.46	0.00	1.39	1.00	0.19	1.13	0.00
18.00	7.81	7.50	6.90	2.64	5.13	5.89	2.21	2.83	4.80	1.30	1.90	0.00	0.99	4.50	0.00	4.19	0.00	0.22	0.00	1.27	0.87	0.00
19.00	7.80	7.49	6.90	6.58	5.42	5.10	5.09	0.00	4.78	3.65	1.60	2.41	4.11	4.49	1.28	4.20	0.00	0.00	1.72	1.06	0.42	0.00
20.00	7.80	7.50	6.90	4.92	5.02	4.71	2.13	0.00	4.80	0.93	0.45	0.25	2.13	4.50	4.40	0.87	0.00	0.34	2.50	0.06	0.92	0.00
21.00	7.81	7.50	6.90	5.49	4.46	0.00	2.93	1.65	4.82	1.42	2.86	0.19	4.79	4.51	4.44	3.19	0.00	0.02	1.10	0.98	1.58	0.00
22.00	7.80	7.50	6.90	4.86	4.11	1.38	3.83	0.49	4.42	0.97	0.95	0.52	2.13	4.47	1.34	2.16	0.00	1.08	1.94	0.00	1.80	0.00
