Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.586s)
CreateVariables () DONE !!!
Creating 22 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21
2.00	7.49	6.25	5.99	0.05	1.02	1.21	0.00	3.01	0.00	2.27	1.67	0.00	1.20	1.11	0.00	0.00	1.92	0.99	0.07	0.25	1.39	0.80
3.00	7.50	6.30	6.01	0.00	1.97	2.43	1.19	5.16	0.00	2.45	1.57	0.00	1.35	1.57	0.37	0.00	3.89	3.12	0.48	1.35	1.74	3.31
4.00	7.50	6.30	5.99	0.15	2.56	3.54	1.12	2.91	1.46	3.71	3.52	3.64	0.84	2.65	2.50	0.00	2.48	0.49	0.42	0.04	2.28	2.79
5.00	7.50	6.30	6.01	0.71	5.03	2.96	0.00	3.24	0.77	0.09	1.31	0.40	3.36	1.90	0.85	2.26	2.50	1.61	0.00	0.00	1.28	2.36
6.00	7.50	6.30	5.99	0.00	5.55	2.66	0.87	4.56	0.00	0.99	1.25	1.78	1.48	1.53	3.00	3.90	3.90	1.27	0.07	0.13	2.86	3.03
7.00	7.50	6.30	6.01	0.01	5.69	2.47	2.40	4.66	0.99	1.20	0.00	3.67	0.93	2.20	1.11	0.85	3.80	2.28	0.88	0.00	3.29	3.29
8.00	7.50	6.30	5.99	1.28	4.38	3.52	0.88	4.69	0.44	1.59	2.10	4.10	0.49	0.00	0.00	2.50	3.86	3.82	1.07	0.72	3.30	3.16
9.00	7.50	6.30	6.01	0.01	3.50	0.82	0.00	4.78	0.01	4.79	4.50	2.52	1.57	0.00	0.20	2.86	3.89	3.42	1.40	2.19	3.12	3.32
10.00	7.49	6.30	5.99	0.00	1.18	3.51	1.92	4.80	0.00	3.99	1.98	4.15	2.85	0.06	0.07	1.10	3.50	1.84	0.21	0.27	1.11	3.24
11.00	7.50	6.30	6.01	1.01	4.42	1.64	0.00	4.42	0.00	4.69	4.29	1.18	0.99	2.00	0.00	1.37	3.90	3.40	0.00	0.49	3.18	3.30
12.00	7.50	6.30	5.99	0.11	1.77	4.39	1.27	4.70	2.83	4.16	1.37	3.60	2.50	1.05	0.05	0.67	2.70	2.14	0.65	0.67	3.30	3.20
13.00	7.50	6.30	6.01	2.01	0.00	4.99	2.21	4.15	4.25	0.99	1.90	3.76	0.98	1.39	0.14	2.45	4.03	2.78	2.13	0.53	2.73	2.96
14.00	7.50	6.30	5.99	0.13	5.23	3.96	0.49	4.64	1.61	2.65	0.54	3.34	1.68	2.63	0.00	3.71	3.90	3.79	0.51	0.00	0.00	3.01
15.00	7.50	6.30	6.01	1.71	4.51	2.54	0.80	4.80	0.00	4.80	0.00	1.32	2.13	3.70	1.25	3.76	3.90	2.39	0.05	0.00	1.92	3.20
