Waf: Entering directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Waf: Leaving directory `/home/synrg/Desktop/Jiaming/sp2019-ns3-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (5.444s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	7.16	6.56	0.00	0.00	1.81	0.00	0.24	0.00	2.08	0.31	0.06	1.05	0.00	2.93	1.27	0.88	0.20	0.00	0.09	0.00	0.00	0.00	0.00
3.00	7.20	6.59	0.00	0.57	3.50	1.83	0.00	3.29	1.24	1.64	0.00	0.75	0.00	3.06	0.78	0.59	0.21	0.00	1.93	0.48	0.00	0.24	0.12
4.00	7.21	6.61	0.18	2.87	2.72	3.91	0.99	2.27	4.19	0.49	0.00	1.54	0.00	1.98	1.61	1.59	0.25	1.61	0.26	1.50	0.00	1.91	0.00
5.00	7.20	6.59	1.79	0.00	2.23	5.41	0.00	2.65	4.49	1.20	0.00	2.43	0.00	2.32	0.42	0.58	0.27	0.02	1.22	0.99	0.00	1.73	0.00
6.00	7.21	6.61	3.09	1.59	5.12	2.65	0.00	4.13	4.11	0.00	0.00	4.55	0.00	2.58	0.94	2.53	2.32	0.49	0.00	0.85	0.00	0.42	0.00
7.00	7.20	6.59	1.24	0.49	3.04	1.58	0.16	3.56	3.79	2.04	0.00	5.11	0.00	3.09	2.94	0.72	1.50	2.40	0.00	0.01	0.00	2.18	0.00
8.00	7.20	6.61	0.45	0.00	2.01	5.09	0.02	5.62	4.84	3.51	0.00	5.10	0.00	4.84	0.02	2.21	0.82	0.00	0.00	0.00	0.25	1.07	0.00
9.00	7.21	6.59	0.00	0.19	3.85	4.02	0.00	1.92	5.10	3.25	0.00	5.09	0.00	4.00	0.05	1.64	0.42	0.00	0.66	1.79	0.00	2.48	0.00
10.00	7.20	6.61	3.04	0.49	3.44	5.15	0.46	0.02	5.10	1.77	0.00	5.10	0.00	3.46	2.58	0.75	0.58	0.00	0.00	2.86	0.05	0.73	0.00
11.00	7.21	6.59	1.55	0.75	2.50	2.32	0.00	0.00	5.10	0.00	0.00	5.10	0.00	4.51	2.34	0.39	1.94	0.00	0.00	3.40	0.00	1.42	0.00
12.00	7.20	6.61	2.50	0.00	0.87	5.70	0.00	0.00	5.10	0.01	0.00	5.10	0.00	4.50	0.39	3.49	3.82	0.00	0.00	1.30	0.00	2.12	0.00
