Waf: Entering directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Waf: Leaving directory `/home/synrg-sc1/Desktop/Jiaming/ns-3.29-mesh/build'
Build commands will be stored in build/compile_commands.json
'build' finished successfully (4.603s)
CreateVariables () DONE !!!
Creating 23 APs 50.00 m apart.
CreateApNodes () DONE !!!
Creating 0 CLs 20.00 m away from each AP.
CreateClNodes () DONE !!!
CreateNodes () DONE !!!
CreateMeshDevices () DONE !!!
CreateWifiDevices () DONE !!!
CreateCsmaDevices () DONE !!!
CreateDevices () DONE !!!
InstallInternetStack () DONE !!!
Gateway is connect to AP 0
InstallApplications () DONE !!!
Starting simulation for 120.00 s ...
-------------------------------------------------
Time[s]	ap-0	ap-1	ap-2	ap-3	ap-4	ap-5	ap-6	ap-7	ap-8	ap-9	ap-10	ap-11	ap-12	ap-13	ap-14	ap-15	ap-16	ap-17	ap-18	ap-19	ap-20	ap-21	ap-22
2.00	7.20	6.85	0.62	0.00	0.00	0.00	1.70	2.67	1.81	0.34	0.47	0.00	3.34	0.18	0.00	0.00	0.61	0.00	0.00	0.00	0.00	0.00	0.33
3.00	7.20	6.90	0.52	0.35	0.69	1.58	5.95	2.70	3.44	0.00	0.49	0.91	2.47	0.31	0.00	2.28	0.00	1.77	0.00	0.68	0.49	0.00	0.77
4.00	7.21	6.90	0.99	0.00	3.26	0.49	3.39	0.80	3.16	0.00	1.05	3.25	4.30	0.00	0.19	0.33	0.72	0.52	2.10	1.95	1.66	0.00	1.92
5.00	7.20	6.90	5.13	0.52	1.14	0.98	1.81	0.00	1.65	0.00	1.07	0.69	3.83	1.24	0.02	2.94	1.15	0.72	2.79	2.34	0.88	0.01	1.71
6.00	7.21	6.90	2.50	1.01	2.23	5.06	1.19	1.91	2.78	0.00	0.53	4.80	4.85	1.45	0.00	2.79	3.44	0.86	1.47	0.42	2.51	0.21	0.84
7.00	7.20	6.90	3.90	0.00	0.39	5.99	4.29	0.54	1.58	1.13	1.63	1.80	4.80	0.04	1.38	3.87	2.64	0.94	2.40	0.00	2.06	0.15	2.58
8.00	7.20	6.90	2.00	3.05	0.64	3.67	2.44	3.46	0.32	0.35	0.85	2.93	4.04	0.00	0.78	2.61	1.87	2.38	2.59	1.40	1.81	0.01	1.72
9.00	7.21	6.90	0.71	1.58	2.07	4.36	0.49	0.59	1.35	0.45	1.48	4.24	4.13	0.04	1.21	2.24	3.60	3.03	2.17	0.45	1.47	0.24	1.80
10.00	7.20	6.90	2.27	1.17	2.57	2.07	3.44	0.12	3.56	0.69	3.16	2.11	0.00	0.00	1.04	3.56	3.60	1.74	2.93	3.46	2.19	0.21	1.80
11.00	7.21	6.90	3.60	1.20	1.48	1.05	2.97	0.44	4.33	0.48	0.97	4.84	0.00	0.06	0.79	2.83	3.42	2.83	2.91	2.14	2.04	0.29	1.80
